排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,3481,群創,49.1,4.45,9.97,05/25,-2700,8635,-28138,-36424,4926,-117578,-108025.0,379550.0,527793.0,273363.0
2,2882,國泰金,81.5,1.8,2.26,05/25,-14295,-18646,-19061,-35429,-47233,-65447,71702.0,-158125.0,138160.0,7329.0
3,2881,富邦金,97.7,2.6,2.73,05/25,-10387,-14931,-13795,-32628,-66783,-76976,48538.0,-9067.0,166699.0,23968.0
4,00878,國泰永續高股息,29.48,1.21,4.28,05/25,-23741,-25535,-26962,-24350,-7927,-2055,3070.0,-53286.0,-62192.0,2841.0
5,2312,金寶,36.4,3.3,9.97,05/25,-14576,-18114,-19632,-22138,-40051,-25358,-401.0,-53584.0,44466.0,-66187.0
6,2891,中信金,57.3,-0.3,-0.52,05/25,-1165,-1232,-10142,-15758,-24147,-34725,224029.0,99450.0,190614.0,168876.0
7,00631L,元大台灣50正2,34.56,2.0,6.14,05/25,-2898,-2988,-20398,-14096,-30414,9242,323340.0,319512.0,314678.0,322865.0
8,00991A,主動復華未來50,19.27,0.69,3.71,05/25,-3134,-14696,-18497,-13873,1657,6071,85523.0,,,91732.0
9,0056,元大高股息,48.35,2.0,4.31,05/25,-1015,1393,-9282,-12742,-22057,-26824,34203.0,-23007.0,65132.0,-25270.0
10,2317,鴻海,261.0,11.0,4.4,05/25,-4990,-6142,-8104,-12551,-28557,-68606,-9842.0,16163.0,-17680.0,28815.0
11,2409,友達,24.4,2.2,9.91,05/25,-12364,-12302,-12007,-12364,-12364,-12137,21988.0,206401.0,573592.0,510746.0
12,00891,中信關鍵半導體,35.09,1.48,4.4,05/25,-7413,-14037,-12895,-11888,2222,11943,15920.0,8212.0,7526.0,16856.0
13,00919,群益台灣精選高息,27.47,0.74,2.77,05/25,731,-7177,-7003,-8888,-17916,6695,35746.0,-147548.0,-50643.0,-62682.0
14,2303,聯電,125.0,11.0,9.65,05/25,-4683,8934,1311,-8260,17090,-21950,172665.0,-280010.0,-337588.0,-28.0
15,2542,興富發,42.4,-0.8,-1.85,05/25,854,970,-6875,-8136,-15277,-4030,5437.0,-20146.0,37131.0,-289.0
16,6239,力成,311.0,28.0,9.89,05/25,-716,-2302,-2682,-6983,-6161,1470,21903.0,7413.0,8694.0,19398.0
17,4958,臻鼎-KY,529.0,13.0,2.52,05/25,330,-5216,-5608,-6274,-5558,-1274,20649.0,-21550.0,4076.0,14290.0
18,00940,元大台灣價值高息,11.73,0.24,2.09,05/25,-805,-8782,-5385,-6150,-6683,11445,66088.0,3986.0,49196.0,62889.0
19,2615,萬海,83.3,-1.0,-1.19,05/25,-507,-1667,-1556,-5965,-5242,-7622,-14794.0,-40138.0,2772.0,3803.0
20,2027,大成鋼,43.8,1.85,4.41,05/25,925,1549,787,-5674,-35227,-53745,14834.0,68258.0,74184.0,35922.0
21,3714,富采,79.7,-1.7,-2.09,05/25,-1626,-2452,-3883,-5546,-5007,6282,7807.0,18378.0,20479.0,15997.0
22,6116,彩晶,13.0,1.15,9.7,05/25,-1369,-4237,-6865,-5489,-27989,-30360,-10992.0,91008.0,74975.0,96190.0
23,9105,泰金寶-DR,7.42,0.67,9.93,05/25,-8256,-8873,-8546,-5417,-5051,-6755,2903.0,-7480.0,18653.0,-9018.0
24,8069,元太,235.0,11.0,4.91,05/25,-589,-795,-1558,-5326,-6779,2808,10604.0,28495.0,28325.0,20976.0
25,00980A,主動野村臺灣優選,23.97,0.81,3.5,05/25,200,-4874,-4874,-4897,-2023,2776,2770.0,624.0,5587.0,1753.0
26,00662,富邦NASDAQ,120.8,1.3,1.09,05/25,883,1025,850,-4227,-2617,1341,5937.0,26923.0,24126.0,20749.0
27,1785,光洋科,151.0,7.0,4.86,05/25,260,-1356,-2027,-4152,-2691,10475,8509.0,6124.0,-4050.0,10110.0
28,2367,燿華,70.1,3.3,4.94,05/25,-4054,-4062,-3891,-4092,-4025,-3813,10953.0,32051.0,39442.0,8056.0
29,00922,國泰台灣領袖50,38.49,1.63,4.42,05/25,-68,-68,-4068,-4068,-5304,-5102,888.0,-27186.0,-11924.0,-14934.0
30,2489,瑞軒,56.5,5.1,9.92,05/25,-2095,-2682,-2806,-3639,-1883,8107,43540.0,45125.0,41202.0,43912.0
31,1402,遠東新,27.2,0.2,0.74,05/25,-1106,-609,-690,-3177,8495,32237,197964.0,187953.0,213156.0,199350.0
32,2344,華邦電,128.5,3.5,2.8,05/25,-1346,-5110,-4306,-3026,-11569,11420,153003.0,154214.0,84241.0,148745.0
33,009816,凱基台灣TOP50,14.76,0.57,4.02,05/25,961,-12810,-12540,-2911,5285,46313,85058.0,,,
