排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
1,00989A,主動摩根美國科技,17.8,0.29,1.66,05/25,2.36,6.05,7.09,7.35,5.31,14.6,40.7,56.7,,,,51.9
2,3211,順達,426.5,38.5,9.92,05/25,5.8,6.52,6.82,6.68,5.77,3.39,7.13,1.99,3.38,8.29,2.43,6.47
3,4916,事欣科,101.5,3.2,3.26,05/25,0.6,2.14,1.56,6.51,9.89,7.32,19.3,13.4,18.6,12.6,13.6,22.0
4,4931,新盛力,223.5,11.5,5.42,05/25,3.62,6.77,6.49,5.91,7.08,7.62,3.84,6.14,8.25,9.75,,-8.13
5,4927,泰鼎-KY,61.9,5.6,9.95,05/25,2.61,6.62,7.43,5.89,4.94,1.48,0.91,0.33,-0.13,-4.94,-4.69,0.59
6,2312,金寶,36.4,3.3,9.97,05/25,0.77,2.03,5.12,5.77,5.27,6.41,2.97,7.15,-1.5,1.96,-0.63,7.99
7,3376,新日興,220.5,10.5,5.0,05/25,2.55,2.87,4.03,5.69,5.2,3.37,3.98,-4.02,-3.86,1.68,-9.25,-1.55
8,6282,康舒,63.1,5.7,9.93,05/25,0.87,3.07,5.26,5.4,2.69,7.83,6.2,8.59,11.8,10.3,6.99,12.4
9,6265,方土昶,52.9,4.8,9.98,05/25,0.82,6.54,7.52,5.38,7.09,6.77,3.46,0.12,4.32,5.09,6.7,3.19
10,2369,菱生,34.3,2.25,7.02,05/25,2.17,4.91,5.49,5.1,5.21,6.2,5.03,6.75,5.3,4.66,3.73,5.63
11,00401A,主動摩根台灣鑫收,13.59,0.51,3.9,05/25,1.87,3.24,4.19,5.02,7.67,10.4,,,,,,
12,2489,瑞軒,56.5,5.1,9.92,05/25,-0.01,0.18,4.31,4.89,4.9,1.6,-7.01,-4.54,-4.03,-5.38,-9.46,-5.2
13,2404,漢唐,1245.0,90.0,7.79,05/25,0.69,1.46,2.96,4.68,4.39,4.69,-0.84,-2.99,6.95,1.52,5.84,-1.6
14,00961,FT臺灣永續高息,11.93,0.36,3.11,05/25,1.08,2.88,4.44,4.61,1.89,1.95,0.04,4.8,44.2,,,1.19
15,00913,兆豐台灣晶圓製造,47.97,2.77,6.13,05/25,3.49,5.46,5.64,4.55,0.78,-5.86,15.2,14.9,13.8,20.3,,14.6
16,1717,長興,82.2,-0.8,-0.96,05/25,-0.06,1.95,4.23,4.13,1.82,1.53,0.03,0.68,-2.94,-2.54,-0.05,-0.42
17,5309,系統電,69.9,0.6,0.87,05/25,-0.04,1.26,0.99,3.95,3.62,4.95,0.86,1.43,0.53,0.0,-0.03,-0.38
18,2436,偉詮電,80.5,2.9,3.74,05/25,0.76,2.76,3.37,3.86,2.45,4.18,3.5,5.0,2.44,2.58,4.54,6.42
19,00984B,大華優利美A債15,16.24,0.05,0.31,05/25,0.23,1.24,2.54,3.71,7.85,17.6,33.6,30.9,36.7,,,34.1
20,1727,中華化,104.5,2.5,2.45,05/25,-0.36,1.99,4.91,3.65,1.05,-3.02,1.8,2.1,3.14,4.53,1.79,2.22
21,2338,光罩,57.1,2.7,4.96,05/25,0.82,1.84,3.36,3.64,3.13,4.38,3.99,4.84,2.64,-0.31,1.45,4.8
22,8358,金居,545.0,23.0,4.41,05/25,0.21,0.84,1.62,3.64,5.13,10.9,17.8,13.9,15.5,15.9,16.0,15.8
23,5388,中磊,86.4,1.3,1.53,05/25,0.57,1.65,1.85,3.6,-0.03,4.92,0.86,-5.32,-2.35,-13.6,-12.1,-5.73
24,00909,國泰數位支付服務,49.78,0.79,1.61,05/25,1.4,2.75,3.03,3.56,5.18,16.5,35.3,42.6,48.4,42.7,,44.9
25,2313,華通,298.5,20.5,7.37,05/25,0.81,3.25,3.19,3.49,3.98,3.33,-4.25,-7.9,11.3,7.64,8.28,-4.19
26,4526,東台,40.35,0.9,2.28,05/25,0.43,1.64,3.07,3.41,3.61,4.62,3.6,3.59,3.17,-2.04,-3.34,4.99
27,2495,普安,46.15,1.95,4.41,05/25,1.2,1.8,2.99,3.36,3.17,-1.03,5.2,3.31,-1.67,-13.1,-11.3,6.92
28,6284,佳邦,112.5,10.0,9.76,05/25,-0.14,0.54,1.74,3.35,5.72,5.45,5.29,6.81,4.15,6.54,6.46,8.69
29,3709,鑫聯大投控,90.2,2.0,2.27,05/25,0.81,1.27,2.04,3.21,0.88,1.31,2.21,0.57,4.09,4.34,,5.25
30,8021,尖點,464.0,42.0,9.95,05/25,1.77,2.34,1.85,3.17,2.27,3.21,8.39,5.15,6.2,6.38,6.39,6.43
31,6683,雍智科技,1815.0,165.0,10.0,05/25,0.45,1.66,3.25,3.17,3.29,3.2,-0.95,11.7,3.8,3.94,,5.98
32,6104,創惟,103.0,0.0,0.0,05/25,0.64,1.61,3.18,3.16,2.56,4.75,3.56,-7.21,-27.3,3.48,3.74,-0.95
33,6770,力積電,67.6,3.8,5.96,05/25,1.65,3.93,3.99,3.13,4.13,3.39,-4.55,-0.35,6.12,-1.79,,-0.84
34,3149,正達,65.0,5.9,9.98,05/25,0.38,3.67,3.89,3.13,3.05,3.36,-3.32,2.54,-2.63,-0.86,-6.05,4.17
35,6209,今國光,86.2,0.4,0.47,05/25,-1.32,-1.14,-0.29,3.1,2.63,1.82,1.42,-7.56,2.62,5.95,5.21,-1.39
36,00731,復華富時高息低波,75.75,0.4,0.53,05/25,1.2,2.6,2.6,3.08,4.27,7.54,11.5,24.5,49.8,66.2,,23.5
37,3305,昇貿,160.5,14.5,9.93,05/25,2.99,4.76,5.11,3.04,6.16,6.48,9.53,7.9,2.88,7.01,3.29,9.41
38,2399,映泰,47.4,0.85,1.83,05/25,0.95,3.55,3.83,3.04,2.91,-1.49,3.19,5.71,-1.07,0.1,-10.4,4.93
39,3317,尼克森,83.7,7.6,9.99,05/25,3.47,3.9,4.58,3.04,5.18,2.85,4.09,5.19,3.73,6.22,6.37,4.79
40,8039,台虹,149.5,-1.5,-0.99,05/25,-0.14,2.97,3.78,3.0,3.51,2.45,1.77,5.82,0.39,0.09,0.2,-1.92
41,6207,雷科,98.8,8.9,9.9,05/25,3.83,0.71,2.62,2.99,2.56,3.92,4.63,2.52,-0.34,0.91,0.88,1.6
42,6202,盛群,61.1,0.3,0.49,05/25,0.12,1.68,2.7,2.99,2.37,4.92,1.6,6.04,3.2,-1.97,-3.97,5.83
43,6727,亞泰金屬,660.0,60.0,10.0,05/25,-0.01,0.38,2.75,2.95,2.96,2.72,5.7,0.2,6.31,9.58,,3.25
44,00982A,主動群益台灣強棒,23.72,1.08,4.77,05/25,1.37,2.04,2.55,2.89,1.93,1.0,1.34,4.67,5.25,,,2.94
45,3675,德微,334.0,14.5,4.54,05/25,0.1,0.02,1.54,2.85,2.54,3.01,6.44,7.25,1.66,4.19,5.1,8.04
46,3189,景碩,669.0,60.0,9.85,05/25,0.0,0.26,2.52,2.83,2.75,1.46,4.46,4.33,10.2,10.5,0.62,0.24
47,5425,台半,91.6,4.5,5.17,05/25,1.86,0.25,-0.7,2.77,1.59,6.09,5.0,8.95,5.25,3.76,-1.72,9.01
48,8054,安國,116.0,4.5,4.04,05/25,1.86,2.49,2.23,2.75,2.76,1.21,1.26,3.93,0.62,1.3,1.45,-1.44
49,2324,仁寶,34.65,3.15,10.0,05/25,1.31,1.79,2.97,2.75,1.86,1.43,3.28,4.27,-4.53,-9.0,-16.4,2.49
50,8040,九暘,122.5,3.5,2.94,05/25,1.29,1.32,1.21,2.74,4.94,3.93,4.26,4.06,3.9,3.69,3.85,3.99
51,4760,勤凱,375.0,34.0,9.97,05/25,0.46,2.52,2.59,2.72,-0.45,-4.13,10.3,10.3,8.59,10.2,,12.0
52,00999A,主動野村臺灣高息,10.65,0.23,2.21,05/25,1.33,2.28,2.92,2.68,2.12,,,,,,,
53,3152,璟德,199.5,18.0,9.92,05/25,0.72,2.38,2.99,2.67,3.79,4.61,6.27,4.21,2.19,0.08,-3.4,5.05
54,00980A,主動野村臺灣優選,23.97,0.81,3.5,05/25,1.4,1.82,2.38,2.64,2.25,2.07,4.61,5.58,5.14,,,4.96
55,00935,野村臺灣新科技50,59.8,3.45,6.12,05/25,2.69,2.69,2.87,2.62,1.96,2.07,3.1,4.32,10.2,,,3.58
56,2421,建準,162.5,4.0,2.52,05/25,1.08,1.77,3.08,2.62,0.93,0.32,-10.4,-11.6,6.98,0.13,10.1,-10.0
57,2305,全友,20.65,1.85,9.84,05/25,-0.03,1.11,2.71,2.6,3.08,4.05,4.47,4.44,5.17,7.12,6.08,4.63
58,3090,日電貿,236.5,21.5,10.0,05/25,0.28,0.63,0.82,2.59,1.08,2.9,7.12,5.86,2.36,4.55,9.45,6.77
59,6456,GIS-KY,74.6,-1.5,-1.97,05/25,-0.3,1.15,2.31,2.58,2.11,0.36,-4.28,-7.4,-6.26,-6.64,-16.2,-5.45
60,4739,康普,106.0,5.0,4.95,05/25,0.56,1.99,2.59,2.57,5.61,4.17,1.68,4.14,8.47,10.0,9.64,4.22
61,3236,千如,58.3,5.3,10.0,05/25,-0.06,0.65,2.99,2.56,2.4,4.58,2.22,5.52,3.95,1.13,3.97,4.76
62,4906,正文,44.3,4.0,9.93,05/25,1.74,2.53,3.08,2.56,1.67,6.17,-2.38,-2.17,-8.97,-5.01,1.21,-1.72
63,6257,矽格,231.5,9.5,4.28,05/25,0.37,0.61,2.27,2.5,2.28,1.18,2.03,-0.4,5.38,9.52,7.65,0.72
64,2409,友達,24.4,2.2,9.91,05/25,0.24,0.61,2.69,2.5,4.6,3.26,5.7,-4.04,-9.24,-13.9,-27.6,-0.86
65,3062,建漢,31.25,1.9,6.47,05/25,0.45,1.95,2.47,2.49,1.88,0.89,3.4,5.48,-0.33,0.75,-11.6,6.53
66,6695,芯鼎,62.2,5.6,9.89,05/25,0.35,1.99,2.19,2.48,2.65,4.04,3.86,4.96,1.57,1.2,,4.39
67,009820,元大納斯達克精選,10.35,0.13,1.27,05/25,0.9,1.4,1.62,2.47,10.2,12.3,,,,,,
68,00936,台新永續高息中小,20.33,0.31,1.55,05/25,0.84,1.69,1.72,2.45,2.38,4.14,24.3,40.2,55.8,,,38.0
69,2027,大成鋼,43.8,1.85,4.41,05/25,0.46,0.62,1.2,2.44,4.78,8.43,4.9,-1.89,-4.71,6.86,6.07,4.51
