排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
1,2880,華南金,30.55,-1.4,-4.38,05/25,88.0,87.1,87.9,81.7,77.6,74.4,67.1,63.8,58.8,56.0,47.3,64.4
2,2912,統一超,212.5,-7.5,-3.41,05/25,87.0,87.4,87.6,84.5,80.9,76.2,59.7,60.7,61.8,64.0,67.5,58.6
3,8464,億豐,319.0,2.5,0.79,05/25,91.4,92.0,86.1,71.9,69.1,73.0,54.3,20.4,12.2,4.6,2.06,34.1
4,1102,亞泥,33.6,-0.8,-2.33,05/25,90.8,89.2,86.0,83.6,79.0,72.7,66.3,66.5,62.3,54.2,48.4,64.2
5,2892,第一金,27.6,0.05,0.18,05/25,74.4,81.7,84.8,86.8,80.0,69.4,64.9,54.1,53.1,53.6,45.4,63.3
6,4442,竣邦-KY,51.0,0.1,0.2,05/25,79.4,81.5,83.5,81.7,67.8,61.0,29.2,31.8,26.5,,,28.4
7,2633,台灣高鐵,25.3,-0.5,-1.94,05/25,82.0,83.1,81.7,81.2,82.8,71.3,70.1,68.7,62.7,53.1,,68.7
8,4904,遠傳,94.2,-1.3,-1.36,05/25,80.0,76.3,80.6,74.9,67.6,63.4,62.0,62.7,52.7,54.7,56.0,60.0
9,1216,統一,71.2,-0.3,-0.42,05/25,73.2,81.0,80.5,78.2,59.2,57.5,58.9,60.8,59.7,62.4,65.7,58.0
10,00681R,元大美債20反1,21.23,-0.2,-0.93,05/25,94.5,90.7,79.3,41.6,32.5,14.1,7.6,4.84,3.79,2.58,,5.2
11,2886,兆豐金,39.5,-0.4,-1.0,05/25,81.0,75.0,75.9,64.7,66.0,59.9,52.0,52.8,49.8,50.0,48.2,50.9
12,00836B,永豐10年A公司債,28.74,0.14,0.49,05/25,84.2,74.2,75.0,60.1,38.4,42.5,19.1,2.99,2.73,2.38,,2.41
13,9910,豐泰,67.8,-0.9,-1.31,05/25,63.9,71.6,73.9,71.1,66.8,60.7,54.8,20.2,14.0,5.16,1.81,30.4
14,2412,中華電,136.5,-0.5,-0.36,05/25,79.0,78.9,73.0,46.0,44.8,48.0,43.2,46.0,43.4,41.1,40.0,44.6
15,2887,台新新光金,23.3,-0.5,-2.1,05/25,66.4,68.5,71.4,59.9,45.9,40.3,51.5,44.8,48.3,50.8,43.8,47.7
16,1210,大成,52.1,-0.3,-0.57,05/25,67.9,72.9,71.3,57.9,50.4,49.2,38.1,41.2,38.8,33.1,23.8,38.2
17,2548,華固,122.0,-1.5,-1.21,05/25,72.2,73.3,71.3,70.6,67.1,54.9,35.5,32.7,35.0,36.0,34.3,35.3
18,910322,康師傅-DR,23.3,-0.15,-0.64,05/25,0.0,69.0,71.0,61.6,35.6,23.6,11.3,3.79,1.92,0.38,0.4,6.8
19,1590,亞德客-KY,1450.0,40.0,2.84,05/25,45.0,67.4,70.6,71.4,71.7,71.9,74.3,71.1,72.9,72.1,54.1,70.8
20,5876,上海商銀,39.75,-0.3,-0.75,05/25,69.6,67.6,70.5,58.5,53.8,54.7,63.5,54.1,54.6,57.5,,59.4
21,2883,凱基金,21.65,-0.05,-0.23,05/25,50.8,59.1,70.1,56.4,56.4,43.0,48.3,40.3,47.9,42.4,36.2,42.0
22,5522,遠雄,69.2,-0.3,-0.43,05/25,58.5,69.5,69.5,70.8,62.7,57.4,55.7,45.0,50.3,42.0,40.3,51.4
23,5871,中租-KY,109.0,-2.0,-1.8,05/25,69.8,70.6,68.0,67.5,69.4,67.3,54.9,46.9,52.8,59.0,55.5,50.4
24,4915,致伸,72.3,0.3,0.42,05/25,64.2,65.2,66.5,63.6,63.0,63.1,63.0,59.7,51.6,44.3,33.6,59.0
25,3045,台灣大,111.5,-0.5,-0.45,05/25,68.6,68.7,66.1,48.8,37.9,36.3,31.6,43.0,44.0,43.2,47.3,34.0
26,2207,和泰車,460.5,-1.5,-0.32,05/25,56.3,58.0,65.0,67.3,68.7,70.7,69.3,70.9,70.3,69.1,61.1,68.4
27,9904,寶成,25.65,-0.15,-0.58,05/25,62.1,63.4,64.9,67.8,62.8,61.3,46.8,27.5,10.5,4.07,1.64,40.4
28,00875,國泰網路資安,47.08,1.81,4.0,05/25,85.7,55.4,64.1,50.9,35.6,29.5,25.7,23.0,17.3,11.4,,23.0
29,2801,彰銀,20.2,-0.1,-0.49,05/25,69.2,64.2,63.8,59.7,67.8,61.7,55.4,49.2,43.0,39.7,39.9,49.1
30,2903,遠百,22.15,-0.1,-0.45,05/25,58.6,62.5,63.4,56.9,56.0,54.1,47.6,51.4,46.1,40.0,32.4,41.8
31,4938,和碩,81.2,0.5,0.62,05/25,69.8,67.0,63.2,66.4,66.8,60.7,49.5,47.3,51.3,49.4,48.8,46.6
32,6409,旭隼,715.0,38.0,5.61,05/25,54.4,64.2,63.1,63.8,63.4,62.4,62.7,60.0,66.5,71.0,70.7,59.9
33,6670,復盛應用,256.0,-4.5,-1.73,05/25,63.2,65.2,62.6,61.1,51.8,51.7,46.6,41.8,53.9,46.2,,45.0
34,2834,臺企銀,15.9,-0.1,-0.62,05/25,62.8,61.4,61.6,56.1,60.1,56.6,55.4,51.4,42.9,38.2,33.8,54.0
