代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
00950B,凱基A級公司債,13.98,0.05,0.36,05/25,25,58234,37.3,1.44,0,0,0.0,0.0,-3,-2328,-14.1,-0.06,6,8074,22.5,0.2
009820,元大納斯達克精選,10.35,0.13,1.27,05/25,17,215681,32.4,12.3,0,0,0.0,0.0,16,187210,29.7,10.7,16,402834,64.0,23.0
00909,國泰數位支付服務,49.78,0.79,1.61,05/25,16,20007,29.5,14.2,0,0,0.0,0.0,5,3682,22.5,2.61,25,69280,56.0,49.1
00725B,國泰投資級公司債,34.83,0.12,0.35,05/25,14,30466,44.2,0.81,0,0,0.0,0.0,-2,-916,-7.33,-0.02,6,17653,54.1,0.47
3026,禾伸堂,523.0,46.5,9.76,05/25,14,5984,5.5,3.61,5,1017,9.84,0.61,3,341,6.12,0.21,16,16484,11.9,9.94
3034,聯詠,489.0,3.5,0.72,05/25,14,21587,18.4,3.55,1,183,3.76,0.03,2,130,0.99,0.02,8,10620,20.4,1.75
4991,環宇-KY,840.0,26.0,3.19,05/25,12,6187,26.4,5.12,1,24,0.37,0.02,-1,-22,-0.34,-0.02,11,5285,30.9,4.37
00937B,群益ESG投等債20+,14.72,0.04,0.27,05/25,11,295971,41.7,1.68,0,0,0.0,0.0,1,21850,29.1,0.12,6,187331,46.8,1.06
00948B,中信優息投資級債,9.39,0.02,0.21,05/25,11,64581,46.9,1.55,0,0,0.0,0.0,1,8845,79.3,0.21,6,35333,56.4,0.85
6182,合晶,76.8,6.9,9.87,05/25,10,11445,7.21,1.93,0,0,0.0,0.0,5,7754,8.37,1.31,10,18489,11.6,3.11
2492,華新科,321.5,29.0,9.91,05/25,9,25124,16.6,5.17,5,1911,4.45,0.39,5,992,2.31,0.2,5,12745,29.7,2.62
2891,中信金,57.3,-0.3,-0.52,05/25,9,177774,36.0,0.9,-8,-73313,-16.8,-0.37,-3,-5946,-3.83,-0.03,-1,-636,-1.38,0.0
4979,華星光,655.0,25.0,3.97,05/25,9,1067,7.43,0.75,0,0,0.0,0.0,2,61,2.44,0.04,9,708,4.93,0.5
00401A,主動摩根台灣鑫收,13.59,0.51,3.9,05/25,8,15324,18.7,6.14,0,0,0.0,0.0,-1,-6842,-58.8,-2.74,-1,-2168,-18.6,-0.87
00922,國泰台灣領袖50,38.49,1.63,4.42,05/25,8,24144,23.7,1.2,0,0,0.0,0.0,-1,-6329,-24.2,-0.31,4,18014,31.5,0.9
00929,復華台灣科技優息,28.8,1.72,6.35,05/25,8,63316,18.8,1.35,0,0,0.0,0.0,-1,-585,-1.07,-0.01,4,92911,53.1,1.98
1304,台聚,12.15,-0.15,-1.22,05/25,8,6134,14.4,0.52,0,0,0.0,0.0,-1,-40,-0.71,0.0,7,6029,15.9,0.51
2027,大成鋼,43.8,1.85,4.41,05/25,8,127590,40.8,4.94,-8,-6064,-1.94,-0.23,1,749,1.99,0.03,8,118954,38.1,4.6
2342,茂矽,43.15,1.75,4.23,05/25,8,4517,9.84,2.87,0,0,0.0,0.0,1,21,0.24,0.01,8,4518,9.85,2.87
2882,國泰金,81.5,1.8,2.26,05/25,8,136338,43.5,0.93,-8,-117392,-37.5,-0.8,3,316,0.24,0.0,3,15444,11.7,0.11
3665,貿聯-KY,2385.0,160.0,7.19,05/25,8,6144,18.3,3.15,-8,-6516,-19.4,-3.34,1,13,0.65,0.01,3,1452,21.2,0.74
6192,巨路,131.0,-1.0,-0.76,05/25,8,727,19.5,0.76,0,0,0.0,0.0,2,17,2.1,0.02,8,746,20.0,0.78
6248,沛波,19.2,0.95,5.21,05/25,8,118,15.6,0.12,0,0,0.0,0.0,1,0,0.13,0.0,8,113,14.9,0.11
6806,森崴能源,8.35,-0.92,-9.92,05/25,8,5984,74.1,2.18,0,0,0.0,0.0,0,0,0.0,0.0,8,5984,74.1,2.18
8415,大國鋼,36.1,0.3,0.84,05/25,8,3832,37.7,0.37,0,0,0.0,0.0,-1,-266,-29.7,-0.03,-1,-126,-14.1,-0.01
00980A,主動野村臺灣優選,23.97,0.81,3.5,05/25,7,21772,13.6,2.85,0,0,0.0,0.0,4,10187,14.5,1.33,4,28501,40.6,3.73
2312,金寶,36.4,3.3,9.97,05/25,7,94625,24.9,6.28,-5,-14982,-4.45,-0.99,4,5070,1.6,0.34,4,77137,24.3,5.12
2430,燦坤,18.45,0.15,0.82,05/25,7,200,22.8,0.17,0,0,0.0,0.0,-1,-1,-0.53,0.0,7,199,22.6,0.17
2434,統懋,30.0,0.05,0.17,05/25,7,26,10.7,0.07,0,0,0.0,0.0,0,0,0.0,0.0,7,26,10.7,0.07
2506,太設,8.65,-0.02,-0.23,05/25,7,248,19.4,0.06,0,0,0.0,0.0,0,0,0.0,0.0,7,246,19.2,0.06
