"115年06月01日 鉅額交易日成交資訊-單一證券 (元/股)
  "
"證券代號","證券名稱","交易別","成交價","成交股數","成交金額",
="00919","群益台灣精選高息","配對交易","29.33","10,887,000","319,315,710",
"1590","亞德客-KY","配對交易","1,347.50","36,000","48,510,000",
"2327","國巨*","配對交易","789.69","19,000","15,004,110",
"2330","台積電","配對交易","2,403.79","10,000","24,037,900",
"2330","台積電","配對交易","2,382.13","10,000","23,821,300",
"2330","台積電","配對交易","2,382.12","10,000","23,821,200",
"2330","台積電","配對交易","2,370.69","56,533","134,022,218",
"2330","台積電","配對交易","2,370.67","56,000","132,757,520",
"2330","台積電","配對交易","2,370.66","7,467","17,701,718",
"2330","台積電","配對交易","2,355.00","655,000","1,542,525,000",
"2330","台積電","配對交易","2,350.00","4,625,000","10,868,750,000",
"2454","聯發科","配對交易","4,588.06","8,340","38,264,420",
"2454","聯發科","配對交易","4,588.04","3,660","16,792,226",
"2454","聯發科","配對交易","4,555.00","6,000","27,330,000",
"2454","聯發科","配對交易","4,552.15","30,360","138,203,274",
"2454","聯發科","配對交易","4,552.07","35,640","162,235,775",
"2881","富邦金","配對交易","99.00","250,000","24,750,000",
"4722","國精化","配對交易","313.50","80,000","25,080,000",
"7705","三商餐飲","配對交易","30.90","500,000","15,450,000",
"8464","億豐","配對交易","323.41","305,440","98,782,350",
"8464","億豐","配對交易","323.40","1,022,560","330,695,904",
"總計","","","","18,614,000","14,027,850,626",
"說明:"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。"

