"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"1","00707R","期元大S&P日圓反1","32.01","0","0","06/02","+100","+100","+100","+100","+11.6","-1.28","-0.63","-0.05","+0.03","+4.64","","-0.17"
"2","020001","富邦存股雙十N","25.9","+0.08","+0.31","06/02","+100","+100","+100","+100","+100","+100","+90","+91.5","+93.3","+41.5","","+90.9"
"3","020011","統一微波高息20N","15.72","0","0","06/02","","","+100","+100","+100","+100","+80","+72.7","+60","+0.96","","+72.7"
"4","020012","富邦行動通訊N","25.52","0","0","06/02","","","+100","+100","+100","+90","+65.4","+57.9","+79.7","+54","","+58.4"
"5","020036","元大金融配息N","8.29","0","0","06/02","","","","+100","+49","+14.3","+20.4","+55.3","+20.3","+18.8","","+29.9"
"6","020040","元大上櫃ESG龍頭N","12.03","0","0","06/02","","","+100","+100","+50","+2.65","+14.6","+6.42","+10.8","","","+3.8"
"7","00717","富邦美國特別股","15.21","+0.13","+0.86","06/02","+85.3","+87.3","+91.3","+88.2","+82.4","+85.5","+78.7","+68.9","+60","+50.8","","+69.7"
"8","00989B","台新美國非投等債","10","+0.01","+0.1","06/02","+97.3","+89","+91.3","+88","+85.3","+64.4","","","","","",""
"9","00931B","統一美債20年","13.45","+0.13","+0.98","06/02","+92.6","+88.7","+84.7","+82.8","+66.4","+50.3","+52.1","+36.5","+37.3","","","+36.6"
"10","020028","元大特選電動車N","21.55","-0.39","-1.78","06/02","+75","+86.7","+82.8","+80.3","+87.2","+67.6","+64.3","+68.6","+49.7","+30.5","","+70.3"
"11","00688L","國泰20年美債正2","6.93","+0.1","+1.46","06/02","+85.3","+88.1","+77","+78","+78.6","+58.6","+58.2","+60","+32.5","-3.47","","+64.5"
"12","00909","國泰數位支付服務","52.15","+0.4","+0.77","06/02","+81.9","+76.9","+75.4","+76.7","+69","+60.3","+30.8","+16.9","+6.05","-4.13","","+23.5"
"13","00857B","永豐20年美公債","23.27","+0.22","+0.95","06/02","+95","+86.3","+79.2","+73.9","+61.3","+55","+45.3","+45.2","+30.2","-4.92","","+48.5"
"14","00986B","FT金融債10+","9.9","+0.04","+0.41","06/02","+51.1","+41.6","+74.2","+73.5","+55.3","+53.5","+4.48","+8.85","","","","+10.5"
"15","00647L","元大S&P500正2","137.45","-0.1","-0.07","06/02","+57.3","+88.2","+75.5","+73.2","+47.4","+42.3","+12.8","+5.95","+15.4","+1.66","-0.66","+8.63"
"16","00751B","元大AAA至A公司債","31.98","+0.29","+0.92","06/02","+81.5","+70.5","+73.1","+71.5","+66.5","+48.7","+44.6","+53","+47.6","-1.83","","+57.4"
"17","00932","兆豐永續高息等權","17.56","+0.31","+1.8","06/02","+77.4","+77","+81.3","+70.6","+73.4","+69.1","+67.7","+68.7","+63.9","","","+68.4"
