排名,代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖
1,5274,信驊,櫃,06/02,,18095.0,-405.0,-2.19,283,5169.0,18500.0,18475.0,18790.0,18070.0,3.89,154.0,114.76,,,,,
2,6515,穎崴,市,06/02,,8080.0,-625.0,-7.18,752,6185.0,8705.0,8655.0,8700.0,7895.0,9.25,164.0,44.82,,,,,
3,7769,鴻勁,市,06/02,,7175.0,-340.0,-4.52,1247,9025.0,7515.0,7120.0,7480.0,7110.0,4.92,89.5,20.58,,,,,
4,6223,旺矽,櫃,06/02,,5515.0,-165.0,-2.9,1292,7165.0,5680.0,5630.0,5695.0,5435.0,4.58,147.0,34.3,,,,,
5,6669,緯穎,市,06/02,,5475.0,-40.0,-0.73,1953,10713.0,5515.0,5580.0,5675.0,5315.0,6.53,18.4,7.26,,,,,
6,2059,川湖,市,06/02,,5075.0,-140.0,-2.68,362,1837.0,5215.0,5130.0,5205.0,4985.0,4.22,44.7,15.34,,,,,
7,2383,台光電,市,06/02,,4860.0,-210.0,-4.14,2173,10696.0,5070.0,5060.0,5075.0,4820.0,5.03,105.0,36.32,,,,,
8,3661,世芯-KY,市,06/02,,4575.0,-280.0,-5.77,2077,9669.0,4855.0,4870.0,4870.0,4500.0,7.62,66.9,8.64,,,,,
9,3443,創意,市,06/02,,4535.0,-120.0,-2.58,2851,12986.0,4655.0,4745.0,4795.0,4420.0,8.06,136.0,41.67,,,,,
10,2454,聯發科,市,06/02,,4525.0,-30.0,-0.66,15627,71944.0,4555.0,4970.0,4970.0,4380.0,13.0,71.9,18.51,,,,,
11,3653,健策,市,06/02,,3990.0,150.0,3.91,2994,12040.0,3840.0,3995.0,4165.0,3880.0,7.42,110.0,27.64,,,,,
12,3008,大立光,市,06/02,,3850.0,15.0,0.39,1409,5362.0,3835.0,3780.0,3850.0,3705.0,3.78,24.1,2.73,,,,,
13,3529,力旺,櫃,06/02,,3530.0,250.0,7.62,1015,3518.0,3280.0,3345.0,3530.0,3345.0,5.64,129.0,59.4,,,,,
14,3131,弘塑,櫃,06/02,,3305.0,40.0,1.23,511,1653.0,3265.0,3200.0,3315.0,3125.0,5.82,61.8,24.09,,,,,
15,7734,印能科技,櫃,06/02,,3230.0,-185.0,-5.42,141,465.0,3415.0,3425.0,3425.0,3230.0,5.71,81.5,13.09,,,,,
16,6510,精測,櫃,06/02,,3215.0,-75.0,-2.28,644,2092.0,3290.0,3365.0,3365.0,3165.0,6.08,94.3,10.75,,,,,
17,8299,群聯,櫃,06/02,,2820.0,50.0,1.81,10010,27844.0,2770.0,2810.0,2835.0,2690.0,5.23,27.3,8.41,,,,,
18,3017,奇鋐,市,06/02,,2700.0,-85.0,-3.05,4221,11578.0,2785.0,2800.0,2835.0,2650.0,6.64,44.4,23.47,,,,,
