到期 月份 (週別),契約 到期日,履約價,最高,最低,最後成交價,結算價,漲跌,成交量,未平倉
202606W1,20260603,46250.0,356,125,195,-,▲+65,3704,419
202606W1,20260603,46300.0,319,88,145,-,▲+27,12339,885
202606W1,20260603,46350.0,280,40,95,-,▼-16,12601,910
202606W1,20260603,46400.0,244,9.4,45,-,▼-56,30323,2421
202606W1,20260603,46450.0,211,0.1,0.2,-,▼-89.8,22955,4023
202606W1,20260603,46500.0,182,0.1,0.3,-,▼-81.7,34074,5637
202606W1,20260603,46550.0,152,0.1,0.2,-,▼-72.8,15490,1831
202606W1,20260603,46600.0,127,0.1,0.1,-,▼-65.9,19884,3099
202606W1,20260603,46650.0,107,0.1,0.1,-,▼-60.9,13736,1623
202606W1,20260603,46700.0,90,0.1,0.2,-,▼-51.8,14259,3074
202606F1,20260605,46250.0,670,555,620,640,▲+220,11,10
202606F1,20260605,46300.0,650,510,585,610,▲+203,58,55
202606F1,20260605,46350.0,595,545,590,580,▲+225,14,40
202606F1,20260605,46400.0,625,460,550,550,▲+198,156,124
202606F1,20260605,46450.0,545,452,515,515,▲+183,241,96
202606F1,20260605,46500.0,560,418,495,495,▲+178,318,241
202606F1,20260605,46550.0,535,407,456,468,▲+154,120,70
202606F1,20260605,46600.0,515,364,445,445,▲+157,240,216
202606F1,20260605,46650.0,434,365,434,419,▲+160,24,23
202606F1,20260605,46700.0,438,330,397,397,▲+136,145,72
202606W2,20260610,46250.0,985,890,985,975,▲+255,6,5
202606W2,20260610,46300.0,945,915,915,945,▲+205,11,14
202606W2,20260610,46350.0,910,855,880,915,▲+195,15,7
202606W2,20260610,46400.0,880,845,870,890,▲+210,34,30
202606W2,20260610,46450.0,845,810,835,860,▲+190,28,17
202606W2,20260610,46500.0,945,750,820,835,▲+195,71,38
202606W2,20260610,46550.0,815,725,790,805,▲+185,23,23
202606W2,20260610,46600.0,865,740,755,780,▲+170,26,20
202606W2,20260610,46650.0,-,-,-,755,-,0,1
202606W2,20260610,46700.0,765,640,710,730,▲+170,15,16
202606F2,20260612,46250.0,-,-,-,1190,-,0,0
202606F2,20260612,46300.0,-,-,-,1160,-,0,5
202606F2,20260612,46350.0,-,-,-,1130,-,0,0
202606F2,20260612,46400.0,-,-,-,1100,-,0,20
202606F2,20260612,46450.0,-,-,-,1070,-,0,0
202606F2,20260612,46500.0,-,-,-,1050,-,0,5
202606F2,20260612,46550.0,960,960,960,1020,▲+190,1,1
202606F2,20260612,46600.0,930,920,920,985,▲+170,2,5
202606F2,20260612,46650.0,-,-,-,950,-,0,0
202606F2,20260612,46700.0,910,880,880,915,▲+175,6,1
202606,20260617,46000.0,1760,1500,1650,1650,▲+290,499,851
202606,20260617,46050.0,-,-,-,1620,-,0,0
202606,20260617,46100.0,1700,1520,1610,1590,▲+300,15,79
202606,20260617,46150.0,-,-,-,1560,-,0,0
202606,20260617,46200.0,1640,1400,1500,1530,▲+240,34,108
202606,20260617,46250.0,-,-,-,1500,-,0,0
202606,20260617,46300.0,1590,1420,1430,1470,▲+220,10,96
202606,20260617,46350.0,1400,1400,1400,1440,▲+220,1,1
202606,20260617,46400.0,1460,1310,1400,1410,▲+240,21,87
202606,20260617,46450.0,1390,1360,1390,1390,▲+260,2,0
202606,20260617,46500.0,1470,1280,1380,1360,▲+270,69,161
202606,20260617,46550.0,1320,1320,1320,1330,▲+230,1,1
202606,20260617,46600.0,1400,1240,1290,1300,▲+220,14,117
202606,20260617,46650.0,1370,1260,1370,1280,▲+320,3,3
202606,20260617,46700.0,1350,1170,1220,1250,▲+190,21,145
202606,20260617,46750.0,1210,1170,1170,1220,▲+170,2,2
202606,20260617,46800.0,1300,1150,1170,1200,▲+185,16,131
202606,20260617,46850.0,1180,1180,1180,1170,▲+220,2,1
202606,20260617,46900.0,1250,1110,1170,1150,▲+225,32,138
202606,20260617,47000.0,1200,990,1120,1100,▲+220,235,726
202607,20260715,46000.0,2590,2590,2590,2630,▲+290,1,86
202607,20260715,46100.0,2570,2570,2570,2580,▲+320,1,1
202607,20260715,46200.0,-,-,-,2520,-,0,2
202607,20260715,46300.0,-,-,-,2460,-,0,0
202607,20260715,46400.0,-,-,-,2410,-,0,2
202607,20260715,46500.0,2500,2260,2320,2360,▲+260,95,74
202607,20260715,46600.0,-,-,-,2300,-,0,1
202607,20260715,46700.0,-,-,-,2250,-,0,0
202607,20260715,46800.0,-,-,-,2200,-,0,4
202607,20260715,46900.0,2150,2140,2140,2150,▲+280,3,0
