" "," ","#","股票代號/名稱","類別","20260430","0508","0515","0522","0529","0605"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","1","2492華新科","電子零組件","-0.05","4.24","5.43","1.67","2.07","0.47"," ","30","13.83"," ","72.86","416.00","24.00"," "
" "," ","2","6282康舒","電子零組件","0.19","0.68","1.42","2.27","3.13","5.20"," ","50","12.89"," ","56.10","63.80","-7.00"," "
" "," ","3","2344華邦電","半導體","0.88","3.04","3.85","-2.56","4.40","-0.05"," ","30","9.56"," ","73.99","162.00","-17.50"," "
" "," ","4","4916事欣科","電腦週邊","-1.46","0.70","0.88","11.94","-3.13","-0.05"," ","31","8.88"," ","44.98","120.00","-2.50"," "
" "," ","5","4906正文","通信網路","-0.09","2.30","1.70","1.05","5.27","-1.78"," ","30","8.45"," ","33.33","47.95","-0.95"," "
" "," ","6","2481強茂","半導體","-2.26","0.86","8.03","0.41","-0.08","1.33"," ","31","8.29"," ","67.32","165.00","5.50"," "
" "," ","7","6770力積電","半導體","0.01","3.28","-3.42","0.18","11.58","-3.71"," ","30","7.92"," ","51.75","74.60","-6.40"," "
" "," ","8","3704合勤控","通信網路","0.10","0.06","0.79","2.59","2.27","2.01"," ","10","7.82"," ","64.42","47.70","0.00"," "
" "," ","9","3591艾笛森","光電","0.37","1.38","0.80","2.05","2.68","-0.03"," ","30","7.25"," ","55.45","24.25","-0.35"," "
" "," ","10","2406國碩","光電","0.34","3.21","-0.53","-0.75","0.70","4.07"," ","50","7.04"," ","41.19","34.65","-3.85"," "
" "," ","11","2027大成鋼","鋼鐵","1.22","1.15","1.13","2.30","0.58","0.58"," ","21","6.96"," ","73.70","43.80","-0.30"," "
" "," ","12","2243宏旭-KY","汽車","2.43","-0.21","-0.09","-0.64","0.46","4.98"," ","50","6.93"," ","59.50","28.05","-1.60"," "
" "," ","13","3305昇貿","其他電子","-1.22","1.54","3.66","-0.56","2.90","0.38"," ","30","6.70"," ","50.81","156.00","-4.00"," "
" "," ","14","3450聯鈞","半導體","-3.58","3.92","7.73","-0.30","-0.37","-0.80"," ","10","6.60"," ","47.59","501.00","-19.00"," "
" "," ","15","3048益登","電子通路","0.30","1.18","7.57","4.54","-1.10","-5.93"," ","10","6.56"," ","52.18","66.30","-1.50"," "
" "," ","16","3033威健","電子通路","1.05","3.28","2.49","-0.67","0.50","-0.15"," ","30","6.50"," ","41.76","51.80","1.80"," "
" "," ","17","2478大毅","電子零組件","-0.93","1.41","1.13","5.71","-2.77","1.94"," ","31","6.49"," ","64.06","150.00","12.50"," "
" "," ","18","1563巧新","汽車","0.37","0.56","0.63","0.14","1.92","2.55"," ","50","6.17"," ","47.27","65.30","-1.00"," "
" "," ","19","6706惠特","光電","5.27","1.94","-3.12","2.57","5.24","-5.78"," ","30","6.12"," ","35.55","190.00","-4.50"," "
" "," ","20","1514亞力","電機","-0.21","-0.12","-1.02","-0.15","1.31","6.11"," ","50","5.92"," ","51.55","135.00","-14.50"," "
" "," ","21","2399映泰","電腦週邊","0.81","-3.70","0.19","2.10","4.33","1.93"," ","30","5.66"," ","35.12","48.75","-1.00"," "
" "," ","22","2369菱生","半導體","-0.01","3.37","-2.21","-0.14","8.20","-3.60"," ","30","5.61"," ","36.23","34.90","-0.35"," "
" "," ","23","3231緯創","電腦週邊","0.53","1.26","-1.42","0.25","1.48","3.44"," ","50","5.54"," ","66.04","171.00","-5.00"," "
" "," ","24","2408南亞科","半導體","2.99","1.69","0.98","-2.10","1.31","0.51"," ","30","5.38"," ","82.88","360.00","-35.00"," "
" "," ","25","6658聯策","其他電子","1.33","2.18","0.05","3.00","-0.62","-0.58"," ","31","5.36"," ","46.22","188.00","-15.00"," "
" "," ","26","2375凱美","電子零組件","-1.23","1.32","0.61","7.80","2.54","-5.96"," ","10","5.08"," ","31.71","156.00","11.00"," "
" "," ","27","3090日電貿","電子零組件","-1.43","2.88","-2.80","5.27","0.73","0.18"," ","10","4.83"," ","68.01","221.00","0.00"," "
" "," ","28","3550聯穎","電子零組件","0.52","-1.80","0.29","1.73","-1.09","5.04"," ","31","4.69"," ","48.29","24.05","0.10"," "
" "," ","29","2603長榮","航運","0.32","0.93","0.29","0.28","0.97","1.88"," ","50","4.67"," ","72.52","232.00","-4.00"," "
" "," ","30","6206飛捷","電腦週邊","-0.29","0.29","3.43","-0.38","2.64","-1.09"," ","30","4.60"," ","53.61","141.50","1.50"," "
" "," ","31","3481群創","光電","-0.57","6.63","2.81","2.38","-8.17","1.37"," ","31","4.45"," ","45.67","53.70","-2.10"," "
" "," ","32","3528安馳","電子通路","0.59","0.37","-1.48","1.39","4.26","-0.74"," ","30","4.39"," ","70.33","138.00","-2.00"," "
" "," ","33","4722國精化","化學","0.09","2.18","1.01","1.30","-0.50","0.29"," ","31","4.37"," ","59.61","277.00","-1.00"," "
" "," ","34","6449鈺邦","電子零組件","-0.38","1.01","3.21","2.23","-0.28","-1.47"," ","10","4.32"," ","75.85","371.00","-14.00"," "
" "," ","35","3006晶豪科","半導體","1.19","2.53","7.22","-4.14","0.75","-3.34"," ","30","4.21"," ","54.10","222.50","-22.50"," "
" "," ","36","4526東台","電機","-0.43","1.76","-1.29","2.04","1.32","0.76"," ","10","4.16"," ","50.67","42.15","-1.90"," "
" "," ","37","1605華新","電器電纜","-0.05","1.85","-0.60","0.42","0.51","1.92"," ","50","4.05"," ","73.88","39.55","-2.05"," "
" "," ","38","2421建準","電子零組件","0.42","-0.78","-0.98","1.14","1.87","2.35"," ","50","4.02"," ","60.00","161.50","-7.00"," "
" "," ","39","2342茂矽","半導體","0.01","5.00","-4.56","1.07","0.34","2.16"," ","31","4.02"," ","43.08","41.40","-1.65"," "
" "," ","40","2349錸德","光電","-0.04","-0.02","-0.14","0.44","1.29","2.44"," ","50","3.97"," ","30.11","14.00","-0.90"," "
" "," ","41","8114振樺電","電腦週邊","-1.74","0.34","5.88","-0.17","0.09","-0.43"," ","30","3.97"," ","50.32","229.00","-9.50"," "
" "," ","42","2312金寶","其他電子","0.01","-0.13","0.81","3.46","0.91","-1.10"," ","10","3.96"," ","51.66","39.30","-1.75"," "
" "," ","43","2428興勤","電子零組件","0.00","0.45","1.57","1.74","0.78","-0.59"," ","10","3.95"," ","64.53","283.00","18.00"," "
" "," ","44","6285啟卅卅","通信網路","-0.37","2.67","1.33","-0.22","1.38","-1.00"," ","30","3.79"," ","68.39","292.00","-4.00"," "
" "," ","45","2438翔耀","光電","0.01","-0.02","3.85","-0.01","-0.19","0.02"," ","31","3.66"," ","58.35","24.15","-1.80"," "
