排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,2483,百容,30.45,2.75,9.93,10503,06/05,307.0,551.0,555.0,576.0,620.0,727.0,812.0,333.0,227.0,334.0
2,4767,誠泰科技,27.5,-0.2,-0.72,9,06/05,0.0,500.0,500.0,50.0,500.0,50.0,-73.9,-45.5,-81.8,-53.8
3,00989B,台新美國非投等債,10.01,0.01,0.1,366,06/05,0.0,333.0,333.0,333.0,333.0,-84.3,,,,
4,2885,元大金,65.3,1.4,2.19,40414,06/05,31.4,28.8,307.0,303.0,242.0,271.0,277.0,427.0,69.2,362.0
5,00916,國泰全球品牌50,30.0,-1.27,-4.06,9711,06/05,24.6,56.2,213.0,29500.0,29500.0,29500.0,2860.0,11740.0,825.0,19633.0
6,1726,永記,79.1,-0.1,-0.13,70,06/05,0.0,150.0,212.0,212.0,212.0,257.0,,,,
7,7786,東方風能,125.0,3.5,2.88,671,06/05,75.0,45.6,211.0,469.0,,,,,,
8,7791,皇家可口,69.2,2.2,3.28,323,06/05,183.0,162.0,209.0,183.0,278.0,,,,,
9,00652,富邦印度,31.65,0.15,0.48,768,06/05,-5.81,47.5,198.0,198.0,192.0,342.0,100.0,217.0,100.0,121.0
10,0055,元大MSCI金融,39.14,0.26,0.67,932,06/05,-12.9,61.5,193.0,184.0,252.0,167.0,389.0,1660.0,935.0,91.3
11,6115,鎰勝,49.4,-0.5,-1.0,718,06/05,25.4,107.0,190.0,205.0,200.0,71.4,784.0,291.0,600.0,380.0
12,009807,台新標普科技精選,17.03,-0.23,-1.33,56,06/05,0.0,450.0,175.0,4.76,175.0,450.0,-47.6,-51.1,-35.3,-38.9
13,009809,富邦淨零ESG50,17.18,-0.24,-1.38,491,06/05,14.3,33.3,167.0,167.0,167.0,33.3,60.0,-61.9,,-11.1
14,8424,惠普,72.9,0.0,0.0,94,06/05,167.0,167.0,167.0,300.0,300.0,300.0,,300.0,167.0,
15,2434,統懋,35.2,-0.35,-0.98,66,06/05,-3.96,-3.96,149.0,70.2,322.0,341.0,246.0,98.0,2325.0,259.0
16,00752,中信中國50,23.01,-0.08,-0.35,1283,06/05,1.87,3.72,120.0,30.6,95.3,201.0,182.0,72.7,8.76,53.7
17,7757,金色三麥,110.5,0.5,0.45,68,06/05,44.4,44.4,117.0,333.0,1200.0,,,,,
18,00898,國泰基因免疫革命,8.41,0.22,2.69,1840,06/05,64.7,64.7,100.0,-22.2,0.0,-6.67,-60.6,-63.6,-90.4,-66.3
19,00921,兆豐龍頭等權重,23.1,-0.39,-1.66,356,06/05,0.0,-50.0,100.0,500.0,,,-50.0,-86.4,-91.7,-84.6
20,2751,王座,53.1,0.8,1.53,8,06/05,0.0,33.3,100.0,33.3,0.0,-42.9,-33.3,,,300.0
21,2867,三商壽,8.08,-0.04,-0.49,13568,06/05,2.59,61.6,97.4,103.0,,,,,,
22,00939,統一台灣高息動能,20.89,-0.09,-0.43,4930,06/05,7.64,86.7,93.8,89.0,118.0,70.3,-29.2,-70.4,-87.8,-61.8
23,2243,宏旭-KY,28.05,-1.6,-5.4,1848,06/05,-13.3,87.7,91.0,127.0,123.0,263.0,233.0,139.0,110.0,154.0
24,7788,松川精密,224.0,20.0,9.8,4318,06/05,26.1,71.2,87.7,89.2,77.9,268.0,,,,
25,1714,和桐,11.5,-0.6,-4.96,64868,06/05,-38.8,-21.8,87.2,78.4,62.2,23.0,82.4,104.0,98.2,100.0
26,4104,佳醫,71.5,0.0,0.0,149,06/05,0.0,79.4,87.1,17.6,6.75,35.9,28.9,123.0,25.2,79.4
27,009819,中信數據及電力,10.75,-0.16,-1.47,31243,06/05,-0.32,26.4,82.9,114.0,34.8,-13.9,,,,
28,8487,愛爾達-創,80.0,0.6,0.76,60,06/05,-5.26,50.0,80.0,63.6,-28.0,12.5,63.6,1700.0,800.0,1700.0
29,2114,鑫永銓,93.5,2.1,2.3,272,06/05,25.0,30.4,76.5,15.4,-50.0,-46.4,-54.5,0.0,30.4,-26.8
30,2059,川湖,5620.0,270.0,5.05,1330,06/05,71.7,74.0,74.9,52.7,33.8,30.3,-2.7,5.7,23.9,18.4
31,00998A,主動復華金融股息,16.23,0.07,0.43,5213,06/05,10.3,72.0,73.9,79.8,-16.2,-26.9,,,,
