排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 超過 600張 (萬張),超過 600張 增減 (張),超過 600張 增減 (%),持股 超過 800張 (萬張),超過 800張 增減 (張),超過 800張 增減 (%),持股 超過 1千張 (萬張),超過 1千張 增減 (張),超過 1千張 增減 (%)
1,00715L,期街口布蘭特正2,57.1,2.0,3.63,26W23,06/05,5.75,29933.0,109.0,5.39,30800.0,133.0,5.21,30701.0,143.0
2,8093,保銳,18.25,0.0,0.0,26W23,06/05,3.72,20000.0,116.0,3.72,20000.0,116.0,3.62,20000.0,123.0
3,00700,富邦恒生國企,16.75,-0.18,-1.06,26W23,06/05,0.27,144.0,5.57,0.21,902.0,78.4,0.12,94.1,8.17
4,00920,富邦ESG綠色電力,25.84,-1.06,-3.94,26W23,06/05,0.32,756.0,31.4,0.32,1375.0,76.9,0.12,1186.0,
5,00916,國泰全球品牌50,30.0,0.0,0.0,26W23,06/05,2.04,8464.0,70.8,2.04,8464.0,70.8,1.78,8464.0,91.1
6,00988A,主動統一全球創新,20.25,-1.21,-5.64,26W23,06/05,47.7,166429.0,53.6,43.8,169625.0,63.3,40.7,168957.0,70.9
7,00962,台新AI優息動能,14.68,-0.89,-5.72,26W23,06/05,2.02,7557.0,60.0,2.02,7557.0,60.0,1.82,7557.0,71.3
8,00861,元大全球未來通訊,88.3,-4.75,-5.1,26W23,06/05,0.42,200.0,4.98,0.42,1540.0,57.5,0.25,-163.0,-6.09
9,4931,新盛力,266.5,24.0,9.9,26W23,06/05,1.9,2617.0,16.0,1.63,5278.0,47.8,0.91,649.0,7.73
10,4967,十銓,277.5,-1.5,-0.54,26W23,06/05,2.59,9283.0,55.9,2.22,7157.0,47.5,2.04,7884.0,62.8
11,00731,復華富時高息低波,81.95,-2.2,-2.61,26W23,06/05,0.6,827.0,16.0,0.45,1388.0,45.1,0.36,532.0,17.3
12,00907,永豐優息存股,15.73,-0.57,-3.5,26W23,06/05,2.93,9538.0,48.3,2.86,8865.0,44.9,2.77,9840.0,55.1
13,6207,雷科,130.5,-14.0,-9.69,26W23,06/05,1.98,4433.0,28.8,1.79,5245.0,41.6,1.33,2409.0,22.1
14,4513,福裕,15.45,0.2,1.31,26W23,06/05,6.83,20005.0,41.4,6.83,20005.0,41.4,6.74,20007.0,42.2
15,00991A,主動復華未來50,18.69,-0.53,-2.76,26W23,06/05,59.8,164268.0,37.8,56.5,160545.0,39.7,52.7,158649.0,43.0
16,4977,眾達-KY,180.5,-20.0,-9.98,26W23,06/05,1.08,-1133.0,-9.47,0.95,2482.0,35.6,0.7,0.0,0.0
17,4939,亞電,65.6,5.9,9.88,26W23,06/05,2.81,4825.0,20.7,2.75,6988.0,34.1,2.49,6843.0,37.9
18,3234,光環,124.0,-1.0,-0.8,26W23,06/05,3.69,7768.0,26.7,3.15,7715.0,32.5,2.87,7640.0,36.3
19,00685L,群益臺灣加權正2,266.85,-24.7,-8.47,26W23,06/05,0.38,224.0,6.3,0.38,891.0,30.9,0.38,891.0,30.9
20,00896,中信綠能及電動車,27.77,-1.19,-4.11,26W23,06/05,2.11,3428.0,19.4,1.85,4301.0,30.4,1.6,2647.0,19.9
21,00852L,國泰美國道瓊正2,32.77,-1.02,-3.02,26W23,06/05,0.49,363.0,8.02,0.49,1130.0,30.1,0.41,311.0,8.28
22,00782B,國泰A級公用債,30.32,-0.16,-0.52,26W23,06/05,0.37,685.0,22.8,0.3,685.0,29.0,0.12,-145.0,-10.7
23,00799B,國泰A級醫療債,29.44,-0.2,-0.67,26W23,06/05,0.41,119.0,3.02,0.41,911.0,28.9,0.12,3.98,0.33
24,6485,點序,101.0,-11.0,-9.82,26W23,06/05,1.45,990.0,7.3,1.33,2619.0,24.5,1.07,1840.0,20.8
25,00642U,期元大S&P石油,29.89,0.47,1.6,26W23,06/05,4.34,6931.0,19.0,4.08,7133.0,21.2,3.91,5444.0,16.2
26,00930,永豐ESG低碳高息,23.65,-1.36,-5.44,26W23,06/05,1.66,1441.0,9.52,1.58,2701.0,20.6,1.49,2737.0,22.5
27,9103,美德醫療-DR,6.06,0.21,3.59,26W23,06/05,1.74,2095.0,13.7,1.18,1957.0,19.9,0.91,1084.0,13.6
28,6226,光鼎,12.8,-0.8,-5.88,26W23,06/05,2.61,2842.0,12.2,2.24,3579.0,19.0,1.79,20.0,0.11
29,3535,晶彩科,123.0,-7.5,-5.75,26W23,06/05,2.06,3233.0,18.6,2.06,3233.0,18.6,1.79,580.0,3.34
