排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,020001,富邦存股雙十N,25.24,0.0,0.0,06/09,,,,100.0,100.0,100.0,90.2,91.7,93.4,41.6,,91.3
2,020012,富邦行動通訊N,24.94,0.87,3.61,06/09,100.0,100.0,100.0,100.0,100.0,90.0,63.6,58.1,79.7,53.9,,58.6
3,00786B,元大10年IG銀行債,32.45,0.02,0.06,06/09,94.7,96.9,96.7,93.6,53.7,54.5,57.4,41.8,35.8,-7.09,,58.3
4,00684R,期元大美元指反1,15.11,0.06,0.4,06/09,100.0,57.9,57.9,91.9,48.4,59.1,4.51,20.3,13.1,-6.54,,17.2
5,020039,元大加權N,14.12,0.34,2.47,06/09,98.4,91.2,86.0,91.6,84.4,46.8,59.2,34.2,37.7,,,34.1
6,00688L,國泰20年美債正2,6.77,-0.01,-0.15,06/09,49.6,88.1,84.6,85.4,81.6,62.2,55.2,64.6,33.4,-3.17,,65.2
7,00680L,元大美債20正2,6.79,-0.01,-0.15,06/09,70.2,81.0,81.9,83.0,75.1,54.3,47.3,55.8,29.7,-1.8,,55.9
8,020038,元大ESG配息N,13.2,0.17,1.3,06/09,-100.0,56.2,80.4,79.5,12.1,20.8,38.7,49.1,58.3,,,47.2
9,00989B,台新美國非投等債,10.02,0.01,0.1,06/09,95.7,76.8,82.5,74.6,82.7,78.0,,,,,,
10,00856B,永豐1-3年美公債,37.56,0.13,0.35,06/09,-41.7,0.0,74.3,74.3,65.2,-1.99,10.8,-21.1,-15.4,-3.4,,-9.16
11,00982B,FT投資級債20+,9.81,-0.04,-0.41,06/09,82.9,91.8,93.2,72.0,21.5,46.9,31.6,34.2,7.91,,,38.1
12,00787B,元大10年IG醫療債,32.66,0.08,0.25,06/09,19.4,55.0,62.1,71.3,62.0,71.5,66.7,47.0,35.5,-4.77,,63.7
