排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,910322,康師傅-DR,21.3,-0.25,-1.16,06/17,-96.9,-95.0,-86.3,-73.3,-76.3,-59.2,-28.2,-11.3,-9.98,-1.45,-0.26,-2.62
2,00689R,國泰20年美債反1,21.79,-0.17,-0.77,06/17,0.0,33.3,-75.1,-83.6,-61.8,19.4,11.4,13.8,8.85,2.25,,14.0
3,4915,致伸,76.0,0.3,0.4,06/17,-47.4,-60.6,-54.9,-38.0,-26.2,-17.5,-21.6,-22.4,-9.78,-3.73,-0.55,-22.2
4,00666R,富邦恒生國企反1,9.48,0.12,1.28,06/17,11.1,5.86,-52.9,-36.0,-19.6,-6.87,-1.36,2.61,1.44,0.37,,2.61
5,4770,上品,213.5,-0.5,-0.23,06/17,-34.7,-45.6,-51.6,-48.6,-15.0,-3.08,-5.33,-2.43,-1.82,-0.38,,-2.67
6,2640,大車隊,154.5,-1.0,-0.64,06/17,-36.8,-49.2,-49.4,-40.6,-39.7,-22.2,-2.63,-14.2,-11.7,-4.02,0.28,-14.5
7,2948,寶陞,36.7,-0.5,-1.34,06/17,-71.8,-71.1,-48.2,-20.3,-7.67,-2.6,-3.07,-5.92,-3.35,,,-6.03
8,6782,視陽,190.5,0.5,0.26,06/17,-16.5,-40.4,-47.1,-26.1,0.08,-5.32,-5.76,-0.48,0.38,0.77,,-0.4
9,6951,青新-創,78.6,-0.6,-0.76,06/17,-67.6,-44.3,-46.6,-26.1,-14.9,-6.11,-1.54,-0.76,-0.43,,,-0.23
10,5871,中租-KY,115.0,-1.5,-1.29,06/17,-51.8,-51.0,-44.2,-27.4,-26.3,-22.7,-3.89,6.75,1.56,-9.38,-2.61,-0.32
11,2206,三陽工業,61.9,0.3,0.49,06/17,-14.4,-28.7,-43.1,-34.1,-10.6,-6.47,-11.4,-10.9,-6.88,-1.78,0.21,-11.7
12,8464,億豐,349.5,-1.5,-0.43,06/17,-55.6,-48.6,-42.4,-25.3,-9.01,-0.15,3.89,1.73,1.09,0.35,0.24,3.5
13,9917,中保科,117.5,-0.5,-0.42,06/17,-39.6,-41.1,-42.3,-26.4,-5.61,0.39,3.51,1.17,0.47,0.05,-0.15,-2.58
14,4771,望隼,186.5,-0.5,-0.27,06/17,-27.6,-34.8,-41.3,-24.0,-9.95,3.4,3.99,3.49,2.16,,,3.82
15,2459,敦吉,64.7,-0.4,-0.61,06/17,-37.7,-26.3,-41.0,-39.0,-32.3,-18.2,-12.6,-8.76,-6.01,-4.48,-1.47,-9.26
16,3217,優群,169.5,2.5,1.5,06/17,-36.7,-49.7,-39.9,-13.0,-5.13,7.29,2.33,-2.2,-0.98,0.25,0.14,-1.94
17,2211,長榮鋼,94.1,-1.8,-1.88,06/17,-59.1,-46.5,-39.0,-15.5,-6.0,-4.78,-10.4,-20.4,-4.44,-5.39,,-7.73
18,8436,大江,117.0,-1.0,-0.85,06/17,-49.0,-52.0,-39.0,-23.6,-4.67,2.0,-5.0,-1.45,-1.04,-0.51,-0.04,7.14
19,3005,神基,102.5,1.0,0.99,06/17,17.6,-18.4,-38.6,-10.5,-0.14,9.28,-0.35,-11.6,-1.92,-3.29,-0.75,-11.7
20,00969B,元大零息超長美債,8.45,0.08,0.96,06/17,-9.43,-4.98,-38.2,-32.6,-36.7,-36.2,-2.89,7.44,3.03,,,7.96
21,00943,兆豐電子高息等權,21.95,0.27,1.25,06/17,-6.02,-44.4,-38.1,-23.9,-34.4,3.03,44.3,28.5,13.9,,,29.4
22,3376,新日興,197.5,-2.5,-1.25,06/17,-39.2,-41.0,-38.1,-22.6,-9.07,0.93,-0.6,-1.47,-0.76,-0.11,-0.3,-1.55
23,2912,統一超,229.0,1.0,0.44,06/17,-34.1,-36.9,-37.9,-26.8,-24.2,-33.9,-13.3,-10.7,-13.4,-12.9,-7.74,-10.2
24,1476,儒鴻,323.5,-5.0,-1.52,06/17,4.9,-30.4,-37.2,-35.6,-36.9,-9.77,-12.0,-6.34,-7.12,-5.39,-1.41,-5.92
25,2204,中華,56.2,0.6,1.08,06/17,-40.0,-25.7,-36.4,-19.9,-5.7,-7.67,-13.8,-12.0,-5.42,-2.06,-1.2,-11.9
26,4123,晟德,37.15,0.1,0.27,06/17,-14.4,-41.7,-35.9,-26.2,-12.3,-10.6,-13.9,-3.34,-2.67,-0.93,-0.66,-4.21
27,6412,群電,92.5,0.9,0.98,06/17,-54.8,-46.5,-35.6,-9.73,10.2,13.9,5.61,2.13,-1.09,-3.35,0.55,1.06
28,3349,寶德,18.2,-0.05,-0.27,06/17,22.9,-29.5,-34.4,-21.3,-8.06,6.45,4.73,0.1,1.21,1.0,,1.99
29,9955,佳龍,27.3,0.4,1.49,06/17,-17.8,-34.7,-31.9,-24.5,-24.0,-8.98,-6.23,-0.71,-0.48,-0.08,-0.04,-1.12
30,6835,圓裕,36.2,-0.15,-0.41,06/17,-36.9,-37.3,-31.5,-39.5,-34.0,-3.62,-1.55,-1.46,-0.59,-0.23,,-1.97
31,00981D,主動中信非投等債,10.33,-0.01,-0.1,06/17,-39.4,-47.0,-31.3,-14.0,9.95,20.6,17.0,3.14,,,,3.69
32,8937,合騏*,29.25,0.75,2.63,06/17,-11.8,-34.3,-30.7,-12.2,-22.8,-7.55,-2.02,-1.47,-0.76,-0.16,-0.12,-1.46
33,6477,安集,32.55,0.5,1.56,06/17,8.91,-42.3,-30.5,-3.24,-8.93,1.07,-2.66,0.94,0.78,0.49,,1.14
34,9904,寶成,26.45,0.25,0.95,06/17,-3.37,-23.5,-30.4,-20.8,-17.8,-23.3,-27.4,-18.0,-11.0,-2.74,-1.11,-14.4
35,1218,泰山,17.95,0.05,0.28,06/17,-22.3,-15.0,-30.3,-31.3,-18.9,-5.34,-2.64,5.82,-0.59,0.95,0.2,5.65
36,00746B,富邦A級公司債,35.75,0.09,0.25,06/17,-28.8,-58.7,-30.0,-6.99,14.5,15.7,53.2,53.3,52.1,44.3,,51.5
37,00970B,新光BBB投等債20+,9.42,0.01,0.11,06/17,-56.8,-21.2,-29.6,8.88,15.5,28.0,36.0,34.1,38.4,,,33.0
38,00908,富邦入息REITs+,15.03,0.01,0.07,06/17,0.0,-63.3,-29.5,-16.5,34.0,37.6,26.8,19.0,7.2,3.41,,20.7
39,8085,福華,13.05,0.55,4.4,06/17,-31.8,-38.4,-29.5,-33.0,-28.6,-15.6,-3.97,-0.46,-0.7,0.0,-0.02,-0.32
40,9941,裕融,81.4,-0.2,-0.25,06/17,-18.7,-30.6,-29.4,-32.0,-27.7,-23.9,-5.19,-11.0,-5.94,-2.47,-1.15,-11.3
41,6214,精誠,141.0,0.0,0.0,06/17,-6.39,-20.3,-29.3,-23.3,-4.86,8.87,6.45,3.2,0.49,0.14,0.6,4.24
