排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 超過 600張 (%),超過 600張 增減,持股 超過 800張 (%),超過 800張 增減,持股 超過 1千張 (%),超過 1千張 增減
301,6945,圓祥生技,98.9,0.4,0.41,26W25,06/18,59.5,0.51,57.4,0.51,53.7,0.51
302,6101,寬魚國際,41.65,1.15,2.84,26W25,06/18,87.4,-0.06,83.6,0.51,80.1,0.51
303,5371,中光電,70.0,1.1,1.6,26W25,06/18,41.6,0.35,40.6,0.04,39.6,0.51
304,00683L,期元大美元指正2,21.63,0.33,1.55,26W25,06/18,50.1,0.5,50.1,0.5,50.1,0.5
305,5464,霖宏,73.7,0.3,0.41,26W25,06/18,71.3,2.4,65.5,0.5,57.7,0.5
306,7749,意騰-KY,484.5,-1.0,-0.21,26W25,06/18,38.4,-0.95,33.0,0.5,29.0,0.5
307,2884,玉山金,35.4,-0.1,-0.28,26W25,06/18,70.3,0.47,68.9,0.49,67.8,0.5
308,3188,鑫龍騰,24.95,-0.15,-0.6,26W25,06/18,71.9,-0.01,70.4,-0.03,69.0,0.5
309,4931,新盛力,261.5,8.5,3.36,26W25,06/18,24.6,-0.22,20.7,1.76,15.1,0.49
310,4105,東洋,73.5,-0.2,-0.27,26W25,06/18,43.8,-0.12,41.2,-0.19,38.3,0.49
311,00919,群益台灣精選高息,30.81,0.46,1.52,26W25,06/18,10.1,0.48,9.48,0.48,8.93,0.48
312,2303,聯電,145.5,5.5,3.93,26W25,06/18,76.0,0.52,75.1,0.51,74.5,0.48
313,3714,富采,67.2,1.3,1.97,26W25,06/18,38.2,-0.02,36.9,0.36,35.3,0.48
314,5475,德宏,252.0,22.5,9.8,26W25,06/18,37.9,1.03,35.2,0.49,34.4,0.48
315,3034,聯詠,516.0,1.0,0.19,26W25,06/18,66.4,0.4,63.1,0.75,59.7,0.47
316,5508,永信建,61.7,0.6,0.98,26W25,06/18,68.0,0.48,66.4,0.47,66.4,0.47
317,00881,國泰台灣科技龍頭,55.4,0.45,0.82,26W25,06/18,13.4,0.42,13.0,0.42,12.8,0.46
318,9933,中鼎,42.65,-0.4,-0.93,26W25,06/18,56.9,0.24,55.1,0.46,53.7,0.46
319,00971,野村美國研發龍頭,16.67,-0.1,-0.6,26W25,06/18,18.1,0.57,15.7,0.46,14.3,0.46
320,2634,漢翔,47.2,0.0,0.0,26W25,06/18,48.0,0.54,47.2,0.53,46.8,0.45
321,3416,融程電,176.0,1.5,0.86,26W25,06/18,55.8,0.6,54.1,0.45,51.8,0.45
322,4129,聯合,90.9,0.0,0.0,26W25,06/18,50.7,0.41,49.2,0.43,47.2,0.45
323,006205,富邦上証,41.54,0.47,1.14,26W25,06/18,38.3,0.45,34.0,0.45,33.1,0.44
324,6120,達運,15.05,0.35,2.38,26W25,06/18,59.1,0.49,58.1,0.61,56.9,0.44
325,6443,元晶,39.35,-1.2,-2.96,26W25,06/18,17.2,0.47,16.3,0.43,15.8,0.44
326,6210,慶生,20.7,0.05,0.24,26W25,06/18,50.4,0.0,44.8,-2.0,36.4,0.44
327,6409,旭隼,926.0,-4.0,-0.43,26W25,06/18,56.5,0.37,49.5,-0.45,46.3,0.44
328,1773,勝一,180.0,5.5,3.15,26W25,06/18,72.6,0.38,70.3,0.41,69.7,0.43
329,8926,台汽電,79.0,-0.4,-0.5,26W25,06/18,59.1,0.4,57.4,0.23,55.9,0.43
330,1608,華榮,34.65,-0.1,-0.29,26W25,06/18,63.4,0.09,62.6,0.73,61.0,0.43
331,00850,元大臺灣ESG永續,92.45,1.05,1.15,26W25,06/18,17.0,0.19,16.7,0.19,15.8,0.43
332,3707,漢磊,83.2,2.7,3.35,26W25,06/18,49.1,0.73,48.6,0.9,47.0,0.43
333,6488,環球晶,1110.0,10.0,0.91,26W25,06/18,78.0,0.77,75.7,0.61,72.6,0.43
334,4976,佳凌,43.9,2.2,5.28,26W25,06/18,31.5,1.49,30.0,0.96,27.0,0.43
335,2065,世豐,34.5,-0.2,-0.58,26W25,06/18,49.5,-0.22,47.3,1.94,42.7,0.42
336,6806,森崴能源,3.24,-0.36,-10.0,26W25,06/18,60.0,0.42,59.8,0.42,59.5,0.42
337,9914,美利達,72.1,-0.9,-1.23,26W25,06/18,63.7,0.24,62.1,-0.21,57.0,0.42
338,8936,國統,58.1,3.0,5.44,26W25,06/18,30.1,0.02,27.3,0.37,24.2,0.42
339,00944,野村趨勢動能高息,22.17,0.54,2.5,26W25,06/18,9.43,1.81,7.04,0.66,5.26,0.42
340,6166,凌華,155.5,13.0,9.12,26W25,06/18,73.9,-1.18,71.4,0.01,69.3,0.42
341,2547,日勝生,11.2,0.0,0.0,26W25,06/18,67.3,0.49,64.9,0.5,62.9,0.42
342,6669,緯穎,5130.0,50.0,0.98,26W25,06/18,60.5,-0.29,57.0,-0.44,56.0,0.42
343,2892,第一金,32.6,0.1,0.31,26W25,06/18,68.9,0.4,67.7,0.42,66.8,0.41
344,2363,矽統,62.9,3.9,6.61,26W25,06/18,35.2,0.6,33.3,0.07,32.0,0.41
345,6213,聯茂,280.0,12.5,4.67,26W25,06/18,56.0,0.94,53.3,0.89,51.1,0.41
346,00639,富邦深100,18.69,0.38,2.08,26W25,06/18,26.0,0.38,21.5,-0.4,18.2,0.4
347,00757,統一FANG+,128.9,-0.45,-0.35,26W25,06/18,29.6,0.7,28.7,0.7,28.4,0.4
348,1611,中電,13.0,-0.3,-2.26,26W25,06/18,50.3,0.12,48.8,-0.12,45.9,0.4
349,00686R,群益臺灣加權反1,1.0,-0.01,-0.99,26W25,06/18,54.0,-0.09,47.9,-0.59,43.9,0.4
350,00941,中信上游半導體,28.6,0.47,1.67,26W25,06/18,7.26,0.1,6.02,0.4,5.36,0.39
351,2617,台航,29.85,-0.3,-1.0,26W25,06/18,60.3,0.35,59.2,0.19,58.1,0.39
352,3528,安馳,110.5,-12.0,-9.8,26W25,06/18,67.4,0.54,67.4,1.74,64.9,0.39
353,6418,詠昇,31.65,-0.05,-0.16,26W25,06/18,53.4,0.39,51.4,0.39,51.4,0.39
354,3703,欣陸,21.8,-0.1,-0.46,26W25,06/18,70.2,0.1,69.5,0.27,68.7,0.38
355,2349,錸德,13.85,0.2,1.47,26W25,06/18,26.9,0.34,24.6,0.38,22.5,0.38
356,2903,遠百,23.95,-0.2,-0.83,26W25,06/18,78.9,0.47,77.9,0.26,77.2,0.38
357,4406,新昕纖,9.89,-0.06,-0.6,26W25,06/18,69.0,0.38,65.2,0.38,60.2,0.38
358,2323,中環,11.75,0.5,4.44,26W25,06/18,41.1,0.53,39.4,0.53,37.7,0.38
359,5013,強新,27.8,0.2,0.72,26W25,06/18,85.0,0.38,82.9,0.38,80.9,0.38
360,3321,同泰,24.3,0.6,2.53,26W25,06/18,42.4,1.19,39.1,0.38,36.9,0.37
361,1301,台塑,51.7,3.75,7.82,26W25,06/18,71.7,0.28,70.8,0.31,70.2,0.37
362,2436,偉詮電,73.4,3.1,4.41,26W25,06/18,23.3,0.55,19.7,0.35,18.4,0.37
363,7610,聯友金屬-創,2315.0,210.0,9.98,26W25,06/18,38.5,-0.98,37.1,0.35,35.3,0.37
364,6108,競國,19.35,0.05,0.26,26W25,06/18,49.9,0.21,44.9,-0.2,43.0,0.37
365,3017,奇鋐,2400.0,35.0,1.48,26W25,06/18,59.4,-0.24,55.3,-0.04,52.0,0.36
366,00690,兆豐藍籌30,82.3,1.25,1.54,26W25,06/18,10.5,0.75,8.51,2.59,5.26,0.36
367,00720B,元大投資級公司債,33.57,0.18,0.54,26W25,06/18,63.0,0.36,62.1,0.36,61.5,0.36
368,00897,富邦基因免疫生技,10.1,0.19,1.92,26W25,06/18,16.9,0.38,13.8,0.36,12.6,0.36
369,2207,和泰車,482.0,20.5,4.44,26W25,06/18,86.1,-0.19,84.4,-0.31,83.3,0.36
370,8042,金山電,195.0,-0.5,-0.26,26W25,06/18,68.6,0.58,66.0,-0.41,65.3,0.36
371,2010,春源,24.85,0.05,0.2,26W25,06/18,68.6,0.26,66.8,0.36,66.1,0.36
372,00936,台新永續高息中小,20.6,0.11,0.54,26W25,06/18,13.0,0.36,13.0,0.36,13.0,0.36
373,00666R,富邦恒生國企反1,9.66,0.18,1.9,26W25,06/18,83.3,0.36,83.3,0.36,83.3,0.36
374,1718,中纖,9.86,0.07,0.72,26W25,06/18,52.4,0.18,50.9,0.29,49.8,0.35
375,1309,台達化,14.75,0.25,1.72,26W25,06/18,44.9,0.74,43.8,0.57,43.4,0.35
376,1722,台肥,48.15,-0.7,-1.43,26W25,06/18,63.3,0.48,61.8,0.62,60.0,0.34
377,6116,彩晶,18.8,0.55,3.01,26W25,06/18,45.9,0.45,45.2,0.42,44.7,0.34
378,3712,永崴投控,17.65,-0.25,-1.4,26W25,06/18,53.6,0.6,52.7,0.34,52.0,0.34
379,6541,泰福-KY,40.45,0.0,0.0,26W25,06/18,68.9,-0.01,67.0,-0.02,65.7,0.34
380,8047,星雲,49.45,-0.05,-0.1,26W25,06/18,79.0,0.34,75.5,0.34,71.1,0.34
381,00923,群益台ESG低碳50,43.18,0.51,1.2,26W25,06/18,15.8,0.32,15.4,0.23,15.1,0.34
382,2405,輔信,18.9,-0.5,-2.58,26W25,06/18,22.4,0.5,20.6,0.32,20.1,0.34
383,9136,巨騰-DR,16.7,0.05,0.3,26W25,06/18,64.1,-0.17,62.6,0.33,61.3,0.34
384,5521,工信,10.6,-0.1,-0.93,26W25,06/18,55.4,0.55,53.6,0.15,52.2,0.33
385,6136,富爾特,25.3,0.05,0.2,26W25,06/18,39.7,0.3,35.3,0.32,33.0,0.33
386,00934,中信成長高股息,28.72,0.18,0.63,26W25,06/18,9.19,0.05,8.32,-0.13,7.89,0.33
387,2520,冠德,36.4,0.25,0.69,26W25,06/18,69.4,0.36,68.5,0.62,67.2,0.33
388,5457,宣德,37.1,0.35,0.95,26W25,06/18,52.8,-0.23,50.5,-0.19,49.6,0.33
389,8069,元太,204.0,5.5,2.77,26W25,06/18,73.7,-0.39,71.4,0.0,69.0,0.32
390,3704,合勤控,48.25,-1.1,-2.23,26W25,06/18,63.6,0.39,61.6,0.75,59.9,0.32
391,8933,愛地雅,4.8,0.01,0.21,26W25,06/18,50.3,-0.01,48.3,-0.02,47.5,0.32
392,1295,生合,50.1,-0.4,-0.79,26W25,06/18,53.6,0.31,47.2,0.31,44.6,0.31
393,2204,中華,55.3,-0.9,-1.6,26W25,06/18,73.4,0.09,71.9,-0.15,71.6,0.31
394,1102,亞泥,35.8,0.25,0.7,26W25,06/18,80.4,0.31,79.6,0.36,79.2,0.31
395,00913,兆豐台灣晶圓製造,53.9,1.85,3.55,26W25,06/18,10.7,1.24,10.7,3.57,4.17,0.31
396,2442,新美齊,19.85,-0.1,-0.5,26W25,06/18,54.5,0.42,53.3,0.04,50.8,0.31
397,5880,合庫金,24.75,0.0,0.0,26W25,06/18,71.3,0.33,70.1,0.33,69.3,0.31
398,3484,崧騰,55.1,3.3,6.37,26W25,06/18,26.5,1.89,23.2,0.31,19.9,0.31
399,9958,世紀鋼,115.0,-1.5,-1.29,26W25,06/18,48.7,-0.59,45.6,-0.07,44.1,0.3
400,1733,五鼎,29.3,0.05,0.17,26W25,06/18,38.7,0.32,36.6,0.32,31.8,0.3
401,2352,佳世達,30.85,0.05,0.16,26W25,06/18,46.0,0.11,44.7,0.19,43.2,0.3
402,8046,南電,874.0,-11.0,-1.24,26W25,06/18,80.4,-0.27,79.2,0.14,78.4,0.29
403,4128,中天,15.05,0.3,2.03,26W25,06/18,41.7,-0.07,40.4,0.16,39.5,0.29
404,2601,益航,5.81,-0.09,-1.53,26W25,06/18,29.5,0.0,28.7,-0.04,26.7,0.29
405,2102,泰豐,18.35,0.0,0.0,26W25,06/18,78.6,0.13,77.7,0.28,76.1,0.29
406,2614,東森,18.85,0.0,0.0,26W25,06/18,46.0,-0.06,44.7,-0.28,43.2,0.29
407,00929,復華台灣科技優息,31.1,0.53,1.73,26W25,06/18,9.8,0.29,9.35,0.3,9.05,0.28
408,6121,新普,417.5,10.0,2.45,26W25,06/18,58.9,-0.92,55.6,-0.19,51.1,0.28
