排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,4716,大立,22.0,-0.05,-0.23,10963,06/24,3.26,4.4,118.0,18900.0,126.0,322.0,188.0,-39.3,1627.0,-24.6
2,2368,金像電,1255.0,-10.0,-0.79,7064,06/24,78.9,,,16900.0,-1.73,38.2,,-91.5,-37.0,-91.2
3,2061,風青,63.8,5.8,10.0,974,06/24,-58.1,78.0,739.0,4600.0,1467.0,658.0,,,,23400.0
4,3360,尚立,19.7,1.75,9.75,5431,06/24,100.0,157.0,246.0,4400.0,,1700.0,429.0,1400.0,1700.0,718.0
5,3230,錦明,37.3,2.85,8.27,5219,06/24,583.0,4000.0,4000.0,4000.0,1267.0,486.0,-52.9,-48.8,10.8,-36.9
6,7712,博盛半導體,204.0,4.0,2.0,2768,06/24,333.0,5.41,11.4,3800.0,3800.0,290.0,550.0,3800.0,,550.0
7,3588,通嘉,75.9,6.9,10.0,3552,06/24,7.14,400.0,2900.0,2900.0,1400.0,1400.0,,233.0,,173.0
8,3675,德微,413.0,-32.5,-7.3,6154,06/24,427.0,728.0,841.0,2567.0,2724.0,606.0,2426.0,6757.0,7900.0,6757.0
9,00686R,群益臺灣加權反1,0.99,0.03,3.12,8138,06/24,14.6,299.0,297.0,2390.0,2559.0,156800.0,4258.0,7371.0,,
10,3257,虹冠電,71.1,-2.8,-3.79,6512,06/24,-41.2,107.0,329.0,1900.0,500.0,900.0,500.0,-40.6,-18.9,-44.4
11,6226,光鼎,15.1,1.35,9.82,5225,06/24,1840.0,1840.0,1840.0,1840.0,870.0,,,,,
12,6101,寬魚國際,45.5,0.0,0.0,937,06/24,21.9,85.9,1277.0,1736.0,1343.0,3267.0,,,,
13,6168,宏齊,35.5,1.3,3.8,48206,06/24,52.7,600.0,1300.0,1192.0,4100.0,200.0,-69.1,784.0,8300.0,1100.0
14,6525,捷敏-KY,166.0,-4.5,-2.64,9062,06/24,-41.5,500.0,41.2,1100.0,,2300.0,,2300.0,,2300.0
15,1905,華紙,17.35,0.6,3.58,19431,06/24,-7.14,-29.8,-26.6,1031.0,2250.0,61000.0,870.0,3973.0,511.0,3719.0
16,7402,邑錡,102.0,-1.0,-0.97,349,06/24,4.82,691.0,770.0,988.0,412.0,81.2,867.0,40.3,211.0,31.8
17,8054,安國,136.5,12.0,9.64,19952,06/24,131.0,525.0,1100.0,934.0,650.0,206.0,233.0,-65.7,-79.8,-63.4
18,6538,倉和,131.5,-5.0,-3.66,2105,06/24,,,,900.0,194.0,-16.7,,4900.0,285.0,4900.0
19,6670,復盛應用,244.0,-27.0,-9.96,3689,06/24,,,,900.0,,,,-73.7,,-67.7
20,3284,太普高,26.5,1.1,4.33,1633,06/24,3.85,3.85,0.0,800.0,800.0,,,1250.0,125.0,1250.0
21,8261,富鼎,246.5,-13.5,-5.19,33336,06/24,64.2,83.7,85.5,707.0,763.0,175.0,,627.0,1384.0,575.0
22,2527,宏璟,39.7,0.0,0.0,952,06/24,0.0,300.0,300.0,700.0,700.0,700.0,,300.0,,700.0
23,6715,嘉基,513.0,-56.0,-9.84,1335,06/24,933.0,675.0,589.0,675.0,589.0,210.0,,3000.0,3000.0,3000.0
24,2369,菱生,43.3,-1.25,-2.81,80921,06/24,36.6,196.0,446.0,662.0,1653.0,556.0,,163.0,1116.0,178.0
25,6672,騰輝電子-KY,263.5,14.5,5.82,6882,06/24,30.7,42.1,35.6,563.0,289.0,-44.9,-72.3,2138.0,,3480.0
26,3036,文曄,219.0,-1.5,-0.68,7166,06/24,550.0,508.0,518.0,561.0,798.0,43.9,-63.9,1539.0,12467.0,2800.0
27,1449,佳和,14.95,-0.05,-0.33,1644,06/24,343.0,520.0,520.0,520.0,-71.6,,47.6,-35.4,,-24.4
28,4908,前鼎,203.0,-8.5,-4.02,2260,06/24,86.0,515.0,344.0,515.0,344.0,-20.0,-71.1,264.0,344.0,281.0
29,6179,亞通,27.55,0.35,1.29,2553,06/24,10.5,128.0,252.0,514.0,915.0,1100.0,,25.7,810.0,31.3
30,6695,芯鼎,68.9,6.2,9.89,12353,06/24,44.9,24.6,91.9,492.0,407.0,18.3,,446.0,209.0,344.0
31,3591,艾笛森,27.3,-0.25,-0.91,20250,06/24,235.0,612.0,470.0,470.0,280.0,375.0,,,1325.0,
32,8040,九暘,125.0,11.0,9.65,15235,06/24,41.3,444.0,488.0,465.0,407.0,9.7,,2350.0,635.0,2000.0
33,2537,聯上發,11.1,0.3,2.78,1724,06/24,450.0,450.0,175.0,450.0,1000.0,,267.0,-91.7,-85.9,-88.0
34,2474,可成,210.5,0.0,0.0,5556,06/24,81.5,88.5,145.0,416.0,197.0,1300.0,,654.0,308.0,1125.0
