證券代號,證券名稱,交易別,成交價,成交股數,成交金額
1423,利華,配對交易,42.00,"358,000","15,036,000"
2308,台達電,配對交易,"1,993.53","14,000","27,909,420"
2308,台達電,配對交易,"1,980.00","37,000","73,260,000"
2317,鴻海,配對交易,281.50,"434,000","122,171,000"
2317,鴻海,配對交易,261.25,"116,000","30,305,000"
2317,鴻海,配對交易,258.50,"246,100","63,616,850"
2317,鴻海,配對交易,258.44,"271,900","70,269,836"
2327,國巨*,配對交易,"1,100.29","233,500","256,917,715"
2327,國巨*,配對交易,"1,100.26","166,500","183,193,290"
2330,台積電,配對交易,"2,407.50","22,000","52,965,000"
2330,台積電,配對交易,"2,402.60","7,040","16,914,304"
2330,台積電,配對交易,"2,402.55","6,701","16,099,488"
2330,台積電,配對交易,"2,401.38","99,063","237,887,907"
2330,台積電,配對交易,"2,401.37","159,000","381,817,830"
2330,台積電,配對交易,"2,401.36","51,500","123,670,040"
2330,台積電,配對交易,"2,401.35","26,437","63,484,490"
2330,台積電,配對交易,"2,400.88","383,000","919,537,040"
2330,台積電,配對交易,"2,400.00","22,000","52,800,000"
2330,台積電,配對交易,"2,397.47","13,000","31,167,110"
2330,台積電,配對交易,"2,397.38","12,150","29,128,167"
2330,台積電,配對交易,"2,397.37","14,850","35,600,944"
2330,台積電,配對交易,"2,390.00","3,318,000","7,930,020,000"
2330,台積電,配對交易,"2,378.16","15,000","35,672,400"
2360,致茂,配對交易,"2,220.00","102,000","226,440,000"
2454,聯發科,配對交易,"4,310.00","28,000","120,680,000"
2506,太設,配對交易,8.80,"544,000","4,787,200"
3034,聯詠,配對交易,561.50,"429,000","240,883,500"
3034,聯詠,配對交易,561.49,"136,000","76,362,640"
3034,聯詠,配對交易,561.46,"162,000","90,956,520"
3311,閎暉,配對交易,37.75,"595,000","22,461,250"
3702,大聯大,配對交易,107.00,"1,040,000","111,280,000"
5434,崇越,配對交易,500.95,"34,000","17,032,300"
5434,崇越,配對交易,500.94,"66,000","33,062,040"
6446,藥華藥,配對交易,"1,181.14","24,860","29,363,140"
6446,藥華藥,配對交易,"1,181.12","19,140","22,606,637"
6770,力積電,配對交易,83.20,"450,000","37,440,000"
6770,力積電,配對交易,81.00,"200,000","16,200,000"
6770,力積電,配對交易,77.20,"6,602,000","509,674,400"
8464,億豐,配對交易,361.75,"71,000","25,684,250"
總計,,,,"16,529,741","12,354,357,708"
