排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,00685L,群益臺灣加權正2,280.35,-24.7,-8.1,06/26,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2,3122,笙泉,30.3,-2.3,-7.06,06/26,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3,3228,金麗科,185.5,9.0,5.1,06/26,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4,00939,統一台灣高息動能,21.24,-0.45,-2.07,06/26,0.0,-33.9,-71.9,-81.7,-90.9,-94.1,31.8,-59.5,-26.0,-59.5
5,8070,長華*,53.7,-2.8,-4.96,06/26,-2.74,-1.99,-27.2,-62.9,-69.7,-73.5,-69.6,-87.1,-86.1,-86.5
6,3646,艾恩特,23.25,0.05,0.22,06/26,0.0,0.0,-62.5,-62.2,-62.2,-62.2,-62.2,-61.2,-72.9,-61.2
7,00946,群益科技高息成長,14.81,-0.67,-4.33,06/26,0.0,-1.52,-4.27,-62.2,-62.2,-63.5,52.4,-83.4,-78.9,-84.2
8,6887,寶綠特-KY,35.3,-0.55,-1.53,06/26,0.0,-61.5,-61.5,-61.5,-60.0,-56.5,-54.5,-58.3,,-58.3
9,8450,霹靂,15.2,-0.2,-1.3,06/26,-60.5,-60.5,-61.4,-61.4,-67.9,-67.9,-90.0,-89.9,-89.7,-89.9
10,2397,友通,57.2,-2.3,-3.87,06/26,1.09,1.09,1.09,-57.9,-63.5,-63.7,-78.4,-84.3,-9.42,-84.0
11,1301,台塑,52.2,-5.8,-10.0,06/26,-38.4,-40.0,-41.8,-57.0,-53.8,-50.7,-70.9,-69.4,-74.2,-71.1
12,3374,精材,279.5,-22.0,-7.3,06/26,-36.5,-42.3,-43.1,-53.9,-65.0,-46.2,-32.1,-71.7,-70.8,-71.5
13,3530,晶相光,67.6,-4.7,-6.5,06/26,-6.61,-10.6,-16.8,-53.4,-54.5,-56.8,-62.6,-60.8,-51.4,-67.2
14,4952,凌通,54.2,-2.7,-4.75,06/26,-19.4,-19.2,-30.3,-53.3,-54.6,-45.7,-59.6,18.5,-30.4,18.5
15,6184,大豐電,43.85,-0.2,-0.45,06/26,-47.6,-52.1,-52.3,-52.7,-56.6,-57.5,-59.5,-74.4,-50.6,-74.7
16,1531,高林股,12.75,-0.05,-0.39,06/26,0.0,0.0,-50.9,-51.1,-51.2,-45.0,-42.2,-38.3,-61.8,-38.3
