排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
1,2923,鼎固-KY,市,23.7,-1.6,-6.32,113,06/26,-58,0,-4,-62,1730.0,99.4,－・－
2,8482,商億-KY,市,50.5,0.0,0.0,0,06/26,0,0,0,0,98.6,91.7,・・・
3,8455,大拓-KY,櫃,26.4,-2.8,-9.59,31,06/26,0,0,0,0,22.1,87.8,・・・
4,6230,尼得科超眾,市,122.0,-7.0,-5.43,112,06/26,-39,0,0,-39,75.1,87.0,－・＋
5,6890,來億-KY,市,223.5,-24.5,-9.88,451,06/26,-144,110,-11,-45,215.0,86.1,－＋－
6,4560,強信-KY,市,32.4,-0.55,-1.67,153,06/26,-19,0,0,-19,57.6,84.5,－・・
7,2762,世界健身-KY,市,80.8,-2.8,-3.35,216,06/26,-142,0,-2,-144,93.0,82.7,－・－
8,1590,亞德客-KY,市,1360.0,-30.0,-2.16,836,06/26,-6,79,-8,65,160.0,80.2,－＋－
9,1341,富林-KY,市,57.5,0.2,0.35,7,06/26,-2,0,0,-2,42.2,79.9,－・・
10,6415,矽力*-KY,市,572.0,-43.0,-6.99,3326,06/26,-128,6,-9,-131,310.0,79.7,－＋－
11,006203,元大MSCI台灣,市,188.95,-6.35,-3.25,13,06/26,0,0,-9,-9,8.02,78.5,－・－
12,3711,日月光投控,市,632.0,-9.0,-1.4,45022,06/26,6483,-953,13,5543,3489.0,78.0,＋－＋
13,6965,中傑-KY,市,78.6,-0.5,-0.63,79,06/26,-27,0,1,-26,121.0,77.2,－・＋
14,5276,達輝-KY,櫃,17.8,-0.45,-2.47,6,06/26,0,0,0,0,30.4,77.0,・・・
15,6629,泰金-KY,櫃,108.5,-3.0,-2.69,30,06/26,-14,0,0,-14,29.5,76.8,－・－
16,6924,榮惠-KY創,市,125.0,2.0,1.63,2,06/26,0,0,0,0,15.8,76.6,・・・
17,2239,英利-KY,市,21.85,-0.65,-2.89,132,06/26,-21,0,-4,-25,88.6,75.3,－・－
18,6666,羅麗芬-KY,市,43.1,-0.65,-1.49,55,06/26,-5,0,-1,-6,35.7,75.2,－・－
19,8291,尚茂,櫃,44.0,-2.1,-4.56,46,06/26,1,0,0,1,12.8,73.5,＋・・
20,8499,鼎炫-KY,市,300.0,-5.5,-1.8,130,06/26,36,0,-4,32,29.7,72.2,＋・－
21,4148,全宇生技-KY,市,29.5,-0.95,-3.12,63,06/26,-2,0,3,1,47.8,71.2,－・＋
22,2330,台積電,市,2340.0,-50.0,-2.09,53800,06/26,-14281,734,1009,-12537,18100.0,69.8,－＋＋
23,8488,吉源-KY,市,10.0,-0.15,-1.48,16,06/26,-7,0,0,-7,51.2,69.6,－・・
24,6863,永道-KY,市,90.2,-3.6,-3.84,209,06/26,-71,0,8,-63,51.9,69.3,－・＋
25,6550,北極星藥業-KY,市,12.5,-0.55,-4.21,2172,06/26,-772,0,-1,-773,613.0,68.5,－・－
26,3093,港建*,櫃,71.0,-0.4,-0.56,3377,06/26,115,0,2,116,98.9,68.1,＋・＋
27,2754,亞洲藏壽司,櫃,67.9,-1.0,-1.45,38,06/26,-5,0,0,-5,31.8,67.9,－・・
28,6781,AES-KY,市,1105.0,-85.0,-7.14,1572,06/26,-152,0,-61,-213,58.0,67.9,－・－
