排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
1,2006,東和鋼鐵,70.0,0.2,0.29,06/29,34.5,32.7,47.3,55.3,51.7,37.1,20.4,13.5,10.7,9.05,3.73,13.6
2,9907,統一實,15.2,0.25,1.67,06/29,55.1,53.2,49.2,43.4,33.3,24.1,13.2,7.99,3.91,1.73,0.56,9.06
3,3010,華立,123.5,1.5,1.23,06/29,52.1,45.6,47.2,41.8,33.8,25.3,10.6,6.55,4.72,5.04,2.86,6.64
4,1102,亞泥,35.45,-0.3,-0.84,06/29,38.8,46.3,43.8,41.5,28.7,15.7,9.57,8.92,11.2,10.5,6.14,9.2
5,6176,瑞儀,86.9,-0.8,-0.91,06/29,30.2,23.2,30.0,35.2,25.2,31.9,14.7,15.2,15.0,11.8,4.46,14.3
6,2885,元大金,65.7,-0.6,-0.9,06/29,34.3,35.7,37.0,34.1,30.0,22.7,15.9,15.8,13.3,7.43,2.64,14.2
7,6005,群益證,37.55,-0.25,-0.66,06/29,46.1,40.8,43.7,34.1,29.1,18.4,14.5,11.9,12.0,9.86,4.82,11.7
8,1319,東陽,76.2,-1.1,-1.42,06/29,34.9,34.7,40.4,33.0,29.2,14.7,12.1,10.2,9.36,5.85,3.71,9.41
9,1477,聚陽,222.0,6.0,2.78,06/29,21.2,18.6,26.0,31.7,33.4,22.3,12.3,9.93,10.8,7.93,4.88,9.93
10,2347,聯強,91.5,-1.3,-1.4,06/29,21.2,22.8,23.4,27.9,24.4,8.89,9.65,11.0,12.3,14.1,7.42,9.99
11,6414,樺漢,360.0,-1.5,-0.41,06/29,28.3,31.1,28.4,26.6,20.6,10.8,5.53,5.77,5.37,4.64,3.19,5.76
12,3036,文曄,209.0,-6.5,-3.02,06/29,20.9,24.1,22.8,23.9,13.4,27.0,17.6,13.0,11.1,6.91,5.29,12.8
13,8210,勤誠,1215.0,-15.0,-1.22,06/29,32.2,21.5,18.6,23.8,26.1,10.0,4.77,2.32,1.19,0.38,0.18,3.02
14,6510,精測,3035.0,-215.0,-6.62,06/29,29.8,22.4,18.7,23.0,15.2,11.7,9.26,8.98,6.62,5.7,3.73,8.95
15,2850,新產,140.0,0.0,0.0,06/29,0.52,16.7,21.9,23.0,10.7,7.14,5.66,6.03,6.26,2.96,1.24,6.06
16,6188,廣明,74.7,1.3,1.77,06/29,38.9,36.8,29.8,21.8,14.6,5.76,8.53,4.62,1.64,0.42,0.72,4.88
17,2368,金像電,1155.0,-35.0,-2.94,06/29,30.9,19.7,18.7,20.6,17.4,9.95,5.9,5.43,3.91,4.02,2.12,5.41
18,6515,穎崴,8015.0,-175.0,-2.14,06/29,46.9,35.7,29.9,20.5,13.5,10.9,12.0,7.52,5.46,5.11,,7.66
19,8996,高力,1475.0,105.0,7.66,06/29,9.45,24.2,18.8,19.9,8.3,4.32,3.44,1.74,0.7,0.23,0.1,2.13
20,2880,華南金,37.3,0.4,1.08,06/29,25.0,23.2,21.0,19.1,20.6,11.2,10.0,8.21,7.37,6.02,2.53,8.21
21,4991,環宇-KY,482.5,-24.5,-4.83,06/29,28.7,14.4,11.0,17.9,5.52,3.65,2.97,2.28,0.9,0.7,0.77,2.29
22,9904,寶成,25.4,0.1,0.4,06/29,16.6,15.2,16.7,17.2,14.1,8.95,8.09,5.99,2.36,1.23,0.41,7.82
23,7734,印能科技,2930.0,-115.0,-3.78,06/29,0.0,21.4,13.9,16.8,6.2,6.71,3.09,1.56,1.15,,,1.57
24,6488,環球晶,915.0,-21.0,-2.24,06/29,29.6,30.6,24.5,16.8,4.74,6.98,2.94,2.97,3.15,3.93,2.07,3.01
25,6803,崑鼎,288.5,0.5,0.17,06/29,0.0,13.7,9.63,16.4,7.92,4.09,1.67,1.37,1.14,0.76,0.72,1.4
26,3711,日月光投控,627.0,-5.0,-0.79,06/29,10.6,6.66,11.4,16.4,16.9,13.4,6.52,4.79,7.07,6.04,,4.77
27,006201,元大富櫃50,45.6,-0.14,-0.31,06/29,0.0,0.0,9.72,15.8,10.2,5.48,2.2,4.1,6.15,7.65,12.4,4.0
28,6561,是方,337.0,4.0,1.2,06/29,0.0,15.7,12.7,15.1,8.88,3.46,3.6,2.77,2.23,1.26,,2.95
29,2393,億光,66.7,-0.9,-1.33,06/29,30.4,28.8,22.5,14.7,9.22,4.34,3.54,4.21,12.9,8.03,3.33,4.33
30,5536,聖暉*,1245.0,-60.0,-4.6,06/29,28.0,28.4,20.4,14.6,8.36,3.82,3.67,4.91,4.79,5.31,3.26,4.89
31,2441,超豐,129.0,-5.5,-4.09,06/29,7.29,13.6,13.9,14.2,13.7,9.15,4.04,2.98,2.49,2.53,3.13,3.03
32,4966,譜瑞-KY,631.0,23.0,3.78,06/29,0.0,17.1,12.5,14.1,12.9,7.8,3.47,3.18,2.52,3.37,3.74,3.21
33,6278,台表科,194.0,3.5,1.84,06/29,15.8,14.3,13.4,14.0,11.0,10.3,6.03,6.81,7.45,6.09,2.92,6.75
34,2385,群光,101.0,-1.0,-0.98,06/29,21.7,21.8,19.4,13.9,7.97,6.0,7.43,10.2,12.4,10.7,6.58,9.46
