排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,2409,友達,32.7,2.1,6.86,898083,06/30,118,-3506,3213,3790,-11714.0,8579.0,12919.0,17616.0,17815.0,17401.0
2,2353,宏碁,33.1,0.9,2.8,38808,06/30,-535,148,3084,3485,13325.0,12919.0,13288.0,12824.0,13074.0,12466.0
3,00631L,元大台灣50正2,38.42,2.14,5.9,311004,06/30,-2250,420,1364,3249,2318.0,1383.0,14307.0,17822.0,14807.0,17785.0
4,1718,中纖,13.45,1.2,9.8,92049,06/30,1361,1898,2372,2346,2344.0,2428.0,2401.0,2405.0,2435.0,2405.0
5,6116,彩晶,19.6,0.35,1.82,158852,06/30,-703,-552,283,1906,6293.0,-189.0,10041.0,9839.0,9903.0,9816.0
6,2352,佳世達,34.1,3.1,10.0,40778,06/30,1421,1440,1450,1446,1435.0,1433.0,1475.0,1393.0,1416.0,1398.0
7,00981A,主動統一台股增長,31.28,1.34,4.48,231548,06/30,223,1050,1692,1442,2243.0,-1112.0,542.0,-136.0,2238.0,-135.0
8,3481,群創,68.7,1.7,2.54,522735,06/30,-355,612,421,1377,-108.0,-8884.0,5369.0,-3005.0,5809.0,-1999.0
9,2312,金寶,35.15,1.55,4.61,23416,06/30,447,476,426,1342,1111.0,346.0,1288.0,983.0,1371.0,965.0
10,6226,光鼎,22.05,2.0,9.98,8952,06/30,327,945,793,1021,1021.0,1026.0,1026.0,1026.0,1026.0,1026.0
11,3036,文曄,214.0,5.0,2.39,6678,06/30,255,627,627,944,948.0,763.0,-17.0,987.0,925.0,989.0
12,2406,國碩,41.8,3.8,10.0,63975,06/30,788,900,858,914,328.0,833.0,-20.0,469.0,996.0,519.0
13,2337,旺宏,155.5,-3.0,-1.89,99767,06/30,-85,174,804,775,974.0,25.0,1585.0,-4513.0,-1937.0,-5026.0
14,4989,榮科,87.3,7.9,9.95,3490,06/30,40,726,726,725,693.0,567.0,14.0,-1695.0,717.0,-1616.0
15,1815,富喬,111.0,10.0,9.9,68688,06/30,347,286,582,622,343.0,577.0,-71.0,-7357.0,-5807.0,-4003.0
16,3230,錦明,46.45,2.65,6.05,10935,06/30,410,471,486,524,529.0,527.0,470.0,466.0,494.0,465.0
17,2368,金像電,1200.0,45.0,3.9,5373,06/30,113,151,400,501,569.0,473.0,469.0,-1366.0,-309.0,-1328.0
18,1312,國喬,14.1,-0.05,-0.35,14101,06/30,473,608,529,479,542.0,355.0,542.0,466.0,614.0,466.0
19,1802,台玻,74.8,6.8,10.0,137333,06/30,619,297,539,470,750.0,583.0,-4206.0,-4977.0,3034.0,-4428.0
20,5464,霖宏,99.0,5.2,5.54,570,06/30,53,130,90,464,726.0,894.0,2434.0,2432.0,2433.0,2432.0
21,8033,雷虎,169.5,15.0,9.71,37042,06/30,265,374,377,377,359.0,348.0,390.0,-503.0,388.0,-531.0
22,2356,英業達,66.6,2.3,3.58,38142,06/30,-6,-20,-40,304,415.0,213.0,1104.0,656.0,634.0,653.0
23,00673R,期元大S&P原油反1,15.78,-0.1,-0.63,15230,06/30,-102,44,602,297,532.0,820.0,-24111.0,1303.0,1387.0,1302.0
24,8046,南電,1185.0,105.0,9.72,6271,06/30,68,7,201,295,25.0,-112.0,-154.0,-1116.0,295.0,-1102.0
25,2483,百容,57.1,1.4,2.51,3406,06/30,-180,-8,160,280,340.0,406.0,406.0,400.0,406.0,400.0
26,5371,中光電,86.9,7.9,10.0,42625,06/30,170,252,247,271,330.0,142.0,127.0,-135.0,199.0,-85.0
27,4915,致伸,66.0,1.0,1.54,6153,06/30,-15,250,250,250,240.0,235.0,242.0,235.0,210.0,235.0
28,3149,正達,101.5,8.8,9.49,26009,06/30,152,256,244,242,393.0,-187.0,755.0,645.0,731.0,653.0
29,3236,千如,68.9,6.2,9.89,8845,06/30,-19,141,116,239,-92.0,273.0,433.0,229.0,481.0,230.0
30,1710,東聯,16.75,1.5,9.84,47971,06/30,203,249,251,238,228.0,232.0,19.0,203.0,236.0,205.0
31,4958,臻鼎-KY,630.0,57.0,9.95,30588,06/30,184,231,254,234,266.0,52.0,453.0,186.0,477.0,187.0
32,1586,和勤,19.65,0.0,0.0,915,06/30,0,68,198,219,542.0,542.0,542.0,542.0,535.0,542.0
33,2610,華航,23.7,0.6,2.6,80189,06/30,6,-15,148,206,140.0,221.0,-1171.0,-334.0,-534.0,-346.0
34,8150,南茂,99.5,9.0,9.94,40951,06/30,65,205,205,204,-327.0,-364.0,83.0,-145.0,195.0,-68.0
35,2458,義隆,189.0,9.0,5.0,13734,06/30,-11,54,46,196,227.0,202.0,213.0,229.0,154.0,229.0
36,5386,青雲,472.0,-52.0,-9.92,749,06/30,188,194,195,192,173.0,166.0,243.0,178.0,228.0,149.0
37,6101,寬魚國際,47.0,-0.5,-1.05,1561,06/30,-204,-269,-146,191,652.0,625.0,688.0,688.0,688.0,688.0
38,5321,美而快,62.9,-6.9,-9.89,933,06/30,87,65,186,185,192.0,117.0,164.0,167.0,68.0,167.0
39,2472,立隆電,453.5,41.0,9.94,28326,06/30,90,151,134,183,176.0,52.0,190.0,159.0,235.0,159.0
40,2324,仁寶,35.3,1.1,3.22,42525,06/30,-47,-90,248,178,-125.0,-382.0,-2504.0,134.0,28.0,141.0
41,00405A,主動富邦台灣龍耀,9.29,0.39,4.38,70485,06/30,-73,-79,156,175,222.0,,,,,
42,6026,福邦證,15.6,0.45,2.97,5486,06/30,180,180,180,174,172.0,172.0,177.0,170.0,180.0,170.0
43,2484,希華,72.6,3.4,4.91,40549,06/30,-578,-170,182,169,-705.0,185.0,455.0,481.0,483.0,481.0
44,2365,昆盈,33.7,0.1,0.3,2657,06/30,-23,172,169,165,165.0,124.0,100.0,-18.0,-135.0,-34.0
45,5314,世紀*,66.8,6.0,9.87,17703,06/30,119,175,161,156,166.0,135.0,172.0,94.0,161.0,163.0
46,4763,材料*-KY,47.4,-0.45,-0.94,26865,06/30,138,121,145,150,149.0,121.0,10.0,-624.0,-44.0,-632.0
47,2476,鉅祥,130.0,3.5,2.77,4618,06/30,62,69,68,142,132.0,166.0,168.0,172.0,106.0,172.0
48,1717,長興,74.0,1.1,1.51,10607,06/30,-37,136,136,136,-97.0,-494.0,-397.0,-131.0,127.0,-129.0
49,1326,台化,54.6,-0.3,-0.55,22447,06/30,0,-142,-160,134,58.0,-4.0,-185.0,-660.0,134.0,-658.0
50,2489,瑞軒,43.3,0.95,2.24,8871,06/30,-7,43,112,133,-137.0,-377.0,-39.0,131.0,119.0,129.0
51,2363,矽統,69.0,0.3,0.44,23282,06/30,-65,-173,-158,125,140.0,51.0,220.0,216.0,15.0,217.0
52,3360,尚立,22.7,2.05,9.93,14635,06/30,77,110,67,120,165.0,160.0,152.0,159.0,159.0,154.0
