排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,00403A,主動統一升級50,11.15,0.13,1.18,383093,07/01,-10299,-6904,-8375,-19902,-10368,-57779.0,,,,
2,00981A,主動統一台股增長,32.0,0.72,2.3,310261,07/01,-5677,-9107,-4919,-13434,-23305,-29987.0,52265.0,46637.0,140814.0,46637.0
3,00988A,主動統一全球創新,22.78,0.5,2.24,83078,07/01,-845,-7564,-11671,-12950,526,15428.0,58488.0,63180.0,,63180.0
4,2312,金寶,34.8,-0.35,-1.0,69106,07/01,611,-557,-814,-12673,4154,5688.0,12450.0,2725.0,8721.0,2725.0
5,00673R,期元大S&P原油反1,15.87,0.09,0.57,14031,07/01,-2720,-3235,-5720,-10420,-17801,-32894.0,20513.0,58862.0,17509.0,58862.0
6,00753L,中信中國50正2,8.27,0.17,2.1,9749,07/01,-731,-588,-3629,-8970,-3734,-11126.0,-5036.0,-1321.0,-7369.0,-1321.0
7,2303,聯電,169.0,4.5,2.74,244700,07/01,722,11576,14455,-8620,28685,102514.0,177988.0,222981.0,214322.0,222981.0
8,2489,瑞軒,40.9,-2.4,-5.54,24587,07/01,-3419,-3173,-3969,-8060,-4863,-10153.0,-5951.0,36656.0,32877.0,36656.0
9,00665L,富邦恒生國企正2,7.53,0.09,1.21,7030,07/01,-173,2452,1390,-7172,-4009,-863.0,1453.0,-2570.0,-23772.0,-2570.0
10,9105,泰金寶-DR,9.41,-0.08,-0.84,66829,07/01,1058,613,598,-6262,4124,-5099.0,432.0,-972.0,11824.0,-972.0
11,1802,台玻,71.1,-3.7,-4.95,146125,07/01,-2335,-2715,-4020,-6220,-5968,-9056.0,-6050.0,-8792.0,32285.0,-8792.0
12,1714,和桐,19.3,-0.35,-1.78,10190,07/01,-1531,-1448,-2674,-5887,-16687,5132.0,3668.0,5908.0,5361.0,5908.0
13,3189,景碩,888.0,-3.0,-0.34,38729,07/01,-2444,-1026,332,-3866,-3802,-4541.0,-8963.0,-45.0,9530.0,-45.0
14,00405A,主動富邦台灣龍耀,9.39,0.1,1.08,107933,07/01,-275,-2560,-3533,-3569,-4655,,,,,
15,6239,力成,335.5,-2.0,-0.59,29085,07/01,-715,-477,-1424,-3291,-4579,4921.0,18950.0,18924.0,24238.0,18924.0
16,8028,昇陽半導體,312.0,-5.0,-1.58,7117,07/01,-498,418,-653,-3277,-5077,-6685.0,-7203.0,-3498.0,-97.0,-3498.0
17,4927,泰鼎-KY,46.45,-1.75,-3.63,4281,07/01,201,-289,-2093,-2924,-2325,-1940.0,2669.0,689.0,21142.0,689.0
18,2892,第一金,33.2,0.45,1.37,137251,07/01,-2235,-2757,-1706,-2714,-4225,-9920.0,-3273.0,-3431.0,3956.0,-3431.0
19,2344,華邦電,190.0,-17.5,-8.43,234325,07/01,-5324,845,1237,-2691,2290,-4367.0,12597.0,-22619.0,87699.0,-22619.0
20,1586,和勤,19.6,-0.05,-0.25,990,07/01,-657,-1357,-1965,-2394,-1937,-2066.0,-724.0,-1407.0,2340.0,-1407.0
21,1301,台塑,54.3,-0.2,-0.37,44833,07/01,88,393,-481,-2369,2900,-234.0,-1341.0,-4455.0,-3203.0,-4455.0
22,6147,頎邦,219.0,7.5,3.55,44712,07/01,2503,3874,2524,-2352,4377,5779.0,27935.0,48109.0,49082.0,48109.0
23,2633,台灣高鐵,26.5,0.0,0.0,10251,07/01,-4,-266,-306,-2334,-2672,-1717.0,-547.0,-131.0,-633.0,-131.0
24,00891,中信關鍵半導體,37.86,0.5,1.34,18785,07/01,-558,-1564,-1743,-2308,552,-725.0,2341.0,2916.0,2840.0,2916.0
25,00918,大華優利高填息30,31.84,-0.29,-0.9,42142,07/01,-1034,-1080,-1166,-2240,-10309,215.0,707.0,1175.0,-1606.0,1175.0
