代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
2382,廣達,377.0,8.0,2.17,07/03,1,1230,9.36,0.03,31,317676,24.7,8.22,6,1401,1.76,0.04,6,15664,19.7,0.41
2377,微星,143.0,0.0,0.0,07/03,-4,-11205,-11.7,-1.33,26,41521,5.94,4.91,-10,-2846,-1.6,-0.34,12,29961,15.1,3.55
50,元大台灣50,108.35,-0.45,-0.41,07/03,-2,-37758,-24.2,-0.18,22,80587,2.2,0.39,-2,-25743,-16.5,-0.12,-2,-58721,-37.7,-0.28
2633,台灣高鐵,26.8,0.4,1.52,07/03,1,1711,21.1,0.03,16,87241,40.9,1.55,-1,-10,-0.12,0.0,1,2495,30.8,0.04
4915,致伸,66.4,-0.5,-0.75,07/03,-14,-27964,-30.9,-5.93,16,11635,11.5,2.47,-2,-7,-0.05,0.0,4,1819,7.08,0.39
2903,遠百,22.05,0.0,0.0,07/03,-7,-13156,-36.4,-0.93,15,13558,21.4,0.96,-2,-37,-0.62,0.0,-1,-308,-9.12,-0.02
2886,兆豐金,45.5,-0.5,-1.09,07/03,-12,-309730,-47.8,-2.09,14,359639,51.4,2.42,11,8347,1.36,0.06,9,37080,7.59,0.25
1513,中興電,176.5,0.0,0.0,07/03,1,15,0.54,0.0,13,18596,13.5,3.7,1,91,3.3,0.02,1,188,6.86,0.04
2845,遠東銀,13.15,0.15,1.15,07/03,2,5846,17.2,0.12,13,92864,31.0,1.91,-1,-36,-0.31,0.0,2,9159,26.9,0.19
2892,第一金,32.4,0.3,0.93,07/03,1,4958,19.3,0.03,13,316620,42.7,2.2,1,150,0.58,0.0,1,10685,41.6,0.07
3596,智易,197.5,6.0,3.13,07/03,1,65,3.58,0.03,13,5537,15.2,2.51,2,65,1.93,0.03,1,127,6.98,0.06
5876,上海商銀,42.0,0.15,0.36,07/03,-13,-72903,-41.8,-1.5,13,67731,38.8,1.39,9,2635,2.35,0.05,-2,-2293,-15.6,-0.05
8464,億豐,369.0,-11.5,-3.02,07/03,-14,-4045,-27.2,-1.38,13,4344,30.2,1.48,-2,-8,-0.28,0.0,-1,-98,-13.8,-0.03
1303,南亞,197.0,0.0,0.0,07/03,-1,-2697,-7.56,-0.03,12,102637,12.1,1.29,1,219,0.61,0.0,5,39365,20.3,0.5
2890,永豐金,39.7,0.2,0.51,07/03,1,3880,15.0,0.03,12,278492,32.7,1.92,9,5315,0.98,0.04,1,6828,26.5,0.05
3231,緯創,159.0,0.5,0.32,07/03,-19,-211844,-26.9,-6.66,12,66405,15.2,2.09,5,1406,1.05,0.04,-3,-9002,-11.4,-0.28
3293,鈊象,797.0,-3.0,-0.38,07/03,-4,-1527,-13.1,-0.54,12,5073,19.9,1.8,-2,-91,-2.73,-0.03,-2,-150,-4.52,-0.05
6526,達發,706.0,1.0,0.14,07/03,5,757,16.5,0.45,12,442,4.02,0.26,-1,-1,-0.14,0.0,5,888,19.4,0.53
1216,統一,76.3,1.4,1.87,07/03,1,8739,54.2,0.15,11,54482,33.2,0.96,6,2570,3.86,0.05,3,10967,31.0,0.19
2472,立隆電,425.0,-3.0,-0.7,07/03,-4,-7579,-9.77,-4.6,11,8400,4.72,5.1,1,49,0.39,0.03,-4,-5155,-6.64,-3.13
2542,興富發,43.65,0.55,1.28,07/03,2,4283,29.6,0.2,11,13143,10.7,0.6,2,237,1.64,0.01,2,7290,50.4,0.34
4904,遠傳,105.0,2.0,1.94,07/03,-11,-153867,-50.0,-4.26,11,136881,44.5,3.79,12,6044,1.89,0.17,-5,-10780,-11.3,-0.3
2412,中華電,141.0,0.0,0.0,07/03,-6,-56374,-49.6,-0.73,10,23995,15.1,0.31,2,19,0.05,0.0,-6,-33180,-29.2,-0.43
3014,聯陽,160.0,-2.0,-1.23,07/03,-3,-2569,-28.9,-1.55,10,2822,7.09,1.7,3,107,1.21,0.06,-2,-1326,-29.4,-0.8
3227,原相,235.0,0.0,0.0,07/03,-2,-375,-4.26,-0.25,10,3522,7.14,2.32,5,491,1.44,0.32,5,8727,25.5,5.74
