排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,00406A,主動中信台灣收益,10.23,-0.25,-2.39,07/06,-0.07,-0.07,-0.07,14420.0,14420.0,,,,,
2,3531,先益,23.25,-0.1,-0.43,07/06,0.0,500.0,500.0,500.0,500.0,-40.0,-72.7,-72.7,-84.6,-72.7
3,00948B,中信優息投資級債,9.63,0.03,0.31,07/06,0.0,449.0,449.0,449.0,449.0,583.0,228.0,-1.27,-82.8,13.1
4,00988B,玉山嚴選非投債,20.0,0.09,0.45,07/06,202.0,202.0,202.0,202.0,202.0,202.0,,,,
5,00911,兆豐洲際半導體,63.4,-0.05,-0.08,07/06,63.5,59.7,161.0,161.0,275.0,249.0,243.0,217.0,-46.6,217.0
6,00939,統一台灣高息動能,21.44,0.16,0.75,07/06,250.0,250.0,160.0,157.0,-43.6,-82.1,238.0,3.84,308.0,3.84
7,6138,茂達,440.0,40.0,10.0,07/06,6.68,55.8,78.7,150.0,157.0,156.0,137.0,189.0,70.8,194.0
8,1718,中纖,15.2,0.25,1.67,07/06,24.9,33.6,37.8,126.0,85.9,53.1,229.0,203.0,268.0,216.0
9,5291,邑昇,58.9,-1.3,-2.16,07/06,1.43,17.0,36.6,120.0,182.0,-36.2,140.0,570.0,282.0,579.0
10,4952,凌通,59.2,-0.9,-1.5,07/06,2.03,64.2,77.8,110.0,2.3,6.63,-15.5,143.0,40.7,143.0
11,3042,晶技,224.5,-24.5,-9.84,07/06,63.3,104.0,124.0,104.0,78.6,183.0,144.0,10.0,-4.01,-0.6
12,7782,光速火箭,26.75,-0.25,-0.93,07/06,0.0,0.0,0.0,100.0,100.0,100.0,,,,
13,4904,遠傳,103.0,-2.0,-1.9,07/06,11.5,22.3,39.5,85.0,418.0,1109.0,2899.0,2913.0,152.0,1673.0
14,1445,大宇,12.05,-0.55,-4.37,07/06,22.6,49.7,57.6,73.7,77.1,96.4,124.0,21.0,3.04,21.0
15,00877,復華中國5G,43.36,-1.79,-3.96,07/06,-0.26,-0.26,72.5,72.5,99.5,61.5,53.6,-10.4,-13.3,-3.18
16,00905,FT臺灣Smart,28.61,-0.09,-0.31,07/06,69.0,68.2,68.2,68.2,68.2,68.0,9.26,4.46,-77.3,21.1
17,2906,高林,14.25,-0.25,-1.72,07/06,2.79,11.3,16.6,67.9,62.0,38.9,39.2,52.3,18.4,52.3
18,00927,群益半導體收益,42.6,0.08,0.19,07/06,-1.04,4.08,19.9,67.9,113.0,164.0,109.0,270.0,186.0,350.0
19,6449,鈺邦,329.0,-22.0,-6.27,07/06,16.3,26.9,32.1,66.3,23.3,19.8,-60.1,-62.6,-44.1,-63.1
20,5351,鈺創,89.9,8.1,9.9,07/06,-0.65,5.15,10.6,62.5,61.0,22.9,42.0,-32.5,-33.4,-40.2
21,00407A,主動凱基台灣,9.85,-0.17,-1.7,07/06,15.3,15.3,15.3,61.5,,,,,,
22,2415,錩新,41.65,3.75,9.89,07/06,0.81,5.85,12.8,59.5,202.0,211.0,244.0,352.0,350.0,354.0
23,6640,均華,1120.0,-5.0,-0.44,07/06,0.65,21.3,49.5,58.8,58.8,36.3,77.0,-51.3,-27.7,-50.3
24,6101,寬魚國際,42.0,-1.85,-4.22,07/06,12.0,12.9,13.7,57.7,243.0,133.0,277.0,181.0,-12.4,181.0
