Unnamed: 0_level_0_Unnamed: 0_level_1,Unnamed: 1_level_0_Unnamed: 1_level_1,Unnamed: 2_level_0_Unnamed: 2_level_1,交易口數與契約金額_多方,交易口數與契約金額_多方,交易口數與契約金額_空方,交易口數與契約金額_空方,交易口數與契約金額_多空淨額,交易口數與契約金額_多空淨額,未平倉餘額_多方,未平倉餘額_多方,未平倉餘額_空方,未平倉餘額_空方,未平倉餘額_多空淨額,未平倉餘額_多空淨額
1,臺股期貨,自營商,7489,68392046,8439,77152690,-950,-8760643,7455,68296266,5212,47769736,2243,20526530
1,臺股期貨,投信,7421,68185516,5719,52315804,1702,15869712,77706,710124202,6017,55009742,71689,655114460
1,臺股期貨,外資,87694,798802069,87226,794995895,468,3806174,6562,60008754,87292,797925628,-80730,-737916874
2,電子期貨,自營商,82,954196,79,924093,3,30103,17,199251,146,1710995,-129,-1511744
2,電子期貨,投信,11,128975,0,0,11,128975,241,2823546,0,0,241,2823546
2,電子期貨,外資,147,1715267,152,1767845,-5,-52578,17,199165,297,3479533,-280,-3280368
3,金融期貨,自營商,59,185765,54,169488,5,16277,63,197671,83,260189,-20,-62518
3,金融期貨,投信,5,15702,0,0,5,15702,29,90973,0,0,29,90973
3,金融期貨,外資,270,848537,300,943314,-30,-94777,127,398551,283,888111,-156,-489560
4,小型臺指期貨,自營商,15076,34372421,15718,35851265,-642,-1478844,2592,5954544,11486,26376717,-8894,-20422173
4,小型臺指期貨,投信,5,11400,0,0,5,11400,128,292241,85,194004,43,98237
4,小型臺指期貨,外資,215479,490147200,210993,479980578,4486,10166623,6111,13952620,1831,4191333,4280,9761287
5,微型臺指期貨,自營商,40843,18661694,30768,14014294,10075,4647401,3567,1653122,55381,25392186,-51814,-23739064
5,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
5,微型臺指期貨,外資,278954,126903805,276033,125581949,2921,1321857,14483,6611200,2748,1255093,11735,5356107
6,小型電子期貨,自營商,192,279768,128,186428,64,93339,205,300212,198,290209,7,10003
6,小型電子期貨,投信,0,0,0,0,0,0,69,101047,0,0,69,101047
6,小型電子期貨,外資,661,964005,656,956975,5,7030,10,14645,41,60053,-31,-45408
7,小型金融期貨,自營商,45,35431,113,89024,-68,-53593,18,14122,72,56430,-54,-42308
7,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,小型金融期貨,外資,184,144634,188,147641,-4,-3008,1,785,11,8586,-10,-7801
8,股票期貨,自營商,71856,31477695,77210,31922929,-5354,-445234,95181,33108043,400913,226755055,-305732,-193647012
8,股票期貨,投信,0,0,0,0,0,0,9953,4646510,245,49515,9708,4596995
8,股票期貨,外資,469945,282299230,478215,288450423,-8270,-6151193,193966,149412714,709444,426318839,-515478,-276906125
