"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"1","5351","鈺創","100","+1.8","+1.83","07/13","+4.39","+5.1","+3.5","+9.74","+5.13","+4.76","+9.33","+7.8","+18.4","+19","+11.8","+13.2"
"2","00689R","國泰20年美債反1","22.4","+0.02","+0.09","07/13","+1.42","+6.94","+7.29","+8.07","+7.11","+7.64","+25","+36.1","+38.4","+41.3","","+36.1"
"3","00785B","富邦金融投等債","35.2","-0.12","-0.34","07/13","+2.65","+5.3","+7.9","+7.9","+7.9","+7.9","+15.4","+15.3","+20.2","+74","","+15.3"
"4","00657","國泰日經225","78.15","-1.1","-1.39","07/13","+5.03","+8.02","+6.08","+5.51","+5.56","+6.42","+7.57","+7.41","+9","+54.6","+82.4","+8.16"
"5","00681R","元大美債20反1","21.39","+0.06","+0.28","07/13","-0.66","+3.12","+4.71","+5.44","+0.54","+1.17","+2.61","+6.57","+10","+68","","+7.3"
"6","00678","群益那斯達克生技","40.72","-1.26","-3","07/13","+1.33","+1.98","+1.4","+5.28","+1.38","+5.24","+6.73","+5.29","+17.4","+19","","+3.58"
"7","2351","順德","210.5","+10.5","+5.25","07/13","+1.07","+0.83","+0.52","+4.05","+3.96","+1.45","+4.19","+13.5","+10.2","-0.36","+6.08","+13.6"
"8","6202","盛群","70.2","-3.1","-4.23","07/13","-0.74","+2.94","+3.46","+3.69","+3.03","+5.33","+9.4","+11.2","+7.7","+5.89","+0.75","+11.2"
"9","2359","所羅門","148","+10","+7.25","07/13","+3.53","+3.76","+3.67","+3.56","+4.93","+5.12","+5.35","+6.46","+5.11","-0.6","+4.19","+6.67"
"10","3006","晶豪科","228","-9","-3.8","07/13","-0.33","+2.44","+2.03","+3.19","+0.86","+2.05","+9.25","+5.33","+24.2","+26.6","+25.9","+9.06"
"11","2618","長榮航","40.75","+1.15","+2.9","07/13","+1.07","+1.7","+2.85","+3.07","+2.11","+5.78","+0.23","+3.62","+2.52","-3.16","+1.97","+4.04"
"12","3374","精材","358","+1.5","+0.42","07/13","-0.58","-0.21","+1.66","+3","+0.7","+7.35","+2.2","+6.96","+11.4","+8.85","+12","+8.87"
"13","2332","友訊","25.95","+1.9","+7.9","07/13","+3.72","+3.42","+3.33","+2.98","+3.61","+2.05","+3.57","+2","+3.35","-2.7","+0.09","+1.72"
"14","6805","富世達","1410","-50","-3.42","07/13","-0.13","+0.65","+2.42","+2.88","+1.52","+0.15","+4.95","+2.25","+4.79","","","+2.19"
"15","5475","德宏","179.5","-13","-6.75","07/13","+1.71","+1.77","+2.53","+2.87","+2.17","+1.9","+5.59","+5.68","+11","+11.3","+11.3","+3.98"
"16","2465","麗臺","85.9","-3.6","-4.02","07/13","+0.26","+2","+2.78","+2.83","+2.82","+1.72","+2.15","+4.1","+2.21","+4.56","-0.6","+4.09"
"17","8016","矽創","327","-36","-9.92","07/13","-0.25","+0.03","+0.32","+2.55","+3.66","+6.76","+12.2","+13.8","+12.9","+11.3","+16.2","+14.6"
"18","5471","松翰","65","-2.6","-3.85","07/13","0","+1.38","+1.79","+2.18","+2.16","+1.8","+0.6","+0.83","+0.18","+0.05","-0.11","+0.81"
"19","2377","微星","149.5","+4.5","+3.1","07/13","+0.75","+1.38","+2.28","+2.09","+0.97","+1.07","+0.24","-3.87","-14.7","-26","-26","-3.83"
"20","5386","青雲","351","-20.5","-5.52","07/13","+2.19","+1.89","+2.06","+2.07","+3.31","+3.78","-5.6","+4.48","+1.09","-3.2","+0.55","+2.99"
"21","6907","雅特力-KY","192.5","-2.5","-1.28","07/13","-0.49","-1.47","-1.47","+2.03","+2.13","+1.5","+3.03","","","","",""
"22","8033","雷虎","249.5","+22.5","+9.91","07/13","+0.03","+0.45","+0.9","+2.02","+13.5","+14.8","+14.5","+13","+22.1","+13.6","+14","+14.4"
"23","4958","臻鼎-KY","646","+58","+9.86","07/13","+1.97","+2.16","+2.2","+2","+1.57","-3.01","-7.05","-8.64","-4.6","-7.92","-7.54","-8.44"
"24","6414","樺漢","388.5","-5.5","-1.4","07/13","+0.32","+0.45","+0.67","+1.96","+3.37","+7.51","+20.6","+21.7","+17.5","+18.7","+19.7","+21.5"
"25","5488","松普","17.8","+1.6","+9.88","07/13","+0.42","+2.08","+1.62","+1.89","+2.27","+2.63","+2.86","+2.78","+2.82","+2.47","+3.42","+2.78"
"26","6127","九豪","70.1","-4.7","-6.28","07/13","+1.47","+0.85","+0.97","+1.87","-3.47","+0.36","+1.27","+2.89","+2.42","+1.7","+1.56","+2.64"
"27","3033","威健","50.9","+1.3","+2.62","07/13","+1.57","+1.71","+1.65","+1.82","+2.22","+3.58","+16","+19.7","+15.2","+12.6","+20","+18.6"
"28","5285","界霖","96.5","+0.5","+0.52","07/13","+0.03","-0.35","-0.34","+1.77","+2.07","+0.06","+4.06","+5.37","+5.84","+5.79","+5.6","+5.3"
"29","6176","瑞儀","90","-0.6","-0.66","07/13","+0.03","+0.26","+0.59","+1.74","+3.36","+6.29","+7.27","+6.83","+11.2","+0.02","-2.44","+8.57"
"30","1536","和大","56.1","+1.1","+2","07/13","+0.2","+1.85","+1.56","+1.72","+2.32","+0.72","-1.52","-1.54","-2.88","-11.4","-37.7","-2"
"31","3149","正達","92.3","+2.8","+3.13","07/13","+0.47","+0.31","+0.93","+1.67","-0.05","-3.86","-1.22","-0.85","-2.35","-4.46","-9.91","+0.73"
"32","1623","大東電","231.5","+5","+2.21","07/13","+0.04","-0.09","-0.14","+1.65","+2.24","+2.24","+2.22","","","","",""
"33","6491","晶碩","365.5","-9.5","-2.53","07/13","+0.3","+0.45","+0.47","+1.64","+4.52","+5.94","+10.4","+12","+12.9","+11.7","","+11.8"
"34","2637","慧洋-KY","84.7","+1.7","+2.05","07/13","+0.22","+0.71","+0.95","+1.58","+1.62","+2.11","+8.14","+12","+19.7","+19.5","+19.8","+14.2"
"35","6259","百徽","37.6","-0.85","-2.21","07/13","-0.4","-0.92","-2.92","+1.53","-1.19","+0.77","+1.71","+1.76","+1.71","+1.8","-1.05","+1.71"
"36","3704","合勤控","49.85","+4.5","+9.92","07/13","+1.56","+1.57","+1.6","+1.5","+1.16","+2.03","+7.51","+7.82","+4.72","-6.26","+4.14","+7.83"
"37","2375","凱美","185","-3.5","-1.86","07/13","+1.24","+0.45","-0.01","+1.48","+0.61","-5.49","-2.03","+0.31","+2.9","+4.77","+5.2","+2.93"
"38","2357","華碩","704","+20","+2.92","07/13","+0.43","+0.72","+1.13","+1.46","+1.67","+0.73","+2.74","-0.65","-10.1","-10.3","-24.4","-2.04"
"39","8150","南茂","115","-2","-1.71","07/13","-1.16","+0.17","-1.03","+1.46","-0.64","+0.81","-1.7","+1.95","-0.58","-0.41","-0.58","+2.18"
"40","3094","聯傑","38.4","-1.95","-4.83","07/13","-0.26","-1.43","-0.28","+1.46","-0.45","+1.5","+2.07","+2.08","+1.69","+0.13","-0.47","+2.13"
"41","1709","和益","26.8","+2.4","+9.84","07/13","+1.37","+1.21","+1.21","+1.44","+1.62","+1.9","+3.5","+3.98","+3.78","+3.67","+2.44","+3.99"
"42","6719","力智","252.5","-14","-5.25","07/13","+0.58","-0.05","-0.12","+1.42","-0.06","+1.43","-0.17","-2.05","-0.64","+3.59","","-2.5"
"43","6214","精誠","141","-2.5","-1.74","07/13","+0.16","+1.04","+1.1","+1.42","+1.46","+0.01","+3","+3.74","+1.7","+0.82","+4.69","+2.84"
"44","5388","中磊","85.4","+0.8","+0.95","07/13","+0.41","+1.2","+1.06","+1.42","+2.23","+0.16","+4.55","-3.03","-8.34","-14.4","-8.05","-5.83"
"45","00916","國泰全球品牌50","26.08","+0.04","+0.15","07/13","+0.46","+0.49","+0.49","+1.39","+2.92","+5.31","+4.52","+4.31","+8.56","+5.96","","+4.32"
"46","2486","一詮","251","-8","-3.09","07/13","-0.39","+1.18","+1.01","+1.38","+0.9","+0.2","-5.95","+10.1","+8.06","+6.05","+4.84","+8.62"
"47","5289","宜鼎","1515","-15","-0.98","07/13","+0.54","+0.89","+1.21","+1.37","+1.32","-0.39","-4.86","-13.1","-4.89","-10.2","+9.76","-11.7"
"48","6226","光鼎","25.65","-0.95","-3.57","07/13","+0.18","+0.24","+0.62","+1.37","+0.14","+5.4","+8.73","+9.19","+9.28","+8.87","+11.5","+9.28"
"49","8043","蜜望實","165","-8","-4.62","07/13","+2.2","+1.21","+1.34","+1.36","-0.34","-0.3","-0.79","-0.27","-0.61","-0.79","-0.63","+0.6"
"50","6861","睿生光電","263","-29","-9.93","07/13","+0.31","+0.66","+1.16","+1.36","+1.18","-0.07","-2.5","-2.96","-3.5","-3.65","","-2.8"
"51","6525","捷敏-KY","192.5","-7","-3.51","07/13","+0.39","+0.32","+1.24","+1.35","+0.79","+0.21","-0.41","+0.58","+3.08","+2.42","+3.16","+0.58"
"52","3357","臺慶科","258","-17","-6.18","07/13","+0.52","+0.3","+0.22","+1.32","+0.56","+1.29","+4.07","+1.86","+1.3","+2.5","","+2.99"
"53","2409","友達","29.25","-2.2","-7","07/13","-1.42","+1.09","+1.01","+1.23","+1.64","+1.26","-2.44","-2.97","-14.8","-18.6","-35.8","-5.32"
"54","00757","統一FANG+","130.8","-0.05","-0.04","07/13","+0.58","+0.93","+0.65","+1.22","+2.18","+4.38","+10.7","+14.4","+25.4","+33.1","","+15.3"
"55","00661","元大日經225","86.25","-0.95","-1.09","07/13","+1.12","+1.41","+1.27","+1.22","+1.26","+1.34","+6.8","+6.79","+6.69","+17.9","+9.7","+6.85"
