"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"6414","樺漢","388.5","-5.5","-1.4","07/13","+18","+11,156","37.7","7.65","-2","-3","-0.08","0","-11","-807","-4.59","-0.55","+12","+4,004","21","2.74"
"8446","華研","87","+1.5","+1.75","07/13","+17","+250","18.8","0.47","0","0","0","0","-1","0","-0.34","0","+17","+249","18.8","0.47"
"6568","宏觀","161.5","+5.5","+3.53","07/13","+15","+343","11.9","1.11","0","0","0","0","-8","-158","-13.6","-0.51","+3","+33","8.56","0.11"
"8462","柏文","160","+1","+0.63","07/13","+13","+804","29.3","1","0","0","0","0","-1","-8","-2.35","-0.01","+13","+799","29.2","0.99"
"8033","雷虎","249.5","+22.5","+9.91","07/13","+11","+22,335","12.3","13.6","0","0","0","0","+1","+31","0.48","0.02","+11","+22,608","12.5","13.7"
"00918","大華優利高填息30","31.88","-0.06","-0.19","07/13","+10","+34,808","13.3","0.99","0","0","0","0","+10","+75,491","28.9","2.14","+10","+110,299","42.2","3.13"
"1454","台富","12.65","-0.15","-1.17","07/13","+10","+49","16.2","0.04","0","0","0","0","-1","-3","-12.5","0","-1","-1","-4.16","0"
"1468","昶和","12.15","-0.05","-0.41","07/13","+10","+46","9.65","0.03","0","0","0","0","+1","+2","5.71","0","+1","+3","8.57","0"
"4771","望隼","209.5","-3.5","-1.64","07/13","+10","+836","24.8","1.42","0","0","0","0","-4","-27","-2.2","-0.05","+10","+836","24.8","1.42"
"6957","裕慶-KY","211.5","+2","+0.95","07/13","+10","+192","11.1","0.35","0","0","0","0","-4","-6","-0.71","-0.01","+10","+190","10.9","0.34"
"00898","國泰基因免疫革命","9.35","-0.19","-1.99","07/13","+9","+4,525","39.1","3.13","0","0","0","0","-1","-269","-32.3","-0.19","+9","+6,269","54.2","4.34"
"2480","敦陽科","163.5","+3","+1.87","07/13","+9","+1,635","40.5","1.54","0","0","0","0","+1","+3","0.74","0","+9","+1,667","41.3","1.57"
"6176","瑞儀","90","-0.6","-0.66","07/13","+9","+16,404","31.7","3.53","-34","-75,923","-25.4","-16.3","-5","-132","-0.52","-0.03","-1","-95","-2.39","-0.02"
"6189","豐藝","49.9","-0.5","-0.99","07/13","+9","+2,347","24.5","0.89","0","0","0","0","+4","+27","0.93","0.01","+9","+2,400","25.1","0.91"
"6266","泰詠","26.2","+0.9","+3.56","07/13","+9","+660","30.8","0.43","0","0","0","0","+2","+1","0.07","0","+9","+660","30.8","0.43"
"6741","91APP*-KY","59.2","-0.8","-1.33","07/13","+9","+1,081","42.4","0.9","0","0","0","0","-3","-8","-0.57","-0.01","+9","+1,075","42.2","0.89"
"2105","正新","32.85","+0.45","+1.39","07/13","+8","+51,170","45.6","1.58","-1","-192","-1.89","-0.01","+5","+1,465","2.88","0.05","+8","+54,615","48.7","1.68"
"2357","華碩","704","+20","+2.92","07/13","+8","+14,724","31.6","1.98","-1","-111","-1.63","-0.01","+3","+242","1.47","0.03","+8","+11,916","25.6","1.6"
"4104","佳醫","70.7","+0.9","+1.29","07/13","+8","+799","39.5","0.42","0","0","0","0","-2","-10","-1.74","-0.01","+8","+789","39.1","0.42"
"1903","士紙","48.85","-0.1","-0.2","07/13","+7","+368","20.5","0.14","0","0","0","0","-1","-2","-1.58","0","+7","+355","19.8","0.14"
"2106","建大","17.5","+0.1","+0.57","07/13","+7","+1,398","17.5","0.15","0","0","0","0","+1","+17","2.73","0","+7","+1,391","17.4","0.15"
"2867","三商壽","8.83","-0.03","-0.34","07/13","+7","+37,233","40.1","0.63","0","0","0","0","+1","+397","3.99","0.01","+7","+40,021","43.1","0.68"
