"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"0050","元大台灣50","106","+0.2","+0.19","26W29","07/13","-4","-445,707","-25.6","-2.13","+24","+215,826","1.44","1.03","-14","-829,945","-10.3","-3.96","-4","-597,549","-34.3","-2.85"
"2542","興富發","43.25","-0.35","-0.8","26W29","07/13","-1","-702","-13.9","-0.03","+11","+98,306","13.9","4.52","+1","+34","0.68","0","-1","-388","-7.65","-0.02"
"1216","統一","78.5","+0.1","+0.13","26W29","07/13","+3","+28,952","18","0.51","+9","+117,229","18","2.06","+4","+5,536","2.31","0.1","+4","+48,658","20.3","0.86"
"2351","順德","210.5","+10.5","+5.25","26W29","07/13","+2","+7,377","15.2","4.05","+9","+5,514","1.72","3.03","+1","+102","1.26","0.06","+3","+8,289","10.8","4.55"
"2382","廣達","378","+4.5","+1.2","26W29","07/13","+1","+479","2.72","0.01","+9","+323,325","21.8","8.37","+5","+2,658","0.84","0.07","+1","+2,719","15.4","0.07"
"2886","兆豐金","47","+0.3","+0.64","26W29","07/13","+2","+12,550","10.5","0.08","+9","+512,400","30.2","3.45","+6","+16,023","1.58","0.11","+12","+208,133","10.4","1.4"
"2892","第一金","33.65","+0.05","+0.15","26W29","07/13","+2","+43,133","31.8","0.3","+9","+375,203","16.4","2.61","+1","+21","0.11","0","+7","+434,649","27.7","3.02"
"2912","統一超","239.5","-1.5","-0.62","26W29","07/13","+3","+4,480","14.9","0.43","+9","+59,999","25.4","5.77","+1","+18","0.77","0","+4","+5,889","11.8","0.57"
"3045","台灣大","109.5","+1","+0.92","26W29","07/13","+2","+14,833","12.3","0.4","+9","+87,752","14.4","2.36","+1","+299","1.52","0.01","+2","+23,893","19.8","0.64"
"6138","茂達","348","-28","-7.45","26W29","07/13","+1","+318","12.1","0.42","+9","+1,376","1.54","1.82","-2","-19","-0.13","-0.03","+1","+320","12.2","0.42"
"1303","南亞","199.5","+18","+9.92","26W29","07/13","-2","-37,398","-9.82","-0.47","+8","+145,943","5.5","1.84","+2","+3,184","0.84","0.04","+1","+4,181","4.7","0.05"
"2377","微星","149.5","+4.5","+3.1","26W29","07/13","+2","+17,661","18.5","2.09","+8","+47,905","5.12","5.67","+2","+1,019","1.07","0.12","+7","+60,389","8.33","7.15"
"2379","瑞昱","756","-84","-10","26W29","07/13","-4","-15,935","-15.9","-3.09","+8","+37,626","17","7.3","-1","-38","-0.59","-0.01","-1","-2,510","-38.5","-0.49"
"2633","台灣高鐵","26.45","-0.25","-0.94","26W29","07/13","-13","-177,750","-22.7","-3.16","+8","+94,472","14.9","1.68","-2","-379","-1.02","-0.01","-4","-10,195","-5.67","-0.18"
"4961","天鈺","171","-5","-2.84","26W29","07/13","-1","-565","-42.7","-0.47","+8","+1,525","4.06","1.26","-1","-22","-1.65","-0.02","-1","-447","-33.7","-0.37"
"1210","大成","57.9","+0.9","+1.58","26W29","07/13","-2","-1,182","-7.66","-0.13","+7","+48,829","33.1","5.46","+5","+957","1.54","0.11","-1","-550","-19.5","-0.06"
"1402","遠東新","26.85","-0.6","-2.19","26W29","07/13","-4","-115,172","-31.2","-2.15","+7","+240,934","20.5","4.5","-2","-6,655","-4.94","-0.12","-2","-42,472","-31.5","-0.79"
"2855","統一證","49.65","-0.75","-1.49","26W29","07/13","-1","-2,071","-41.2","-0.13","+7","+75,997","18","4.75","0","0","0","0","-1","-1,661","-33","-0.1"
