排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,009806,台新標普500,13.48,0.01,0.07,31,07/14,,,,-100.0,-100.0,-100.0,,,,
2,00864B,中信美國公債0-1,46.79,0.09,0.19,2519,07/14,-94.7,-95.8,-96.6,-96.4,-97.6,0.0,0.0,0.0,-99.5,0.0
3,00859B,群益0-1年美債,41.27,0.09,0.22,1581,07/14,-80.0,-83.3,-85.7,-87.9,-92.5,100.0,-20.0,,,-71.4
4,00981T,平衡凱基雙核收息,12.12,-0.09,-0.74,9390,07/14,0.0,0.0,3.57,-77.5,-3.33,7.41,-37.0,-50.0,,-17.1
5,00875,國泰網路資安,53.0,0.75,1.44,158,07/14,0.0,0.0,-93.3,-75.0,0.0,,-85.7,-50.0,-95.5,-66.7
6,009822,華南永昌未來金融,9.61,-0.07,-0.72,520,07/14,-67.6,-67.6,-67.6,-72.5,-82.4,-88.1,,,,
7,00702,國泰標普低波高息,25.32,0.13,0.52,10,07/14,0.0,0.0,,-66.7,0.0,,,,,
8,2347,聯強,83.1,0.6,0.73,11888,07/14,-22.5,-24.1,-24.8,-66.1,-66.7,-73.4,48.8,-56.8,-10.2,-63.8
9,9925,新保,41.05,-0.25,-0.61,354,07/14,0.0,0.0,-62.5,-62.5,-66.7,-66.7,-25.0,-89.7,0.0,-78.6
10,5511,德昌,67.3,-2.3,-3.3,593,07/14,-2.46,-12.7,-6.5,-61.7,-34.3,-14.3,-30.8,-3.26,-44.6,-20.6
11,009807,台新標普科技精選,16.7,-0.06,-0.36,12,07/14,-14.3,-14.3,-14.3,-60.0,-60.0,-72.7,-50.0,-83.3,-33.3,-83.3
12,00994A,主動第一金台股優,16.41,-0.51,-3.01,9293,07/14,2.35,0.94,-0.3,-59.1,-61.3,-66.9,-31.3,565.0,,
13,2114,鑫永銓,88.6,-1.0,-1.12,88,07/14,-25.0,-40.0,-40.0,-57.1,-33.3,-64.7,-91.2,-90.0,-73.9,-85.4
14,6615,慧智,34.85,-0.6,-1.69,21,07/14,-25.0,-43.8,-47.1,-55.0,-59.1,200.0,800.0,,,
15,009808,華南永昌優選50,30.45,-0.69,-2.22,329,07/14,0.0,0.0,-10.9,-52.9,-50.0,-64.0,583.0,86.4,310.0,141.0
16,00998A,主動復華金融股息,17.18,0.02,0.12,4272,07/14,-2.94,-22.8,-22.4,-52.9,-60.6,-25.4,,,,
17,00964,中信亞太高股息,14.0,-0.05,-0.36,2750,07/14,4.55,35.3,39.4,-52.1,-57.0,-40.3,-27.0,15.0,4500.0,12.2
18,2916,滿心,39.9,-0.45,-1.12,549,07/14,0.0,0.0,0.0,-50.1,-49.5,-44.2,-38.3,-24.1,-41.4,-25.7
