排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,2206,三陽工業,64.2,0.3,0.47,07/16,16.4,19.7,14.9,19.2,14.6,5.31,0.48,-2.97,-5.83,0.76,0.25,-3.9
2,5434,崇越,596.0,53.0,9.76,07/16,4.84,5.57,13.3,15.2,22.6,16.6,7.99,3.99,0.24,1.61,0.67,3.73
3,1303,南亞,221.0,-6.5,-2.86,07/16,38.1,23.8,18.2,15.0,12.6,12.4,4.0,2.08,1.1,-0.02,0.41,1.72
4,4770,上品,226.5,5.5,2.49,07/16,15.9,18.2,15.8,13.0,9.16,5.15,0.83,0.45,-1.24,-0.13,,0.39
5,9917,中保科,108.0,1.0,0.93,07/16,19.5,19.9,12.6,12.7,9.47,5.16,3.97,1.31,1.06,0.34,0.21,1.02
6,2059,川湖,8655.0,155.0,1.82,07/16,27.1,19.7,15.8,12.6,9.22,4.72,5.29,1.69,-0.11,0.57,0.47,-0.25
7,4961,天鈺,168.0,0.5,0.3,07/16,25.8,16.0,16.7,12.3,8.71,4.93,1.9,1.3,-3.11,0.28,,0.46
8,4722,國精化,253.0,-21.5,-7.83,07/16,0.0,0.0,16.2,11.9,7.33,11.0,3.13,1.66,0.63,0.48,0.09,1.52
9,2887,台新新光金,36.15,0.0,0.0,07/16,13.3,11.6,12.2,11.9,5.91,5.06,0.82,4.13,7.76,7.28,3.98,4.17
10,6669,緯穎,5115.0,20.0,0.39,07/16,3.16,5.41,4.14,11.7,18.0,9.17,6.8,2.29,1.3,0.22,,1.82
11,5522,遠雄,69.4,1.1,1.61,07/16,1.29,-0.2,13.1,11.6,8.94,-4.2,-2.04,-2.1,-1.17,1.14,0.68,-3.32
12,3532,台勝科,471.0,-52.0,-9.94,07/16,4.11,3.47,11.5,10.9,9.2,7.97,3.6,2.43,1.63,0.64,0.05,2.21
13,2542,興富發,43.35,-0.1,-0.23,07/16,5.53,6.66,9.79,9.74,9.93,9.13,9.55,6.87,5.21,0.43,0.12,6.47
