排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
1,3211,順達,426.5,-0.5,-0.12,07/16,0.06,0.06,0.05,2.86,3.09,3.35,-8.85,-7.62,-14.5,12.0,12.0,-10.8
2,5483,中美晶,259.0,-19.0,-6.83,07/16,0.0,0.66,1.88,2.21,2.5,3.95,4.21,3.36,5.65,10.8,11.5,4.03
3,8046,南電,1275.0,-140.0,-9.89,07/16,0.02,0.3,0.51,1.69,2.23,3.29,3.11,6.57,4.98,3.69,4.13,7.01
4,3532,台勝科,471.0,-52.0,-9.94,07/16,0.08,0.21,1.25,1.48,2.07,2.39,2.46,3.44,4.16,2.43,0.89,3.72
5,1303,南亞,221.0,-6.5,-2.86,07/16,0.65,0.88,1.03,1.25,1.46,2.62,2.49,2.96,3.18,-0.07,2.12,2.75
6,2313,華通,235.5,-12.5,-5.04,07/16,0.07,0.27,0.83,1.16,1.15,0.96,-0.95,-0.09,1.7,-0.03,3.02,1.96
7,4764,雙鍵,328.5,-36.0,-9.88,07/16,0.0,0.0,1.0,1.12,2.15,2.27,4.4,4.5,4.5,4.5,,4.5
8,5434,崇越,596.0,53.0,9.76,07/16,0.11,0.18,0.63,1.04,2.6,3.64,3.3,2.56,0.28,4.91,6.27,2.56
9,4722,國精化,253.0,-21.5,-7.83,07/16,0.0,0.0,1.02,1.02,1.02,5.02,5.93,5.22,5.92,6.32,1.72,5.23
10,3167,大量,851.0,-41.0,-4.6,07/16,0.03,0.64,0.66,0.85,1.46,1.22,-2.29,2.39,9.02,9.63,9.59,-0.13
11,2458,義隆,175.5,-3.0,-1.68,07/16,0.1,0.07,0.2,0.71,2.95,3.85,2.21,0.58,1.58,17.5,13.8,-0.69
12,3026,禾伸堂,766.0,-72.0,-8.59,07/16,0.05,0.41,-0.46,0.65,5.48,6.79,15.0,14.8,15.1,15.3,14.5,14.7
13,4958,臻鼎-KY,578.0,-40.0,-6.47,07/16,0.0,0.04,0.26,0.64,0.24,1.64,4.06,4.44,3.5,1.3,5.18,3.82
14,6182,合晶,166.0,-13.5,-7.52,07/16,-0.01,-0.11,-0.43,0.61,1.76,5.09,6.11,6.11,6.09,3.07,5.01,6.11
15,6187,萬潤,1075.0,-5.0,-0.46,07/16,0.02,0.11,0.11,0.6,0.05,-1.31,-0.01,7.49,3.47,6.69,-0.92,7.6
