排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,2618,長榮航,41.2,-0.7,-1.67,07/17,-3046,-20220,-47550,-80728,-77865,-165848,-61562.0,-24598.0,-33971.0,-83627.0
2,2891,中信金,62.1,-0.9,-1.43,07/17,2797,-36330,-42023,-41438,-3192,218,-75183.0,199614.0,-6604.0,141129.0
3,00919,群益台灣精選高息,28.93,-0.62,-2.1,07/17,3233,442,1054,-33995,-37561,-69354,-44612.0,31152.0,-78523.0,-76599.0
4,2884,玉山金,35.1,0.2,0.57,07/17,2600,-25716,-24387,-29990,-74843,-59677,-98356.0,-98166.0,147451.0,-28066.0
5,2303,聯電,144.0,-16.0,-10.0,07/17,2280,-8061,-7968,-19420,-19917,-91844,-494688.0,-409173.0,-878490.0,-464364.0
6,2882,國泰金,94.3,-3.0,-3.08,07/17,-1905,-18891,-18740,-19053,-40749,-61281,-160536.0,-69818.0,-436519.0,-115729.0
7,2105,正新,33.6,0.05,0.15,07/17,-613,-11713,-13439,-14972,-40329,-46033,6851.0,-57798.0,-13675.0,-49601.0
8,3045,台灣大,111.0,0.5,0.45,07/17,-345,-2148,-13113,-14411,-2279,-5707,372.0,-27535.0,38594.0,-14483.0
9,2603,長榮,198.0,-2.0,-1.0,07/17,-4166,-6726,-9400,-13919,-22627,-34403,1116.0,-11436.0,17585.0,-22828.0
10,9904,寶成,24.6,0.0,0.0,07/17,-243,-4533,-12524,-11772,-19917,6904,125394.0,159242.0,65664.0,148238.0
11,2347,聯強,85.3,-2.0,-2.29,07/17,-753,-8241,-10208,-11023,675,-3118,7862.0,9523.0,-8018.0,6245.0
12,2027,大成鋼,40.65,-0.35,-0.85,07/17,-149,-6986,-6976,-10303,-11686,-31256,-111619.0,-55428.0,2804.0,-34791.0
13,2377,微星,141.5,-3.5,-2.41,07/17,-1067,-563,-7805,-10268,-6614,2198,26055.0,46853.0,60544.0,49741.0
14,2610,華航,20.75,-0.15,-0.72,07/17,-6834,-9243,-8965,-9663,-8117,-10663,-203280.0,-81449.0,-180877.0,-132502.0
15,2881,富邦金,124.5,-0.5,-0.4,07/17,-664,583,1012,-9540,-33642,-42162,-232256.0,-111306.0,-217349.0,-128877.0
16,2353,宏碁,29.6,-1.15,-3.74,07/17,1031,-8837,-9615,-9358,-7564,-9087,-9534.0,41203.0,108446.0,112977.0
17,5880,合庫金,25.35,-0.15,-0.59,07/17,-3330,-5124,-4668,-8543,-15620,-70991,4033.0,28894.0,5139.0,34718.0
18,2371,大同,26.05,-1.05,-3.87,07/17,-1866,-4055,-6980,-7993,-8506,5257,59709.0,82821.0,114942.0,106684.0
19,2609,陽明,49.2,-1.0,-1.99,07/17,-4114,-7404,-11447,-7463,-4477,-4335,-118638.0,-58155.0,-78463.0,-104626.0
20,4958,臻鼎-KY,521.0,-57.0,-9.86,07/17,-431,-617,-4648,-7350,-4319,-6280,-1656.0,10290.0,-12714.0,3963.0
