排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,00406A,主動中信台灣收益,9.17,0.45,5.16,07/21,-46.5,-58.2,-75.2,-72.3,-69.2,-47.7,,,,,,
2,00988B,玉山嚴選非投債,19.99,0.03,0.15,07/21,-46.3,-28.8,-22.4,-69.1,-60.1,-55.6,-51.0,,,,,
3,020037,元大金融高股息N,10.8,0.0,0.0,07/21,,-100.0,-100.0,-66.7,60.7,26.6,13.6,8.51,5.18,3.56,,5.47
4,0056,元大高股息,49.55,0.95,1.95,07/21,-46.8,-62.3,-73.0,-66.0,-63.5,-48.6,1.73,0.18,-1.95,-23.2,-23.9,1.4
5,00985D,主動貝萊德優投等,10.16,-0.04,-0.39,07/21,-82.9,-66.4,-46.6,-64.0,-61.2,-52.0,-28.0,,,,,
6,00666R,富邦恒生國企反1,9.2,0.0,0.0,07/21,-1.19,-16.5,-2.1,-60.0,-61.4,-28.7,-2.37,0.67,5.63,-1.06,,4.92
7,00888,永豐台灣ESG,34.53,1.34,4.04,07/21,-57.5,-58.9,-69.2,-58.7,-58.4,-53.2,-14.8,-24.4,-18.9,4.29,,-23.9
8,00986B,FT金融債10+,9.92,0.0,0.0,07/21,-85.2,-6.91,11.5,-57.6,-1.02,31.2,45.8,12.1,,,,11.9
9,020034,元大IC設計N,12.63,0.76,6.4,07/21,-50.0,-77.8,-66.0,-56.2,-54.0,-35.7,-7.77,3.93,14.1,5.89,,16.7
10,00929,復華台灣科技優息,28.27,0.71,2.58,07/21,-7.08,-46.7,-58.0,-53.6,-53.2,-30.5,13.0,30.2,39.3,-6.23,,34.8
11,0050,元大台灣50,102.5,3.9,3.96,07/21,-3.63,-50.1,-65.9,-53.4,-52.0,-43.7,-30.2,-29.2,-28.7,-26.0,-20.7,-29.3
12,00911,兆豐洲際半導體,55.25,0.9,1.66,07/21,-63.9,-49.0,-55.5,-52.7,-51.4,-42.5,-27.1,-14.1,-1.26,-7.09,,-13.0
13,00984D,主動聯博全球非投,10.24,-0.02,-0.19,07/21,-75.4,-68.4,-51.0,-51.6,-47.1,-52.3,-58.3,,,,,
14,00961,FT臺灣永續高息,12.53,0.19,1.54,07/21,6.47,-8.9,-21.2,-50.6,-67.0,-62.9,-46.0,-35.6,-6.77,,,-27.6
15,4126,太醫,76.9,-0.1,-0.13,07/21,-48.1,-44.9,-43.8,-46.4,-27.8,-26.9,-7.48,-20.2,-23.9,-12.3,-5.45,-20.5
16,009803,玉山市值動能50,20.46,0.74,3.75,07/21,14.2,-27.8,-49.1,-45.9,-47.8,-30.9,-23.9,-18.3,-15.4,,,-17.6
17,00407A,主動凱基台灣,8.91,0.51,6.07,07/21,4.4,-23.7,-53.5,-44.8,-53.4,,,,,,,
18,00403A,主動統一升級50,9.75,0.47,5.06,07/21,5.02,-30.5,-59.4,-44.2,-41.6,-20.8,,,,,,
19,00981T,平衡凱基雙核收息,12.0,0.05,0.42,07/21,-37.4,-35.9,-33.6,-44.0,-46.5,-34.3,-19.6,-16.7,,,,-16.1
20,00842B,台新美元銀行債,30.2,0.01,0.03,07/21,-53.6,-18.6,-16.2,-42.9,-49.2,-35.5,-18.1,-23.2,-18.3,-9.1,,-25.7
21,009816,凱基台灣TOP50,14.76,0.62,4.38,07/21,4.62,-15.2,-49.6,-42.9,-43.3,-38.5,-31.9,,,,,
22,6831,邁科,600.0,49.0,8.89,07/21,-12.6,-34.2,-43.3,-42.2,-14.1,4.59,3.1,2.02,,,,2.2
23,00685L,群益臺灣加權正2,11.2,0.79,7.59,07/21,-3.66,-9.44,-50.4,-41.8,-56.8,-56.7,-56.1,-55.4,-54.4,-51.3,,-55.2
24,006201,元大富櫃50,41.69,1.89,4.75,07/21,-4.98,-39.4,-46.2,-40.4,-30.7,-20.5,-10.1,-10.9,-6.07,-4.84,3.71,-9.59
25,00991A,主動復華未來50,16.71,0.98,6.23,07/21,-13.2,-28.1,-39.5,-40.1,-44.5,-42.8,-31.1,-23.0,,,,-21.4
26,00648R,元大S&P500反1,4.03,-0.03,-0.74,07/21,29.6,4.03,-28.7,-40.0,-45.2,-19.1,-2.1,8.45,5.25,3.96,0.5,9.88
27,00984A,主動安聯台灣高息,14.86,0.39,2.7,07/21,7.07,-7.13,-31.4,-39.7,-62.1,-55.0,-23.3,-24.4,-22.8,,,-25.4
28,006208,富邦台50,234.55,8.55,3.78,07/21,11.7,-15.7,-45.4,-38.8,-41.7,-28.7,1.43,-1.01,8.97,-18.1,-21.5,6.75
29,0053,元大電子,230.75,7.9,3.54,07/21,-30.3,-36.9,-38.7,-37.5,-34.6,-28.5,-18.5,-12.7,-9.65,-6.05,16.0,-11.2
30,910861,神州-DR,3.98,0.04,1.02,07/21,-53.8,-23.1,-21.6,-37.5,-26.4,-14.1,-3.23,-2.01,-1.24,-0.22,-0.06,-2.05
31,4934,太極,15.5,0.4,2.65,07/21,5.08,-14.4,-33.8,-37.1,-23.4,2.03,3.77,1.27,1.29,0.55,0.06,1.86
32,00646,元大S&P500,76.15,0.05,0.07,07/21,-70.7,-26.5,-17.3,-37.0,-44.5,-21.2,-16.4,-19.2,-4.08,-12.9,-12.7,-20.3
33,00405A,主動富邦台灣龍耀,8.0,0.44,5.82,07/21,4.34,-16.1,-47.2,-36.0,-49.4,-37.3,,,,,,
34,020000,富邦特選蘋果N,30.02,1.31,4.56,07/21,80.0,-35.7,-35.7,-35.7,-2.56,3.23,19.4,22.6,44.6,4.5,,26.0
35,2471,資通,52.0,0.4,0.78,07/21,-52.5,-51.7,-45.2,-35.4,-24.5,-11.8,-1.43,1.23,1.5,0.21,0.08,2.75
36,009804,聯邦台精彩50,21.22,0.87,4.28,07/21,43.2,14.8,-3.26,-35.1,-62.2,-56.4,-20.4,-22.6,-12.7,,,-20.6
37,00858,永豐美國500大,36.83,0.06,0.16,07/21,-81.5,-59.4,-47.5,-35.1,-19.1,-1.54,30.0,10.5,4.53,-16.3,,-0.76
38,00876,元大全球5G,89.45,2.15,2.46,07/21,-42.8,-39.3,-37.5,-35.0,-37.6,-26.8,-6.89,3.96,26.2,21.6,,5.39
39,1295,生合,48.15,-0.1,-0.21,07/21,-48.9,-41.9,-47.0,-34.9,-11.0,-16.8,-2.25,-2.32,0.3,,,0.0
40,00938,凱基優選30,24.19,0.3,1.26,07/21,20.0,-20.2,-27.7,-34.8,-22.0,-14.5,-9.8,-0.12,22.5,,,0.13
41,6629,泰金-KY,105.0,0.0,0.0,07/21,-0.02,-37.9,-33.5,-34.5,-27.9,-21.1,-0.51,0.51,-1.11,-3.03,,1.23
42,00661,元大日經225,85.15,1.1,1.31,07/21,-18.8,-0.6,-21.7,-34.3,-6.85,-5.28,19.5,0.47,-3.16,-2.97,-5.41,-1.79
43,00861,元大全球未來通訊,87.0,1.7,1.99,07/21,-56.7,-45.2,-33.9,-33.8,-32.3,-25.9,-2.94,5.81,21.8,26.2,,8.24
44,1608,華榮,31.8,0.35,1.11,07/21,-43.2,-38.3,-42.9,-33.6,-36.7,-17.0,-3.65,-3.36,0.06,0.01,-0.12,-1.65
45,3130,一零四,203.5,0.5,0.25,07/21,-16.4,-12.6,-7.8,-33.4,-51.4,-48.3,-34.0,-30.3,-22.1,-27.3,-18.2,-30.3
46,006203,元大MSCI台灣,185.95,6.2,3.45,07/21,19.5,-17.2,-47.2,-33.3,-18.2,-14.0,-1.11,0.47,3.88,0.17,-3.24,1.17
47,00941,中信上游半導體,26.84,0.03,0.11,07/21,-53.4,-45.6,-39.8,-33.1,-31.5,-27.1,15.4,19.6,52.2,,,21.3
48,00651R,復華香港反1,5.28,-0.02,-0.38,07/21,-35.6,-52.8,-28.3,-33.0,-37.3,-15.3,5.57,7.41,8.25,-0.74,-0.53,6.41
49,00662,富邦NASDAQ,120.05,0.75,0.63,07/21,-72.2,-49.4,-51.2,-32.9,-15.0,-19.0,-26.8,-26.6,-19.9,-20.3,-20.1,-27.4
50,2439,美律,84.7,2.5,3.04,07/21,-21.4,-17.0,-28.8,-32.6,-37.6,-18.9,-14.8,-19.2,-9.99,-1.33,-0.61,-13.9
51,00891,中信關鍵半導體,34.24,1.57,4.81,07/21,7.03,-13.1,-41.2,-32.5,-28.2,-21.3,-15.2,-14.4,-11.6,-3.9,,-14.1
52,1570,力肯,37.25,0.2,0.54,07/21,-34.0,-37.8,-31.1,-31.5,-31.1,-12.5,0.38,-0.09,-1.34,-0.21,0.05,-0.23
53,00654R,富邦印度反1,6.74,0.01,0.15,07/21,-75.4,-22.7,-38.0,-31.4,10.8,6.6,3.2,14.6,15.7,5.48,-1.97,15.5
