排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,00780B,國泰A級金融債,37.73,-0.14,-0.37,07/21,-16.9,42.7,99.0,98.5,92.8,88.3,75.1,78.1,78.6,59.4,,76.8
2,00785B,富邦金融投等債,34.92,-0.16,-0.46,07/21,-4.06,-3.44,5.66,98.3,99.2,98.5,96.8,95.3,91.8,90.7,,94.6
3,00756B,群益投等新興公債,31.8,-0.08,-0.25,07/21,-45.8,97.9,97.2,96.0,92.5,98.5,94.8,89.2,90.0,69.5,,91.8
4,00870B,元大15年EM主權債,28.32,0.0,0.0,07/21,0.0,0.0,0.0,95.2,21.2,2.13,6.71,97.5,95.6,75.9,,97.3
5,910322,康師傅-DR,23.35,-0.55,-2.3,07/21,83.5,90.4,88.1,87.8,83.8,35.9,-14.8,-4.6,-3.13,-0.56,-0.29,4.37
6,00717,富邦美國特別股,14.86,0.0,0.0,07/21,87.1,84.2,71.5,73.4,71.9,57.7,76.9,68.5,62.1,45.6,,67.8
7,4305,世坤,41.3,0.0,0.0,07/21,100.0,92.2,87.1,71.2,4.1,0.44,-0.86,0.0,-0.29,0.07,0.03,-0.32
8,00867B,台新A-BBB電信債,30.9,-0.22,-0.71,07/21,0.0,0.0,0.0,68.4,-2.06,-7.1,-3.5,-0.35,61.6,74.9,,-0.08
9,1463,強盛新,18.1,0.1,0.56,07/21,63.5,71.0,75.2,66.6,41.8,26.2,28.8,35.4,10.7,7.09,1.57,35.7
10,5324,士開,12.1,0.1,0.83,07/21,39.3,60.8,66.7,65.0,64.5,61.8,35.2,19.3,11.1,1.49,0.63,17.2
11,00689R,國泰20年美債反1,22.58,0.09,0.4,07/21,50.5,64.7,70.6,62.4,61.6,41.3,25.1,18.3,11.2,3.17,,17.7
12,00836B,永豐10年A公司債,28.71,-0.13,-0.45,07/21,0.0,22.0,18.0,56.8,-39.8,2.14,-6.73,6.89,83.4,82.8,,83.3
13,1604,聲寶,23.55,0.15,0.64,07/21,87.8,71.7,58.6,55.8,34.7,30.8,9.53,5.29,1.97,-1.29,-2.44,3.83
14,1235,興泰,37.2,-0.2,-0.53,07/21,44.4,62.0,60.5,55.1,33.7,11.4,6.01,5.29,0.59,1.46,0.15,4.64
