代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 週別,更新 日期,外資 連續 買賣 週數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 週數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 週數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 週數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
00696B,富邦美債20年,28.94,-0.17,-0.58,26W30,07/21,62,706769,44.1,114.0,0,0,0.0,0.0,-6,-18490,-16.1,-2.98,2,992,6.23,0.16
00717,富邦美國特別股,14.86,0.0,0.0,26W30,07/21,56,27025,60.4,21.8,0,0,0.0,0.0,-3,-148,-9.75,-0.12,21,16560,74.7,13.3
00857B,永豐20年美公債,23.21,-0.12,-0.51,26W30,07/21,37,193820,43.9,36.3,0,0,0.0,0.0,-1,-268,-8.53,-0.05,37,206255,46.7,38.6
00931B,統一美債20年,13.43,-0.08,-0.59,26W30,07/21,27,333829,52.3,15.0,0,0,0.0,0.0,-1,-575,-8.77,-0.03,27,384916,60.4,17.2
00772B,中信高評級公司債,33.52,-0.16,-0.48,26W30,07/21,17,118518,47.1,3.52,0,0,0.0,0.0,2,3649,21.0,0.11,48,257814,40.8,7.65
00950B,凱基A級公司債,14.12,-0.05,-0.35,26W30,07/21,17,221255,43.4,5.51,0,0,0.0,0.0,-1,-151,-2.81,0.0,2,1689,5.71,0.04
00770,國泰北美科技,66.85,0.8,1.21,26W30,07/21,16,7984,20.3,10.0,0,0,0.0,0.0,1,38,11.6,0.05,6,1756,24.8,2.21
00900,富邦特選高股息30,18.15,0.42,2.37,26W30,07/21,16,223697,25.4,13.8,0,0,0.0,0.0,16,322699,36.7,20.0,16,554896,63.1,34.3
00661,元大日經225,85.15,1.1,1.31,26W30,07/21,12,1592,17.3,6.8,0,0,0.0,0.0,-2,-451,-29.4,-1.93,-2,-189,-12.3,-0.81
4130,健亞,26.7,-0.1,-0.37,26W30,07/21,12,1772,19.3,1.28,0,0,0.0,0.0,-1,-234,-65.9,-0.17,-1,-140,-39.3,-0.1
1268,漢來美食,175.5,2.5,1.45,26W30,07/21,11,200,6.32,0.47,0,0,0.0,0.0,0,0,0.0,0.0,11,202,6.39,0.48
6657,華安,36.1,1.6,4.64,26W30,07/21,11,1529,13.5,1.72,0,0,0.0,0.0,2,3,0.27,0.0,11,1529,13.5,1.72
1799,易威,32.2,-0.15,-0.46,26W30,07/21,10,660,10.7,0.53,0,0,0.0,0.0,-1,0,-0.11,0.0,10,656,10.7,0.53
2645,長榮航太,215.0,7.0,3.37,26W30,07/21,10,12725,6.78,3.4,-2,-1886,-3.02,-0.5,1,206,0.96,0.05,-1,-759,-3.55,-0.2
2646,星宇航空,22.0,0.7,3.29,26W30,07/21,10,38810,12.4,1.29,-1,-2,-0.01,0.0,2,491,1.13,0.02,10,41122,13.2,1.37
