代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 週別,更新 日期,外資 連續 買賣 週數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 週數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 週數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 週數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
0050,元大台灣50,102.5,3.9,3.96,26W30,07/21,-5,-850249,-26.8,-3.96,25,239014,1.45,1.11,-15,-1239370,-13.1,-5.77,-5,-1388328,-43.7,-6.46
2542,興富發,44.1,0.8,1.85,26W30,07/21,-2,-20782,-29.8,-0.97,12,121575,15.8,5.65,2,1391,2.0,0.06,8,42826,8.27,1.99
1216,統一,79.6,-0.7,-0.87,26W30,07/21,-1,-10322,-19.6,-0.18,10,137000,17.1,2.41,5,15834,4.07,0.28,5,66911,17.2,1.18
2352,佳世達,30.65,0.8,2.68,26W30,07/21,-5,-55479,-11.5,-3.51,10,51679,6.22,3.27,-3,-938,-0.37,-0.06,-3,-23646,-9.38,-1.5
2382,廣達,324.0,8.0,2.53,26W30,07/21,1,11232,19.2,0.29,10,327475,19.7,8.48,1,2127,3.63,0.06,1,16420,28.0,0.43
2886,兆豐金,48.6,0.4,0.83,26W30,07/21,-1,-13016,-16.8,-0.09,10,525460,27.4,3.54,7,41395,3.36,0.28,13,251149,11.3,1.69
2892,第一金,34.45,0.5,1.47,26W30,07/21,-1,-15633,-19.9,-0.11,10,403736,16.0,2.81,2,5689,2.19,0.04,8,482723,26.7,3.36
2912,統一超,243.0,-0.5,-0.21,26W30,07/21,-1,-5,-0.04,0.0,10,64973,24.6,6.25,-1,-38,-0.36,0.0,5,12469,16.0,1.2
1303,南亞,195.5,9.0,4.83,26W30,07/21,-3,-216288,-18.3,-2.73,9,294240,8.52,3.71,3,8340,0.71,0.11,-3,-35995,-3.05,-0.45
2633,台灣高鐵,26.1,0.25,0.97,26W30,07/21,2,11547,19.5,0.21,9,97464,14.3,1.73,2,131,0.22,0.0,2,14967,25.3,0.27
2890,永豐金,40.2,0.5,1.26,26W30,07/21,-1,-28258,-25.3,-0.19,9,315511,14.6,2.18,5,31408,2.95,0.22,9,510029,23.5,3.52
1210,大成,57.5,-0.2,-0.35,26W30,07/21,-1,-306,-8.95,-0.03,8,49477,30.9,5.53,6,2487,3.33,0.28,8,21645,13.5,2.42
1402,遠東新,27.35,0.05,0.18,26W30,07/21,2,61843,30.0,1.16,8,246881,18.4,4.61,-1,-297,-0.79,-0.01,2,75733,36.7,1.41
2855,統一證,43.65,0.7,1.63,26W30,07/21,-2,-5726,-13.1,-0.36,8,78623,17.0,4.91,0,0,0.0,0.0,1,841,6.8,0.05
6139,亞翔,815.0,40.0,5.16,26W30,07/21,-4,-11747,-15.3,-4.99,7,6004,3.87,2.55,-8,-1806,-0.99,-0.77,-4,-7795,-10.1,-3.31
8046,南電,1190.0,85.0,7.69,26W30,07/21,-3,-17460,-8.01,-2.7,7,24914,4.29,3.86,-3,-569,-0.26,-0.09,-2,-4367,-3.14,-0.68
9917,中保科,108.5,-0.5,-0.46,26W30,07/21,2,1305,22.3,0.29,7,2315,7.46,0.51,2,20,0.34,0.0,3,2079,25.1,0.46
3037,欣興,825.0,75.0,10.0,26W30,07/21,1,2872,5.91,0.17,6,25347,3.35,1.54,-3,-220,-0.06,-0.01,1,3944,8.11,0.24
3706,神達,91.3,2.9,3.28,26W30,07/21,1,3759,15.3,0.28,6,46254,9.76,3.49,1,233,0.95,0.02,1,7160,29.1,0.54
5483,中美晶,220.5,-7.0,-3.08,26W30,07/21,-1,-4982,-6.75,-0.78,6,29170,3.27,4.55,1,590,0.8,0.09,-1,-3455,-4.68,-0.54
6213,聯茂,354.5,32.0,9.92,26W30,07/21,-1,-1884,-4.03,-0.52,6,10554,1.74,2.9,1,231,0.49,0.06,-1,-762,-1.63,-0.21
6691,洋基工程,721.0,28.0,4.04,26W30,07/21,-4,-5590,-31.8,-4.6,6,3986,13.4,3.28,2,21,0.37,0.02,-4,-2030,-11.5,-1.67
8464,億豐,363.0,3.0,0.83,26W30,07/21,-1,-148,-13.1,-0.05,6,4446,21.4,1.52,2,15,0.36,0.01,-1,-138,-12.2,-0.05
