2026年3月12日-5日.20日.60日.持股排名變化
?? 三大法人持股變化排名(5日)
按選定視窗之三大法人合計持股比重變化排序
#,股票,市場,持股%,ΔChange
1,00715L期街口布蘭特正2,TWSE,16.42,10.29
2,8112至上,TWSE,27.51,9.74
3,8271宇瞻,TWSE,19.51,9.23
4,3645達邁,TWSE,14.2,6.24
5,3481群創,TWSE,29.02,5.99
6,00689R國泰20年美債反1,TWSE,23.87,5.89
7,00683L期元大美元指正2,TWSE,8.98,5.44
8,00635U期元大S&P黃金,TWSE,16.8,5.03
9,4949有成精密,TWSE,7.96,4.88
10,2409友達,TWSE,15.28,3.06
11,8039台虹,TWSE,18.68,3.01
12,00984D主動聯博全球非投,TWSE,3.39,2.81
13,2367燿華,TWSE,12.94,2.39
14,2727王品,TWSE,26.49,2.39
15,6213聯茂,TWSE,17.81,2.35
16,3006晶豪科,TWSE,29.89,2.3
17,2481強茂,TWSE,29.15,2.28
18,2406國碩,TWSE,10.72,2.15
19,4989榮科,TWSE,8.92,2.04
20,4977眾達-KY,TWSE,20.05,2
21,8467波力-KY,TWSE,46.33,1.9
22,1727中華化,TWSE,10.87,1.89
23,00642U期元大S&P石油,TWSE,4.77,1.8
24,9933中鼎,TWSE,12.28,1.75
25,6531愛普*,TWSE,33.65,1.65
26,2355敬鵬,TWSE,15.3,1.6
27,00647L元大S&P500正2,TWSE,4.65,1.52
28,2368金像電,TWSE,34.5,1.49
29,6477安集,TWSE,3.79,1.41
30,2485兆赫,TWSE,5.62,1.39
31,2399映泰,TWSE,4.41,1.35
32,00991A主動復華未來50,TWSE,3.4,1.32
33,2049上銀,TWSE,29.99,1.26
34,4956光鋐,TWSE,10.8,1.18
35,6197佳必琪,TWSE,4.1,1.14
36,00954中信日本半導體,TWSE,1.92,1.13
37,00763U期街口道瓊銅,TWSE,3.4,1.11
38,00753L中信中國50正2,TWSE,4.43,1.1
39,2353宏碁,TWSE,12.93,1.06
40,00913兆豐台灣晶圓製造,TWSE,1.72,1.04
41,3708上緯投控,TWSE,8.67,1.01
42,6658聯策,TWSE,3.27,1
43,4770上品,TWSE,11.05,0.99
44,6937天虹,TWSE,3.06,0.98
45,8261富鼎,TWSE,5.54,0.94
46,4960誠美材,TWSE,19.32,0.89
47,00666R富邦恒生國企反1,TWSE,8.12,0.89
48,1582信錦,TWSE,4.63,0.88
49,2376技嘉,TWSE,15.88,0.86
50,2458義隆,TWSE,16.64,0.85

?? 三大法人持股變化排名(20日)
按選定視窗之三大法人合計持股比重變化排序
#,股票,市場,持股%,ΔChange
1,8271宇瞻,TWSE,19.51,12.87
2,00689R國泰20年美債反1,TWSE,23.87,12.71
3,8112至上,TWSE,27.51,10.26
4,3167大量,TWSE,22.16,10.08
5,6213聯茂,TWSE,17.81,8.47
6,00683L期元大美元指正2,TWSE,8.98,8.11
7,3481群創,TWSE,29.02,7.8
8,3450聯鈞,TWSE,19.05,7.76
9,00635U期元大S&P黃金,TWSE,16.8,7.4
10,00708L期元大S&P黃金正2,TWSE,11.43,7.23
11,2467志聖,TWSE,22.03,6.66
12,1727中華化,TWSE,10.87,6.23
13,4949有成精密,TWSE,7.96,5.41
14,4977眾達-KY,TWSE,20.05,4.54
15,2455全新,TWSE,39.18,4.52
16,4989榮科,TWSE,8.92,4.51
17,5234達興材料,TWSE,13.75,4.43
18,3563牧德,TWSE,15.21,4.21
19,3535晶彩科,TWSE,10.64,4.21
20,3006晶豪科,TWSE,29.89,4.17
21,2409友達,TWSE,15.28,4.1
22,4722國精化,TWSE,6.75,4.07
23,3533嘉澤,TWSE,43.86,3.89
24,7795長廣,TWSE,4.86,3.84
25,6672騰輝電子-KY,TWSE,25.01,3.7
26,6830汎銓,TWSE,8.09,3.62
27,3209全科,TWSE,9.74,3.57
28,00675L富邦臺灣加權正2,TWSE,8.1,3.5
29,8039台虹,TWSE,18.68,3.36
30,8110華東,TWSE,4.68,3.35
31,2727王品,TWSE,26.49,3.33
32,3017奇鋐,TWSE,56.49,3.29
33,2355敬鵬,TWSE,15.3,3.26
34,3645達邁,TWSE,14.2,3.21
35,3576聯合再生,TWSE,13.19,3.11
36,1560中砂,TWSE,36.73,3.03
37,3026禾伸堂,TWSE,18.39,2.98
38,00655L國泰中國A50正2,TWSE,3.48,2.93
39,2458義隆,TWSE,16.64,2.89
40,00735國泰臺韓科技,TWSE,5.56,2.88
41,8103瀚荃,TWSE,23.06,2.84
42,7769鴻勁,TWSE,20.39,2.82
43,3023信邦,TWSE,41.06,2.75
44,6831邁科,TWSE,9.61,2.67
45,8150南茂,TWSE,42.77,2.65
46,6805富世達,TWSE,27.59,2.62
47,8261富鼎,TWSE,5.54,2.61
48,00943兆豐電子高息等權,TWSE,3.89,2.58
49,2605新興,TWSE,43.31,2.56
50,3030德律,TWSE,13.35,2.55


?? 三大法人持股變化排名(60日)
按選定視窗之三大法人合計持股比重變化排序
#,股票,市場,持股%,ΔChange
1,1341富林-KY,TWSE,79.81,79.81
2,00689R國泰20年美債反1,TWSE,23.87,15.64
3,3006晶豪科,TWSE,29.89,13.14
4,8271宇瞻,TWSE,19.51,12.47
5,00715L期街口布蘭特正2,TWSE,16.42,12.33
6,8021尖點,TWSE,16.26,11.15
7,1560中砂,TWSE,36.73,10.73
8,00708L期元大S&P黃金正2,TWSE,11.43,9.72
9,2337旺宏,TWSE,28.75,9.65
10,8112至上,TWSE,27.51,9.53
11,2467志聖,TWSE,22.03,9.29
12,7769鴻勁,TWSE,20.39,9.14
13,6531愛普*,TWSE,33.65,8.31
14,2605新興,TWSE,43.31,7.65
15,1727中華化,TWSE,10.87,7.21
16,00935野村臺灣新科技50,TWSE,10.12,7.13
17,3533嘉澤,TWSE,43.86,7.07
18,3543州巧,TWSE,14.48,7.03
19,2481強茂,TWSE,29.15,6.99
20,6213聯茂,TWSE,17.81,6.92
21,4989榮科,TWSE,8.92,6.89
22,00675L富邦臺灣加權正2,TWSE,8.1,6.87
23,2867三商壽,TWSE,16.56,6.37
24,8150南茂,TWSE,42.77,6.35
25,2486一詮,TWSE,16.82,5.78
26,7750新代,TWSE,15.76,5.66
27,8028昇陽半導體,TWSE,14.18,5.35
28,6830汎銓,TWSE,8.09,5.35
29,8046南電,TWSE,20,5.05
30,1516川飛,TWSE,6.11,5.04
31,3645達邁,TWSE,14.2,4.99
32,2883凱基金,TWSE,30.42,4.99
33,2492華新科,TWSE,16.38,4.97
34,2375凱美,TWSE,13.15,4.85
35,00681R元大美債20反1,TWSE,15.6,4.83
36,2303聯電,TWSE,32.71,4.81
37,2762世界健身-KY,TWSE,87.42,4.78
38,8996高力,TWSE,43.97,4.78
39,2049上銀,TWSE,29.99,4.75
40,3167大量,TWSE,22.16,4.68
41,6944兆聯實業,TWSE,14.33,4.58
42,2351順德,TWSE,11.01,4.53
43,7610聯友金屬-創,TWSE,18.06,4.53
44,3209全科,TWSE,9.74,4.53
45,3010華立,TWSE,17.78,4.41
46,3025星通,TWSE,7.27,4.39
47,3017奇鋐,TWSE,56.49,4.27
48,2355敬鵬,TWSE,15.3,4.24
49,5907大洋-KY,TWSE,54.06,4.23
50,1708東鹼,TWSE,13.64,4.17
