20260320 大股東(>400張)持有張數成長率
" "," ","#","股票代號/名稱","類別","20260206","0211","0226","0306","0313","0320"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","1","8271宇瞻","半導體","-0.84","4.08","-0.17","0.27","13.56","-0.62"," ","30","16.28"," ","56.68","188.00","-20.50"," "
" "," ","2","3167大量","電機","-0.41","15.66","1.43","-0.11","-0.57","-2.22"," ","10","13.78"," ","62.69","345.00","-12.00"," "
" "," ","3","2489瑞軒","光電","-0.08","5.10","4.10","4.85","-0.87","0.11"," ","31","13.21"," ","54.56","38.65","-4.25"," "
" "," ","4","8028昇陽半導體","半導體","-1.25","-0.37","2.34","3.14","-0.62","8.08"," ","31","11.32"," ","44.80","185.00","-3.00"," "
" "," ","5","8112至上","電子通路","-2.32","0.76","0.94","-0.08","10.24","1.40"," ","30","10.94"," ","53.36","88.30","-3.40"," "
" "," ","6","6451訊芯-KY","半導體","5.33","-3.09","2.36","-1.17","0.46","6.06"," ","50","9.95"," ","75.10","274.50","2.50"," "
" "," ","7","6213聯茂","電子零組件","2.12","2.04","5.90","-2.41","0.75","1.48"," ","50","9.88"," ","62.81","143.50","-8.00"," "
" "," ","8","6672騰輝電子-KY","電子零組件","6.52","-3.84","3.65","0.09","-0.66","2.94"," ","31","8.70"," ","32.93","123.00","11.00"," "
" "," ","9","4967十銓","半導體","1.57","2.89","-1.56","-4.30","1.38","7.91"," ","50","7.89"," ","39.38","261.50","-9.50"," "
" "," ","10","4977眾達-KY","通信網路","0.53","-1.31","10.40","-5.12","0.74","2.48"," ","50","7.72"," ","24.75","200.50","8.50"," "
" "," ","11","1708東鹼","化學","0.76","0.30","0.50","0.59","0.34","4.59"," ","31","7.08"," ","50.62","44.75","-1.70"," "
" "," ","12","3715定穎投控","電子零組件","3.35","-5.80","-0.91","0.58","-0.53","10.29"," ","31","6.98"," ","52.89","178.50","-12.00"," "
" "," ","13","1711永光","化學","-0.50","-0.95","1.50","1.25","1.55","3.84"," ","50","6.69"," ","53.26","41.80","-1.45"," "
" "," ","14","8021尖點","其他電子","-0.01","-2.48","8.18","-2.49","0.47","2.97"," ","50","6.64"," ","49.14","264.50","4.50"," "
" "," ","15","3209全科","電子通路","0.57","1.67","0.41","0.04","0.69","3.18"," ","50","6.56"," ","43.05","42.80","-0.45"," "
" "," ","16","2436偉詮電","半導體","-0.55","2.88","1.18","0.65","-0.09","2.14"," ","31","6.21"," ","30.38","65.80","-0.30"," "
" "," ","17","3450聯鈞","半導體","1.42","-1.33","9.80","0.35","-3.60","-0.51"," ","31","6.13"," ","31.99","285.50","6.50"," "
" "," ","18","2399映泰","電腦週邊","-1.11","0.09","0.86","-0.99","0.80","6.44"," ","50","6.09"," ","31.34","37.20","3.35"," "
" "," ","19","3563牧德","光電","1.95","-0.29","0.61","3.70","-1.29","1.21"," ","31","5.89"," ","57.65","724.00","-11.00"," "
" "," ","20","2605新興","航運","-1.23","0.72","3.36","-0.73","-2.15","5.60"," ","31","5.57"," ","54.86","39.80","-3.55"," "
" "," ","21","4956光鋐","光電","1.02","-1.86","0.73","0.43","4.24","0.96"," ","30","5.52"," ","42.84","34.00","-0.90"," "
" "," ","22","2355敬鵬","電子零組件","0.48","-0.07","0.89","1.09","1.59","1.45"," ","30","5.43"," ","42.68","45.50","-1.55"," "
" "," ","23","1809中釉","玻璃","-0.22","-0.16","0.12","0.01","-0.15","5.74"," ","31","5.34"," ","56.01","32.45","-0.05"," "
" "," ","24","6531愛普*","半導體","-0.34","0.04","-0.27","0.70","1.85","3.23"," ","50","5.21"," ","65.92","553.00","2.00"," "
" "," ","25","2464盟立","其他電子","-0.76","1.89","-1.23","0.47","0.72","4.02"," ","50","5.11"," ","36.42","74.50","-2.50"," "
" "," ","26","3006晶豪科","半導體","-0.20","0.14","-2.35","-0.23","1.37","6.37"," ","50","5.10"," ","59.47","195.50","-21.50"," "
" "," ","27","6197佳必琪","電子零組件","-0.16","-0.15","0.68","0.37","1.36","2.94"," ","50","5.04"," ","50.27","195.50","-0.50"," "
" "," ","28","2369菱生","半導體","0.38","0.26","-0.98","0.40","0.24","4.64"," ","31","4.94"," ","36.25","35.75","3.25"," "
" "," ","29","1727中華化","化學","0.50","-0.38","4.53","1.50","4.65","-5.97"," ","30","4.83"," ","55.82","53.40","-1.30"," "
" "," ","30","6861睿生光電","生技醫療業","-0.15","-0.58","1.58","1.68","2.82","-0.53"," ","30","4.82"," ","62.26","156.00","-6.50"," "
" "," ","31","8261富鼎","半導體","0.45","-1.02","2.44","0.34","1.61","0.98"," ","30","4.80"," ","42.73","107.50","-5.00"," "
" "," ","32","3028增你強","電子通路","3.41","-0.79","2.37","-0.09","-0.96","0.78"," ","31","4.72"," ","45.16","54.20","-2.30"," "
" "," ","33","4722國精化","化學","0.00","-0.44","6.36","-0.70","-1.32","0.70"," ","31","4.60"," ","56.26","177.50","-9.00"," "
" "," ","34","2458義隆","半導體","0.46","0.39","-0.07","3.15","0.63","-0.06"," ","10","4.50"," ","61.00","136.00","-0.50"," "
" "," ","35","2426鼎元","光電","-0.49","0.08","0.41","-0.16","4.30","0.25"," ","30","4.39"," ","47.40","35.00","0.30"," "
" "," ","36","4919新唐","半導體","-0.06","0.37","1.22","-0.67","0.59","2.78"," ","50","4.23"," ","65.54","109.00","9.60"," "
" "," ","37","2515中工","營建","0.09","1.85","1.39","0.94","0.07","-0.15"," ","10","4.19"," ","61.75","14.25","0.10"," "
" "," ","38","2495普安","電腦週邊","0.30","0.52","0.39","0.33","0.32","2.28"," ","31","4.14"," ","52.88","39.30","-0.20"," "
" "," ","39","3645達邁","電子零組件","-1.52","-0.61","-0.63","-2.26","10.70","-1.55"," ","30","4.13"," ","48.59","78.40","-2.50"," "
" "," ","40","2337旺宏","半導體","-2.34","6.67","-3.67","0.03","-3.33","6.74"," ","31","4.10"," ","58.08","160.00","3.00"," "
" "," ","41","3583辛耘","半導體","-0.78","0.08","1.02","0.59","0.61","2.54"," ","50","4.06"," ","54.92","430.00","13.50"," "
" "," ","42","3033威健","電子通路","-0.64","1.06","1.04","0.21","-0.10","2.35"," ","31","3.92"," ","35.25","35.75","0.55"," "
" "," ","43","2243宏旭-KY","汽車","-0.19","0.00","0.66","0.87","1.43","1.09"," ","30","3.86"," ","49.37","19.50","-0.20"," "
" "," ","44","8464億豐","居家","0.18","0.51","0.09","2.78","-0.35","0.47"," ","31","3.68"," ","87.99","384.00","0.50"," "
" "," ","45","2461光群雷","其他電子","0.07","0.16","0.01","-0.14","2.24","1.26"," ","30","3.60"," ","43.27","16.75","0.15"," "
" "," ","46","3026禾伸堂","電子零組件","0.53","-0.27","2.84","0.21","-0.39","0.63"," ","31","3.55"," ","41.67","119.00","-2.50"," "
" "," ","47","2481強茂","半導體","-0.77","-1.83","0.71","-0.24","2.44","3.18"," ","50","3.49"," ","64.22","94.80","-6.20"," "
" "," ","48","3543州巧","光電","-0.91","-0.52","5.09","0.35","-0.22","-0.32"," ","10","3.47"," ","58.76","50.90","-1.00"," "
" "," ","49","4916事欣科","電腦週邊","-2.90","-0.94","4.10","-2.20","0.98","4.33"," ","50","3.37"," ","32.75","61.50","-2.40"," "
" "," ","50","4739康普","化學","-1.13","-0.01","1.05","0.48","0.09","2.87"," ","31","3.35"," ","46.48","82.80","-0.40"," "
" "," ","51","4564元翎","電機","0.31","-0.19","0.85","1.02","0.54","0.77"," ","31","3.30"," ","42.25","20.20","0.25"," "
