"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"1","2887","台新新光金","23.8","-0.2","-0.83","05/08","-945","-13,473","-18,424","-41,864","-43,682","-4,451","+117,195","+175,640","-878,616","+19,616"
"2","2317","鴻海","250","-3.5","-1.38","05/08","-1,322","-12,200","-24,992","-31,903","-35,876","-36,914","+27,499","+70,545","+22,708","+64,561"
"3","2356","英業達","49.55","-0.4","-0.8","05/08","-2,099","-15,022","-17,357","-25,217","-45,963","-63,270","-66,051","-7,410","-86,322","-30,400"
"4","2891","中信金","56.4","+0.2","+0.36","05/08","+5,573","-3,000","-7,622","-24,765","-24,300","+45,061","+233,446","+94,081","+192,099","+179,582"
"5","2882","國泰金","80","+1","+1.27","05/08","+3,227","-9,223","-12,988","-24,702","-7,366","+66,163","+128,811","-101,765","+206,444","+64,553"
"6","2303","聯電","91.3","-5.2","-5.39","05/08","+1,685","-12,618","-18,790","-21,185","-40,019","+26,979","+126,906","-308,514","-385,889","-23,308"
"7","0050","元大台灣50","97","-0.7","-0.72","05/08","+716","+8,656","-8,287","-20,025","-20,981","-39,943","-54,603","-126,095","+67,417","-22,220"
"8","2881","富邦金","96.7","+2.2","+2.33","05/08","-920","-177","-2,140","-19,863","-10,013","+29,036","+120,844","+97,193","+240,862","+95,760"
"9","00981A","主動統一台股增長","28.91","-0.67","-2.27","05/08","+16,740","+18,488","+5,694","-19,315","-72,357","-7,976","+84,252","+154,387","","+145,335"
"10","2301","光寶科","204","+0.5","+0.25","05/08","-976","-9,266","-11,221","-19,059","-12,964","-9,212","+33,300","-36,844","+21,682","+37,397"
"11","3231","緯創","146.5","+0.5","+0.34","05/08","-3,158","-3,287","-3,205","-13,536","-21,298","-64,290","-65,922","+3,728","-63,040","-8,706"
"12","2449","京元電子","311","-28","-8.26","05/08","+2,117","+651","+311","-13,432","-14,260","-7,086","+42,699","+52,422","+31,805","+40,434"
"13","2408","南亞科","274","-13","-4.53","05/08","-2,209","-2,034","-8,929","-8,092","-12,446","-2,867","+21,615","+33,358","-46,112","+23,639"
"14","3481","群創","29.4","-0.35","-1.18","05/08","-5,837","-7,942","-8,018","-7,642","-7,115","-9,201","-8,498","+531,221","+662,335","+383,485"
"15","00937B","群益ESG投等債20+","14.77","-0.05","-0.34","05/08","+200","-6,907","-6,914","-6,914","-12,212","-16,798","+5,848","-40,097","-77,042","-29,048"
"16","00712","復華富時不動產","9.03","-0.03","-0.33","05/08","-3,484","-6,034","-6,034","-6,034","-7,870","-38,656","+3,123","-34,315","-32,872","+284"
"17","2027","大成鋼","39.6","+0.5","+1.28","05/08","-2,530","-3,383","-2,901","-5,887","-3,800","+2,693","+60,106","+116,288","+120,885","+82,807"
"18","00900","富邦特選高股息30","16.92","+0.25","+1.5","05/08","-5,230","-7,885","-7,510","-5,650","-3,666","-924","+21,416","-30,765","+10,506","+692"
"19","2014","中鴻","17.85","-0.35","-1.92","05/08","-3,954","-4,325","-5,058","-5,561","-8,784","-16,476","-19,539","-13,485","+3,264","-8,174"
"20","2313","華通","253.5","+4","+1.6","05/08","-86","-3,060","-2,877","-4,977","-5,651","-2,246","+7,511","+9,139","-22,650","-194"
"21","00679B","元大美債20年","26.71","-0.1","-0.37","05/08","+162","+802","-1,578","-4,673","+1,938","+10,457","-32,438","-48,153","-17,089","-13,506"
"22","2886","兆豐金","40.2","+0.55","+1.39","05/08","+191","-602","-586","-4,033","-1,770","-3,139","-4,635","+16,690","-94,541","+21,562"
"23","1326","台化","46.95","-2.5","-5.06","05/08","+1,851","+2,013","-2,818","-3,408","-24,699","-78,554","-30,245","-100,090","-92,883","-66,763"
"24","1301","台塑","48.55","-1","-2.02","05/08","+6,236","+4,921","+5,586","-3,387","-18,343","-112,332","-74,149","-122,074","-149,672","-113,087"
"25","6505","台塑化","53","+0.7","+1.34","05/08","+204","+714","-635","-3,283","-2,038","-7,046","+11,347","+5,496","-13,453","+6,714"
"26","3030","德律","389.5","-28","-6.71","05/08","-560","-1,339","-1,942","-3,158","-2,825","+1,294","+309","-3,572","+466","+1,674"
"27","3715","定穎投控","180.5","-8.5","-4.5","05/08","-264","-3,067","-3,054","-2,877","-1,092","+2,146","+2,469","+6,737","-1,594","+1,332"
"28","0052","富邦科技","57.1","-0.45","-0.78","05/08","-3,301","-3,301","-3,301","-2,633","-4,265","-11,575","-11,821","+23,617","+23,236","+12,572"
"29","1711","永光","57.5","-4.5","-7.26","05/08","-875","-1,641","-1,774","-2,615","-5,258","+1,086","-3,072","-5,554","+19,824","-901"
