"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"00740B","富邦全球投等債","38.48","-0.16","-0.41","05/08","+31","+44,551","47.4","2.18","-1","-25","-1.26","0","-30","-53,762","-57.7","-2.63","-1","-299","-15.1","-0.01"
"00763U","期街口道瓊銅","33.15","+0.04","+0.12","05/08","+30","+4,245","13.1","7.25","0","0","0","0","+3","+1,399","40.3","2.39","+3","+1,752","50.5","2.99"
"00717","富邦美國特別股","15.14","+0.06","+0.4","05/08","+23","+6,118","82.8","4.38","0","0","0","0","+2","+42","4.02","0.03","+22","+6,120","83.6","4.38"
"009813","貝萊德標普卓越50","11.09","+0.04","+0.36","05/08","+23","+33,849","20.9","7.24","0","0","0","0","+23","+90,879","56.2","19.4","+23","+124,728","77.1","26.7"
"2395","研華","476.5","+32.5","+7.32","05/08","+23","+24,401","26.3","2.82","+4","+126","0.39","0.01","-1","-17","-0.16","0","+19","+20,039","24.3","2.32"
"4572","駐龍","148","0","0","05/08","+23","+253","27.3","0.63","0","0","0","0","-1","-2","-5.34","0","+23","+256","27.6","0.64"
"00900","富邦特選高股息30","16.92","+0.25","+1.5","05/08","+22","+137,986","33","7.29","0","0","0","0","+25","+176,754","39.9","9.34","+25","+322,265","72.7","17"
"6414","樺漢","346.5","-5","-1.42","05/08","+20","+14,319","38.5","10.4","-18","-1,700","-5","-1.24","-5","-314","-2.69","-0.23","+20","+12,096","32.5","8.79"
"00858","永豐美國500大","34.86","-0.14","-0.4","05/08","+19","+4,105","20.3","3.25","0","0","0","0","+3","+1,508","56.7","1.19","+3","+1,703","64.1","1.35"
"00773B","中信優先金融債","35.73","-0.12","-0.33","05/08","+14","+6,017","39.1","0.23","0","0","0","0","-2","-301","-18.5","-0.01","+5","+1,441","27.2","0.06"
"00857B","永豐20年美公債","23.13","-0.07","-0.3","05/08","+14","+19,368","56.2","3.18","0","0","0","0","-1","-624","-22.4","-0.1","+19","+20,067","48.1","3.3"
"00931B","統一美債20年","13.38","-0.04","-0.3","05/08","+14","+27,133","48","1.22","0","0","0","0","+3","+2,338","20.7","0.11","+3","+6,279","55.7","0.28"
"00950B","凱基A級公司債","14.01","-0.04","-0.28","05/08","+14","+29,517","33.1","0.76","0","0","0","0","-17","-43,904","-43.3","-1.13","-1","-1,645","-31","-0.04"
"00958B","永豐ESG銀行債15+","9.24","-0.02","-0.22","05/08","+14","+5,142","38.4","3.42","0","0","0","0","+3","+484","22.1","0.32","+3","+791","36.1","0.53"
"5864","致和證","34.9","+0.6","+1.75","05/08","+14","+14,661","21.6","3.23","0","0","0","0","0","0","0","0","+14","+14,661","21.6","3.23"
"6015","宏遠證","16.15","+0.1","+0.62","05/08","+14","+12,321","26.3","3.13","0","0","0","0","0","0","0","0","+14","+12,321","26.3","3.13"
"3528","安馳","91","+2.5","+2.82","05/08","+13","+1,499","18.3","2.25","0","0","0","0","0","0","0","0","+13","+1,487","18.2","2.23"
"3533","嘉澤","2700","-150","-5.26","05/08","+12","+2,973","13.6","2.64","+3","+429","6.78","0.38","-2","-90","-2.24","-0.08","+4","+1,864","21.9","1.66"
"0056","元大高股息","44.85","+0.13","+0.29","05/08","+11","+274,568","26.3","1.96","0","0","0","0","+10","+211,789","24.5","1.51","+10","+453,285","52.3","3.24"
"00696B","富邦美債20年","28.82","-0.1","-0.35","05/08","+11","+16,057","49.5","2.3","0","0","0","0","-4","-5,100","-38.3","-0.73","+14","+5,279","11.4","0.76"
"00981D","主動中信非投等債","10.33","0","0","05/08","+11","+17,976","20.5","2.77","0","0","0","0","+1","+723","14.7","0.11","+13","+23,750","22.6","3.66"
