"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"00696B","富邦美債20年","28.82","-0.1","-0.35","26W19","05/08","+51","+616,210","43.3","88.3","0","0","0","0","-49","-328,502","-23.7","-47.1","+17","+272,603","46.6","39"
"00717","富邦美國特別股","15.14","+0.06","+0.4","26W19","05/08","+45","+19,170","56.2","13.7","0","0","0","0","-2","-57","-1.75","-0.04","+10","+8,499","73.9","6.09"
"00857B","永豐20年美公債","23.13","-0.07","-0.3","26W19","05/08","+26","+139,944","42.2","23","0","0","0","0","+1","+133","1.02","0.02","+26","+139,177","41.9","22.9"
"2637","慧洋-KY","74.6","-2.2","-2.86","26W19","05/08","+20","+72,671","23.9","9.74","-2","-562","-2.58","-0.08","+2","+147","0.68","0.02","+12","+29,479","18.9","3.95"
"00733","富邦臺灣中小","65.05","-0.75","-1.14","26W19","05/08","+19","+24,795","16.3","32","0","0","0","0","+12","+24,391","24.3","31.5","+34","+81,619","36.4","105"
"00893","國泰智能電動車","43.6","-0.29","-0.66","26W19","05/08","+19","+33,158","22.8","8.79","0","0","0","0","+4","+6,744","20.4","1.79","+19","+46,692","32.2","12.4"
"3209","全科","55","+0.3","+0.55","26W19","05/08","+18","+31,537","14.1","13.4","-2","-73","-0.19","-0.03","-3","-60","-0.08","-0.03","+1","+68","0.41","0.03"
"00931B","統一美債20年","13.38","-0.04","-0.3","26W19","05/08","+16","+234,693","55.6","10.6","0","0","0","0","+1","+2,568","12.2","0.12","+16","+271,832","64.4","12.2"
"6234","高僑","57.8","-4.2","-6.77","26W19","05/08","+16","+5,731","2.98","5.71","0","0","0","0","-1","-156","-0.88","-0.16","-1","-14","-0.08","-0.01"
"1463","強盛新","18.25","-0.35","-1.88","26W19","05/08","+14","+3,339","46","1.93","0","0","0","0","0","0","0","0","+14","+3,338","46","1.93"
"006205","富邦上証","41.23","-0.2","-0.48","26W19","05/08","+13","+3,887","10.1","3.81","0","0","0","0","+1","+283","13.3","0.28","+13","+6,570","17","6.44"
"00683L","期元大美元指正2","20.77","+0.12","+0.58","26W19","05/08","+13","+2,039","12.6","17.8","0","0","0","0","-2","-222","-9.76","-1.95","+5","+430","13.9","3.76"
"00898","國泰基因免疫革命","8.1","-0.09","-1.1","26W19","05/08","+13","+18,087","47.9","11.2","0","0","0","0","+1","+311","11.8","0.19","+13","+18,062","47.8","11.2"
"00969B","元大零息超長美債","8.28","-0.04","-0.48","26W19","05/08","+13","+21,757","27","11.1","0","0","0","0","+3","+6,087","52.8","3.12","+3","+7,021","60.9","3.6"
"910322","康師傅-DR","25","+0.65","+2.67","26W19","05/08","+13","+798","66.1","3.77","0","0","0","0","0","0","0","0","+13","+798","66.1","3.77"
"00694B","富邦美債1-3","41.34","+0.03","+0.07","26W19","05/08","+12","+8,480","31.4","4.89","0","0","0","0","-14","-10,008","-31.9","-5.77","-1","-528","-15.7","-0.3"
"00710B","復華彭博非投等債","18.84","0","0","26W19","05/08","+11","+1,582","14.6","0.86","0","0","0","0","+1","+56","5.49","0.03","+18","+22,356","59","12.2"
"00746B","富邦A級公司債","35.28","-0.17","-0.48","26W19","05/08","+11","+30,288","52.3","1.23","0","0","0","0","-11","-29,156","-50.4","-1.18","+2","+14","0.11","0"
"2393","億光","73.7","+1.2","+1.66","26W19","05/08","+11","+26,986","14.4","6.09","+1","+2,291","12.5","0.52","-2","-50","-0.17","-0.01","+1","+2,904","15.9","0.65"
"6109","亞元","12.55","+0.05","+0.4","26W19","05/08","+11","+1,080","5.08","1.23","0","0","0","0","-2","-21","-0.42","-0.02","+8","+1,011","5.81","1.15"
"00763U","期街口道瓊銅","33.15","+0.04","+0.12","26W19","05/08","+10","+6,792","11.5","11.6","0","0","0","0","+6","+12,845","43.1","21.9","+10","+22,200","37.5","37.9"
"00902","中信電池及儲能","17.26","-0.2","-1.15","26W19","05/08","+9","+34,552","27.5","14.1","0","0","0","0","-1","-450","-4.73","-0.18","+9","+64,822","51.5","26.5"
"009802","富邦旗艦50","17.97","+0.07","+0.39","26W19","05/08","+9","+16,914","6.43","3.23","0","0","0","0","-1","-15,029","-23.1","-2.87","-1","-13,605","-20.9","-2.6"
"8222","寶一","37.95","+0.7","+1.88","26W19","05/08","+9","+1,733","11.1","2.53","0","0","0","0","+3","+10","0.18","0.01","+9","+1,751","11.2","2.55"
"9933","中鼎","36.8","-0.5","-1.34","26W19","05/08","+9","+53,509","16.6","5.94","-5","-155","-0.11","-0.02","-4","-386","-0.33","-0.04","+9","+53,224","16.5","5.91"
"00686R","群益臺灣加權反1","1.12","+0.03","+2.75","26W19","05/08","+8","+507","0.2","0.28","0","0","0","0","-4","-15,867","-12.9","-8.9","-4","-15,765","-12.8","-8.84"
"00711B","復華彭博新興債","16.07","-0.01","-0.06","26W19","05/08","+8","+134,335","96.3","15.4","0","0","0","0","+1","+46","6.38","0.01","+1","+77","10.6","0.01"
"00897","富邦基因免疫生技","9.75","-0.24","-2.4","26W19","05/08","+8","+9,273","29.6","6.04","0","0","0","0","+1","+768","14.3","0.5","+21","+29,153","33.6","19"
"00901","永豐智能車供應鏈","41.4","-0.3","-0.72","26W19","05/08","+8","+3,354","18.7","5.06","0","0","0","0","-3","-1,153","-11.7","-1.74","+8","+2,830","15.8","4.27"
"00936","台新永續高息中小","19.66","+0.01","+0.05","26W19","05/08","+8","+43,490","22.5","15.7","0","0","0","0","+65","+610,119","51.3","221","+65","+777,735","65.5","281"
"00943","兆豐電子高息等權","18.86","+0.08","+0.43","26W19","05/08","+8","+10,044","55.2","23.4","0","0","0","0","-4","-2,421","-29.2","-5.64","+9","+8,968","47.6","20.9"
"00962","台新AI優息動能","13.58","-0.03","-0.22","26W19","05/08","+8","+2,770","11.4","5.66","0","0","0","0","-1","-54","-1.06","-0.11","+9","+3,155","11.8","6.45"
"009817","國泰日本不動產","9.25","-0.08","-0.86","26W19","05/08","+8","+29,209","20.3","9.85","0","0","0","0","+5","+9,279","14.1","3.13","+6","+26,340","31.2","8.89"
"00982B","FT投資級債20+","9.8","-0.06","-0.61","26W19","05/08","+8","+1,034","28.2","3.46","0","0","0","0","-3","-493","-27.7","-1.65","+1","+192","29.8","0.64"
"00984B","大華優利美A債15","16.25","-0.05","-0.31","26W19","05/08","+8","+60,585","37.9","30.6","0","0","0","0","-2","-4,107","-13.6","-2.08","+1","+9,187","52.8","4.64"
"1512","瑞利","7.35","+0.07","+0.96","26W19","05/08","+8","+330","8.07","0.34","0","0","0","0","+1","+17","3.83","0.02","+8","+355","8.7","0.36"
"2379","瑞昱","592","+53","+9.83","26W19","05/08","+8","+33,966","24.2","6.59","-4","-5,564","-6.97","-1.08","+1","+19","0.08","0","+8","+18,969","13.5","3.68"
"2605","新興","33.05","-1.35","-3.92","26W19","05/08","+8","+52,492","6.47","8.97","0","0","0","0","-1","-294","-0.96","-0.05","+1","+28","0.09","0"
"3702","大聯大","113.5","+10","+9.66","26W19","05/08","+8","+183,645","25.7","10.9","-5","-60,608","-16.7","-3.6","-4","-8,449","-2.68","-0.5","+2","+4,095","4.19","0.24"
