"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"601","3164","景岳","16.3","-0.2","-1.21","26W19","05/08","4.44","-68","-0.15","4.01","-74","-0.18","3.41","-1,010","-2.88"
"602","3265","台星科","172","-8","-4.44","26W19","05/08","8.22","+455","+0.56","8.09","+1,900","+2.41","7.75","+1,188","+1.56"
"603","9912","偉聯","12.55","0","0","26W19","05/08","3.16","+104","+0.33","3.03","+104","+0.34","3.03","+104","+0.34"
"604","1233","天仁","27.4","-0.3","-1.08","26W19","05/08","6.32","+91","+0.14","6.18","+91","+0.15","6.08","+91","+0.15"
"605","2542","興富發","41.9","-1.1","-2.56","26W19","05/08","129","+2,824","+0.22","126","+502","+0.04","124","+2,367","+0.19"
"606","2538","基泰","10","-0.1","-0.99","26W19","05/08","32.2","+342","+0.11","30.5","-389","-0.13","29.8","-389","-0.13"
"607","1472","三洋實業","89.1","-1","-1.11","26W19","05/08","3.89","0","0","3.73","0","0","3.63","0","0"
"608","1709","和益","20","-0.2","-0.99","26W19","05/08","27.7","+703","+0.25","26.1","-45.3","-0.02","24.9","-45.3","-0.02"
"609","4183","福永生技","13.75","-0.05","-0.36","26W19","05/08","1.23","0","0","1.1","0","0","1.01","0","0"
"610","8935","邦泰","23.8","+0.05","+0.21","26W19","05/08","5.37","+702","+1.33","5.17","+45","+0.09","4.73","0","0"
"611","7768","頌勝科技","399","-7.5","-1.85","26W19","05/08","4.27","-376","-0.87","4.07","-1,135","-2.71","3.78","-188","-0.5"
"612","6965","中傑-KY","81.7","0","0","26W19","05/08","14.3","+31","+0.02","14.1","+31","+0.02","14.1","+31","+0.02"
"613","6534","正瀚-創","88.7","-2","-2.21","26W19","05/08","8.05","+140","+0.17","7.78","+805","+1.05","7.61","-4","-0.01"
"614","2911","麗嬰房","8.51","-0.29","-3.3","26W19","05/08","4.49","+105","+0.23","4.42","+826","+1.9","4.26","+3","+0.01"
"615","8255","朋程","163","-12","-6.86","26W19","05/08","5.29","-224","-0.42","5.16","-253","-0.49","5.07","-253","-0.5"
"616","1536","和大","48.65","-1.85","-3.66","26W19","05/08","8.95","-525","-0.58","8.53","-554","-0.65","8.27","-554","-0.67"
"617","2646","星宇航空","20.05","-0.45","-2.2","26W19","05/08","192","+1,625","+0.08","191","+882","+0.05","189","+1,676","+0.09"
"618","2201","裕隆","27.4","-1.3","-4.53","26W19","05/08","65.8","+487","+0.07","64.8","+6,280","+0.98","63.3","+5,503","+0.88"
"619","6469","大樹","74","-1.7","-2.25","26W19","05/08","6.75","-149","-0.22","6.49","-136","-0.21","6.4","-136","-0.21"
"620","6461","益得","15.8","-0.4","-2.47","26W19","05/08","10.4","-18","-0.02","9.94","-18","-0.02","9.59","-18","-0.02"
"621","1229","聯華","40.95","-1.05","-2.5","26W19","05/08","115","+518","+0.05","114","+347","+0.03","112","-469","-0.04"
"622","6949","沛爾生醫-創","677","+19","+2.89","26W19","05/08","4.55","+205","+0.45","4.35","+207","+0.48","4.07","+1,157","+2.92"
"623","6508","惠光","23.45","-0.6","-2.49","26W19","05/08","5.19","+56","+0.11","5.12","+51","+0.1","5.12","+51","+0.1"
"624","9935","慶豐富","19","-0.3","-1.55","26W19","05/08","10.1","+159","+0.16","9.35","+149","+0.16","8.93","+149","+0.17"
"625","6464","台數科","78.1","+0.1","+0.13","26W19","05/08","10.6","+100","+0.09","10.2","+97","+0.09","9.95","+97","+0.1"
"626","006207","復華滬深","32.53","-0.9","-2.69","26W19","05/08","0.33","+1,059","+46.3","0.2","+373","+22.9","0.1","-604","-37.2"
