"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"1","00981A","主動統一台股增長","28.91","-0.67","-2.27","535,264","05/08","-13,576","-25,973","-60,422","-10,141","-28,015","+111,790","+155,804","+143,156","","+116,353"
"2","2206","三陽工業","58","+0.1","+0.17","1,257","05/08","-54","-137","-207","-10,110","-14,920","-16,725","-17,601","-18,264","-14,711","-18,124"
"3","2317","鴻海","250","-3.5","-1.38","102,375","05/08","-3,870","-6,389","-9,792","-8,401","-10,049","-13,365","-17,224","-10,640","-12,830","-12,984"
"4","6147","頎邦","198","+5.5","+2.86","84,760","05/08","-4,257","-542","-4,104","-7,564","+4,652","+9,906","+43,554","+42,274","+44,157","+43,304"
"5","2408","南亞科","274","-13","-4.53","130,863","05/08","-12,257","-13,012","-4,031","-7,231","-11,333","-6,465","-40,802","-29,436","+66,806","-48,106"
"6","00992A","主動群益科技創新","17.66","-0.38","-2.11","95,992","05/08","-346","-3,384","-2,989","-7,186","-6,751","+22,387","+49,077","","","+47,283"
"7","00680L","元大美債20正2","6.93","-0.06","-0.86","15,524","05/08","-3,059","-5,076","-5,717","-6,433","-5,069","-10,395","-94,009","-172,130","-190,399","-146,738"
"8","2892","第一金","29.5","+0.35","+1.2","39,860","05/08","-2,586","-5,765","-5,889","-6,265","+3,874","+4,292","+5,203","+11,673","+7,357","+4,090"
"9","1802","台玻","68.9","-1.9","-2.68","84,843","05/08","-2,016","-3,685","-7,918","-5,365","-3,970","+3,156","+6,606","+15,079","+42,892","-672"
"10","00753L","中信中國50正2","10.87","-0.1","-0.91","8,912","05/08","-139","-2,962","-4,017","-5,271","+1,555","+1,182","+1,719","+1,615","-28,031","-1,670"
"11","2337","旺宏","153","-11.5","-6.99","169,291","05/08","-17,023","-22,595","-15,365","-4,961","-15,925","-11,370","-13,813","+47,414","+95,072","+23,658"
"12","5521","工信","11.55","-0.45","-3.75","12,173","05/08","-5,399","-5,046","-5,131","-4,811","-3,503","-2,964","-12,528","+7,284","+3,510","-1,669"
"13","2312","金寶","27.95","-0.6","-2.1","44,667","05/08","-801","-631","-2,021","-4,183","+4,967","+12,320","+12,458","+4,734","+15,313","+1,692"
"14","00632R","元大台灣50反1","11.19","+0.1","+0.9","103,093","05/08","-4,583","+51","-3,446","-4,132","+19,488","+30,284","+32,596","+70,245","+168,590","+69,146"
"15","8028","昇陽半導體","226","-3","-1.31","13,241","05/08","+29","-2,419","-3,193","-3,840","-2,487","-3,156","+1,013","+542","+2,210","-143"
"16","8064","東捷","103.5","-4.5","-4.17","4,151","05/08","-386","+101","-2,852","-3,798","-1,144","+1,959","+4,247","+2,880","+3,844","+2,336"
"17","3714","富采","71.1","-0.3","-0.42","66,255","05/08","-94","-6,666","-6,273","-3,724","-3,990","+14,491","+18,247","+19,656","+23,515","+19,553"
"18","2474","可成","205","-1","-0.49","5,464","05/08","-588","-760","-988","-2,859","-1,394","+4,550","+4,818","+4,148","+4,548","+3,955"
"19","6456","GIS-KY","65.5","-5.4","-7.62","11,820","05/08","-207","-1,064","-2,754","-2,824","-5,571","+7,859","+10,425","+11,129","+10,952","+10,511"
"20","2605","新興","33.05","-1.35","-3.92","6,968","05/08","+1","-2,951","-2,866","-2,798","-1,861","-1,432","+2,293","+1,097","+686","+7"
"21","2886","兆豐金","40.2","+0.55","+1.39","21,349","05/08","-29","-2,629","-2,661","-2,662","-148","-208","-305","-230","-1,262","-234"
"22","1409","新纖","16.8","0","0","5,209","05/08","-87","-1,175","-1,557","-2,638","-2,809","+284","-637","-5,236","+5,833","-2,120"
"23","6770","力積電","61.4","-2.5","-3.91","442,180","05/08","-16,730","-16,262","-4,075","-2,602","-5,323","-386","+8,594","+41,372","+89,822","+25,894"
"24","2883","凱基金","22.9","+0.45","+2","60,959","05/08","-834","-860","-1,941","-2,582","-6,154","-3,535","-6,929","-18,962","-26,816","-8,196"
"25","2441","超豐","90.5","-2.9","-3.1","7,728","05/08","-29","-185","-310","-2,308","-7,832","-16,679","-5,135","+7,332","+9,027","-9,872"
