"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"1","3481","群創","市","05/11","","32.3","+2.9","+9.86","418,000","13,384","32.3","32","32.3","31.05","4.25","1077","1.17","","","","",""
"2","2887","台新新光金","市","05/11","","23.45","-0.35","-1.47","98,202","2,315","23.45","23.85","23.9","23.45","1.89","12.3","1.27","","","","",""
"3","2317","鴻海","市","05/11","","252","+2","+0.8","63,064","15,968","252","256.5","258","251","2.8","18.5","1.98","","","","",""
"4","2301","光寶科","市","05/11","","224","+20","+9.8","44,159","9,733","224","210.5","224","208","7.84","33","5.77","","","","",""
"5","2881","富邦金","市","05/11","","95.5","-1.2","-1.24","22,798","2,192","95.5","96.7","96.7","95.5","1.24","11.4","1.52","","","","",""
"6","2882","國泰金","市","05/11","","78.4","-1.6","-2","21,997","1,732","78.4","79.6","79.6","78.4","1.5","11.1","1.37","","","","",""
"7","2356","英業達","市","05/11","","50.2","+0.65","+1.31","30,489","1,520","50.2","50.3","50.5","49.1","2.83","20.7","2.36","","","","",""
"8","00981A","主動統一台股增長","市","05/11","","29.69","+0.78","+2.7","356,650","10,481","29.69","28.9","29.73","28.89","2.91","","0.996","","","","",""
"9","2027","大成鋼","市","05/11","","39.95","+0.35","+0.88","30,077","1,204","39.95","40","40.45","39.5","2.4","13.9","1.25","","","","",""
"10","2303","聯電","市","05/11","","95","+3.7","+4.05","178,723","16,921","95","94.7","96.3","92","4.71","23.8","2.94","","","","",""
"11","2408","南亞科","市","05/11","","301","+27","+9.85","108,987","32,695","301","300.5","301","296","1.82","26.9","4.84","","","","",""
"12","2891","中信金","市","05/11","","55.3","-1.1","-1.95","50,449","2,785","55.3","56","56","54.7","2.3","13.6","2.15","","","","",""
"13","3231","緯創","市","05/11","","139","-7.5","-5.12","114,217","15,990","139","147","147","138","6.14","13.8","2.32","","","","",""
"14","00900","富邦特選高股息30","市","05/11","","17.26","+0.34","+2.01","20,779","356","17.26","16.93","17.27","16.91","2.13","","0.9977","","","","",""
"15","2014","中鴻","市","05/11","","18.1","+0.25","+1.4","9,083","167","18.1","18","18.7","17.95","4.2","","2.17","","","","",""
"16","00712","復華富時不動產","市","05/11","","9.02","-0.01","-0.11","19,181","173","9.02","9.03","9.03","9","0.33","","0.9945","","","","",""
"17","00937B","群益ESG投等債20+","櫃","05/11","","14.78","+0.01","+0.07","68,392","1,011","14.77","14.77","14.8","14.77","0.2","","0.9957","","","","",""
"18","5351","鈺創","櫃","05/11","","80.1","+5","+6.66","29,919","2,392","75.1","78.1","81.5","77.5","5.33","","6.67","","","","",""
"19","2886","兆豐金","市","05/11","","40.1","-0.1","-0.25","20,511","825","40.1","40.2","40.5","40","1.24","17","1.52","","","","",""
"20","00878","國泰永續高股息","市","05/11","","28.28","+0.46","+1.65","97,392","2,735","28.28","27.85","28.29","27.72","2.05","","0.9979","","","","",""
"21","2382","廣達","市","05/11","","343.5","+3","+0.88","14,508","5,011","343.5","350","350","341.5","2.5","17.7","5.44","","","","",""
"22","0050","元大台灣50","市","05/11","","96.9","-0.1","-0.1","96,606","9,362","96.9","96.65","97.15","96.5","0.67","","1.0045","","","","",""
"23","6282","康舒","市","05/11","","55.4","+5","+9.92","90,353","4,941","55.4","52","55.4","51.6","7.54","308","2.1","","","","",""
"24","6505","台塑化","市","05/11","","54","+1","+1.89","9,350","503","54","53.5","54.4","53.3","2.08","19.4","1.37","","","","",""
"25","2312","金寶","市","05/11","","29.9","+1.95","+6.98","88,275","2,613","29.9","28.6","30.4","28.4","7.16","28.5","1.98","","","","",""
"26","6116","彩晶","市","05/11","","9.71","+0.51","+5.54","89,843","877","9.71","9.55","10.1","9.4","7.61","","0.82","","","","",""
"27","2313","華通","市","05/11","","242","-11.5","-4.54","81,478","20,136","242","248","254.5","242","4.93","42.8","6.16","","","","",""
"28","3030","德律","市","05/11","","397","+7.5","+1.93","1,707","670","397","397.5","398","386","3.08","34.4","8.96","","","","",""
"29","3715","定穎投控","市","05/11","","181.5","+1","+0.55","8,847","1,595","181.5","182","182","177","2.77","67.2","4.76","","","","",""
"30","0052","富邦科技","市","05/11","","56.95","-0.15","-0.26","30,943","1,762","56.95","56.75","57.1","56.5","1.05","","1.0048","","","","",""
"31","2426","鼎元","市","05/11","","66.7","-0.8","-1.19","3,973","259","66.7","62.1","68","62.1","8.74","","5.33","","","","",""
"32","00679B","元大美債20年","櫃","05/11","","26.7","-0.01","-0.04","31,453","840","26.71","26.69","26.75","26.68","0.26","","0.9961","","","","",""
"33","2455","全新","市","05/11","","360","+23","+6.82","3,315","1,198","360","360","369.5","347","6.68","113","18.15","","","","",""
"34","2369","菱生","市","05/11","","31","+0.3","+0.98","11,030","344","31","30.9","31.95","30.7","4.07","","2.4","","","","",""
"35","1326","台化","市","05/11","","47.8","+0.85","+1.81","23,049","1,103","47.8","46.3","48.75","46.3","5.22","319","0.75","","","","",""
"36","2606","裕民","市","05/11","","65.3","+0.3","+0.46","4,072","265","65.3","65.1","65.7","64.4","2","12.5","1.36","","","","",""
"37","1301","台塑","市","05/11","","49.25","+0.7","+1.44","18,754","929","49.25","48","51","47.95","6.28","","0.86","","","","",""
"38","00919","群益台灣精選高息","市","05/11","","25.75","+0.28","+1.1","132,363","3,397","25.75","25.56","25.77","25.51","1.02","","0.9961","","","","",""
"39","6005","群益證","市","05/11","","32.25","+1.7","+5.56","25,925","831","32.25","30.6","32.6","30.6","6.55","12.2","1.54","","","","",""
"40","6197","佳必琪","市","05/11","","229","+10.5","+4.81","3,579","817","229","227.5","234","220.5","6.18","22.3","6.12","","","","",""
"41","00687B","國泰20年美債","櫃","05/11","","27.76","-0.02","-0.07","25,129","698","27.78","27.75","27.8","27.73","0.25","","0.9974","","","","",""
"42","3033","威健","市","05/11","","44","+0.15","+0.34","16,761","742","44","44.6","45.5","43.55","4.45","16.6","1.99","","","","",""
"43","2449","京元電子","市","05/11","","299.5","-11.5","-3.7","63,414","18,989","299.5","316","316","294","7.07","33.2","7.26","","","","",""
"44","2615","萬海","市","05/11","","78.5","+2","+2.61","8,833","691","78.5","77.9","78.7","77.4","1.7","7","0.8","","","","",""
"45","009815","大華美國MAG7+","櫃","05/11","","11.25","+0.18","+1.63","8,627","96.9","11.07","11.17","11.27","11.17","0.9","","0.9965","","","","",""
"46","2401","凌陽","市","05/11","","25.65","+0.35","+1.38","8,348","215","25.65","25.55","26.25","25.25","3.95","","1.84","","","","",""
"47","00680L","元大美債20正2","市","05/11","","6.94","+0.01","+0.14","21,518","149","6.94","6.93","6.95","6.92","0.43","","0.997","","","","",""
"48","2646","星宇航空","市","05/11","","20.5","-0.1","-0.49","4,829","98.6","20.5","20.6","20.65","20.35","1.46","228","1.96","","","","",""
