"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"1","00717","富邦美國特別股","15.15","+0.01","+0.07","05/11","+88","+89.6","+89","+85.1","+86.6","+82.5","+71.8","+64.2","+54","+41.6","","+65"
"2","00746B","富邦A級公司債","35.35","+0.07","+0.2","05/11","+86.2","+80.6","+77.5","+79","+72","+63.4","+52.4","+58","+57.3","+44.2","","+55.3"
"3","9937","全國","56.6","-0.5","-0.88","05/11","+28.1","+70.1","+67.7","+73.5","+38.2","+44.5","+0.57","+0.22","+0.06","-3.12","-8.06","+0.98"
"4","910322","康師傅-DR","24.85","-0.15","-0.6","05/11","+42","+89.7","+82.8","+73.1","+48.7","+44.4","+58.4","+73.1","+43.5","-5.14","+3.98","+69.3"
"5","00942B","台新美A公司債20+","14.29","+0.03","+0.21","05/11","+81.4","+75.8","+77.3","+68.4","+63.8","+58.1","+79.2","+65.3","+54","","","+68.6"
"6","8482","商億-KY","49","-1","-2","05/11","+23.6","+53.4","+59","+65.5","+31.8","+57.7","+14.4","+4.86","-14","-0.56","","+7.38"
"7","00943","兆豐電子高息等權","19.33","+0.47","+2.49","05/11","+26.1","+36.2","+70.1","+63.5","+70.6","+66.1","+47.1","+27.9","+15.5","","","+33.5"
"8","2849","安泰銀","13.85","-0.25","-1.77","05/11","+19.6","+53.9","+55.1","+63.4","+43.8","+58.9","+14","+7.8","+1.98","+0.65","-2.78","+10.2"
"9","00984B","大華優利美A債15","16.28","+0.03","+0.18","05/11","+91.9","+82.6","+81.9","+62.9","+47.8","+48","+13.5","+7.35","","","","+9.82"
"10","2015","豐興","64.3","+1.8","+2.88","05/11","+66","+63.1","+60","+61","+31.3","+17.8","+5.99","+3.94","-4.24","+1.67","-1.03","+5.58"
"11","2910","統領","22.3","-0.55","-2.41","05/11","-11.1","+41.9","+50.5","+56.6","+34.1","+38.8","+11.6","+7.57","+1.93","+1.69","+1","+10.4"
"12","00740B","富邦全球投等債","38.56","+0.08","+0.21","05/11","+75","+60.4","+62.4","+56.1","+53.2","+42.9","+29.7","+39.3","+30.1","+14.7","","+34.1"
"13","00779B","凱基美債25+","28.1","-0.02","-0.07","05/11","+12.1","+6.56","+4.48","+54.1","+42.6","+28.6","+19.7","+10.5","+4.74","+4.38","","+15.2"
"14","1626","艾美特-KY","10.85","-0.1","-0.91","05/11","+1.48","+59.3","+59.4","+52.7","+38","+15.6","+8.58","+2.19","+0.2","-1.81","-2.59","+5.53"
"15","00950B","凱基A級公司債","14.01","0","0","05/11","+56.8","+45.6","+50.9","+49.8","+38.3","+31.6","+54.7","+51.2","+47","","","+51.5"
"16","00982B","FT投資級債20+","9.81","+0.01","+0.1","05/11","+98.4","+61.2","+40.4","+48.6","+35.4","+30.6","+18.1","+8.18","+1.17","","","+12.1"
"17","2867","三商壽","7.82","-0.01","-0.13","05/11","+70.4","+44","+52.8","+48.2","+31.8","+39.4","+29","+33.9","+19.6","+7.54","+3.41","+30.3"
"18","2923","鼎固-KY","27.85","-0.4","-1.42","05/11","+1.07","+52.3","+47.4","+48","+37.2","+54.8","+17.1","+10.1","+4.19","+3.38","+3.78","+13.9"
