"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"1","8042","金山電","88.9","+4.8","+5.71","05/11","+0.09","+3.31","+3.17","+6.86","+6.81","+6.58","+7.48","+8.77","+8.08","+7.55","+2.62","+10.2"
"2","6173","信昌電","134","+12","+9.84","05/11","+3.73","+5.34","+5.03","+6.72","+6.55","+11.3","+11.7","+14.7","+12.8","+13.5","+13.6","+14.6"
"3","3481","群創","32.3","+2.9","+9.86","05/11","+0.04","+1.25","+3.59","+6.03","+6.46","+6.27","+9.09","+2.41","+0.62","+0.1","-23.9","+4.18"
"4","00909","國泰數位支付服務","47.89","+0.37","+0.78","05/11","+0.48","+1.31","+2.55","+5.92","+10.2","+22.7","+24.6","+26.9","+45.1","+34.2","","+36"
"5","00984B","大華優利美A債15","16.28","+0.03","+0.18","05/11","+2.07","+3.05","+4.13","+5.72","+8.37","+16.4","+22.3","+20.2","","","","+22.5"
"6","00733","富邦臺灣中小","68.3","+3.25","+5","05/11","+3.45","+4.51","+4.93","+5.68","+8.65","+12.4","+25.3","+35.1","+46.5","+22.2","","+34.5"
"7","3006","晶豪科","222","+20","+9.9","05/11","+0.55","+2.67","+3.17","+5.37","+5.52","+5.06","+5.88","+12.7","+19.3","+22.4","+23.6","+4.56"
"8","4973","廣穎","109.5","+9.9","+9.94","05/11","+2.03","+2.82","+2.44","+5.07","+5.3","+0.42","+4.54","+6.63","+4.29","+3.33","+5.17","+4.99"
"9","6282","康舒","55.4","+5","+9.92","05/11","+3.26","+4.52","+4.84","+4.97","+5.14","+5.01","+3.69","+5.34","+9.28","+9.75","+4.13","+9.77"
"10","4906","正文","40.3","+0.3","+0.75","05/11","-0.62","+3.24","+4.6","+4.78","+4.57","+1.56","-4.31","-3.05","-11.1","-6.87","+0.26","-3.45"
"11","2492","華新科","171.5","+15.5","+9.94","05/11","+1.52","+1.46","+2.78","+4.71","+4.56","+7.57","+7.75","+8.21","+8.91","+4.87","-0.9","+10.7"
"12","5388","中磊","87.3","+2.2","+2.59","05/11","+0.61","+3.25","+4.1","+4.47","+4.94","+4.98","+1.22","-5.06","-1.57","-13","-11.6","-5.7"
"13","2481","強茂","109","+9.5","+9.55","05/11","+2.81","+2.05","+3","+4.21","+3.99","+2.16","+5.82","+9.02","+11.4","+13.9","-3.25","+17.4"
"14","6285","啟碁","259","+11.5","+4.65","05/11","+0.83","+1.15","+3.56","+4.04","+2.4","+2.92","+2.88","+1.17","+0.41","-0.98","+3.89","+6.09"
"15","3450","聯鈞","428","+18","+4.39","05/11","-1.94","+4.49","+6.6","+3.96","+0.62","+1.74","+17.2","+13.9","+0.51","+12.9","-19.2","+14.5"
"16","5425","台半","80.3","+7.3","+10","05/11","+0.04","+1.54","+1.45","+3.94","+4.5","+3.93","+3.75","+8.22","+3.58","-0.11","-3.71","+7.42"
"17","6165","浪凡","51.8","-0.2","-0.38","05/11","-0.54","+2.54","+2.13","+3.78","+11.2","+14.1","+13.3","+7.52","+10.8","+15.3","+15.6","+12.1"
"18","3033","威健","44","+0.15","+0.34","05/11","-0.31","+1.32","+0.55","+3.6","+5.09","+8.3","+13","+12.1","+7.54","+8.9","+11.9","+10.5"
"19","2406","國碩","35.25","+2.25","+6.82","05/11","+1.58","+1.2","+3.14","+3.57","+5.35","+5.9","+8.73","+11.5","+11.6","+12.6","+5.79","+8.99"
"20","00915","凱基優選高股息30","26.67","+0.18","+0.68","05/11","+0.3","+0.76","+2.05","+3.55","+4.39","+7.35","+8.26","+10.9","+21","-2.14","","+11.2"
"21","00731","復華富時高息低波","75.4","-0.15","-0.2","05/11","+0.03","+1.2","+2.86","+3.55","+3.04","+5.77","+7.7","+20","+44.7","+59.6","","+17.8"
"22","00930","永豐ESG低碳高息","21.91","+0.4","+1.86","05/11","+0.15","+0.28","+1.82","+3.53","+5.56","+14.8","+18.1","+23.7","+30.3","","","+22.8"
"23","5351","鈺創","80.1","+5","+6.66","05/11","+0.9","+0.89","-0.22","+3.35","+4.09","+0.81","+0.95","+8.2","+8.1","+11.3","+5.69","+4.97"
"24","3035","智原","195.5","+17.5","+9.83","05/11","+2.4","+2.99","+3.08","+3.18","-0.66","+4.67","+4.49","+3.14","-6.68","-12.3","-1.47","+4.08"
"25","3236","千如","34.6","+0.6","+1.76","05/11","-0.07","+1.77","+2.82","+3.04","+2.18","+1.11","-0.35","+2.59","+1.41","-1.61","+1.6","+2.36"
"26","2301","光寶科","224","+20","+9.8","05/11","+0.41","+0.85","+1.58","+2.9","+4.11","+6.57","+6.29","+11.8","+12.3","-6.27","-8.67","+7.24"
"27","2451","創見","343.5","+31","+9.92","05/11","+1.03","+2.02","+1.67","+2.84","+2.5","+1.72","+0.2","+0.2","+4.67","+1.87","-17.9","+0.65"
"28","1597","直得","182","+9","+5.2","05/11","+0.26","+0.3","+0.38","+2.82","+2.67","+3.75","+5.93","+8.27","+7.38","+5.78","+6.37","+7.36"
"29","8358","金居","462","+7.5","+1.65","05/11","+1.15","+1.73","+1.45","+2.75","+5.74","+8.26","+12.2","+13.2","+20.1","+14.9","+22.5","+13.3"
"30","00737","國泰AI機器人","37.38","+0.54","+1.47","05/11","+0.18","+0.33","+1.13","+2.67","+6.35","+7.79","+8.18","+13.1","+18.3","+64.5","","+9.78"
"31","2455","全新","360","+23","+6.82","05/11","+1.15","+1.43","+1.83","+2.67","+1.42","+3.56","-0.48","-3.81","-3.58","-3.38","+2.13","-3.84"
"32","6414","樺漢","359","+12.5","+3.61","05/11","+0.63","+1.51","+2.05","+2.65","+4.57","+10.9","+10.6","+8.3","+13.4","+15.1","+11","+11.3"
"33","4977","眾達-KY","246","+18","+7.89","05/11","+1.71","+1.71","+2.75","+2.64","+0.49","-2.41","+5.95","+4.43","-13.6","-17.4","-40.2","+3.68"
"34","1809","中釉","39.6","+3.6","+10","05/11","+0.52","+0.81","+1.45","+2.62","+3.13","+2.31","+3.58","+3.37","+1.74","+2.81","+0.98","+2.49"
"35","00943","兆豐電子高息等權","19.33","+0.47","+2.49","05/11","+0.13","+0.36","+1.96","+2.61","+6.22","+13.1","+26.1","+27","+38","","","+27.4"
"36","2312","金寶","29.9","+1.95","+6.98","05/11","+1.68","+1.88","+2.05","+2.48","+1.14","-0.77","-1.45","-1.43","-9.33","-2.73","-5.55","+2.73"
"37","6679","鈺太","327","-4","-1.21","05/11","0","+0.33","+0.73","+2.41","+2.75","+3.2","+4.01","+3.83","-0.49","+3.06","","+3.28"
"38","2426","鼎元","66.7","-0.8","-1.19","05/11","-0.07","-0.11","-0.39","+2.37","-2.59","-1.02","+1.19","-0.49","-0.89","-1.35","+1.59","+0.43"
"39","8390","金益鼎","103.5","+9.4","+9.99","05/11","+1.63","+1.8","+2.04","+2.37","+2.63","+2.18","+3.03","+11.2","+13.8","+10.5","+10.4","+3.38"
"40","00900","富邦特選高股息30","17.26","+0.34","+2.01","05/11","+0.33","+0.67","+1.28","+2.34","+3.92","+7.19","+8.34","+14.8","+14.6","+22","","+13.1"
"41","3227","原相","231.5","+5","+2.21","05/11","+0.47","+1.79","+2.07","+2.34","+2.19","+4.15","+4.7","+1.57","-10.9","+2.07","+6.1","+0.64"
"42","00738U","期元大道瓊白銀","64.95","+0.4","+0.62","05/11","+1.61","+2.16","+2.4","+2.32","+2.44","+2.53","+2.49","-3.85","-3.47","-1.25","","-2.9"
"43","2027","大成鋼","39.95","+0.35","+0.88","05/11","+0.39","+0.89","+1.58","+2.28","+3.64","+1.89","-0.1","-6.36","-9.7","+2.68","+1.33","-0.27"
"44","6532","瑞耘","107.5","-6.5","-5.7","05/11","-0.81","+1.15","+2.37","+2.28","-0.35","+1.11","+0.22","+1.12","-1.11","+0.94","","+0.49"
"45","00678","群益那斯達克生技","35.58","-0.01","-0.03","05/11","-0.63","-0.97","-2.74","+2.27","+1.79","+2.9","+2.9","+5.62","+15.5","+15.9","","-0.44"
"46","3088","艾訊","128","+3.5","+2.81","05/11","+0.14","+0.81","+0.76","+2.23","+2.42","+3.2","+4.09","+3.5","-3.56","+1.25","-5.9","+4.49"
"47","2351","順德","190.5","+7.5","+4.1","05/11","-0.44","+1.05","+1.56","+2.21","+2.06","+1.95","+5.15","+10.1","+3.76","-5.2","+4.11","+10.7"
"48","6104","創惟","103","+1","+0.98","05/11","+0.23","+0.49","+1.67","+2.2","+2.19","+1.58","+1.01","-11","-14.6","+1.27","+1.21","-3.51"
"49","3374","精材","249","+22.5","+9.93","05/11","+0.44","+3.13","+2.46","+2.16","-1.43","-0.21","+4.17","+6.7","+5.6","+5.22","+5.83","+6.24"
"50","4931","新盛力","187","+17","+10","05/11","+1.63","+2.66","+1.29","+2.15","+0.54","+0.66","-2.76","-1.32","-2.76","+2.87","","-15.2"
"51","6488","環球晶","835","+33","+4.11","05/11","+0.27","+0.71","+1.51","+2.13","+2.67","+5.62","+6.42","+4.18","+10.2","-6.37","-11.2","+5.69"
"52","3048","益登","45","+2.6","+6.13","05/11","+1.02","+1.87","+1.41","+2.09","+2.5","+3.25","+4.8","+4.65","-0.68","+2.52","+2.45","+5"
"53","2363","矽統","61","+1.6","+2.69","05/11","+0.33","+1.99","+1.7","+2.08","+2.51","+3.31","+4.99","+5.77","-1.83","+6.05","+5.66","+5.21"
"54","00983A","主動中信ARK創新","11.76","+0.09","+0.77","05/11","+0.57","+0.26","+1.54","+2.08","+5.97","+9.33","+9.27","+8.3","","","","+9.67"
"55","00918","大華優利高填息30","25.38","+0.28","+1.12","05/11","+0.13","+0.4","+1.06","+2.08","+2.28","+4.77","+4.51","+6.64","+7.42","+1.74","","+7.34"
"56","2376","技嘉","324.5","+7.5","+2.37","05/11","+0.2","+0.81","+0.99","+2.03","+2","+5.66","+10.2","+2.13","+8.06","-7.18","-12.5","+6.34"
