"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"301","5236","凌陽創新","櫃","05/11","","168","-0.5","-0.3","741","124","168.5","169","169.5","165","2.67","19.6","3.79","","","","",""
"302","6263","普萊德","櫃","05/11","","168","+15","+9.8","305","51.2","153","168","168","168","0","20.2","5.96","","","","",""
"303","6690","安碁資訊","櫃","05/11","","168","-2","-1.18","106","17.9","170","172","172","167.5","2.65","15.8","1.72","","","","",""
"304","6732","昇佳電子","櫃","05/11","","167","+3","+1.83","197","32.7","164","164.5","167.5","164","2.13","26.3","2","","","","",""
"305","2640","大車隊","櫃","05/11","","166.5","-3","-1.77","50","8.31","169.5","168","169","165","2.36","18.5","4.5","","","","",""
"306","2729","瓦城","櫃","05/11","","165","-1","-0.6","42","6.84","166","165.5","166","164.5","0.9","24.4","2.88","","","","",""
"307","5209","新鼎","櫃","05/11","","164.5","+0.5","+0.3","71","11.8","164","165","165.5","164","0.91","9.19","5.36","","","","",""
"308","5474","聰泰","櫃","05/11","","164.5","-1","-0.6","496","81.9","165.5","165","167.5","161.5","3.63","32.7","3.47","","","","",""
"309","6895","宏碩系統","櫃","05/11","","164.5","-0.5","-0.3","102","16.8","165","162.5","167.5","162.5","3.03","","5.81","","","","",""
"310","4569","六方科-KY","市","05/11","","163.5","-7.5","-4.39","102","16.8","163.5","171","171","163","4.68","39.6","1.79","","","","",""
"311","5483","中美晶","櫃","05/11","","163.5","+14.5","+9.73","33,877","5,373","149","151","163.5","150","9.06","24.4","2.03","","","","",""
"312","6720","久昌","櫃","05/11","","163.5","+0.5","+0.31","59","9.86","163","172.5","175","163.5","7.06","42","5.14","","","","",""
"313","6877","鏵友益","櫃","05/11","","163","-3","-1.81","332","54.8","166","163","168","162.5","3.31","","8.92","","","","",""
"314","6933","AMAX-KY","市","05/11","","163","-2","-1.21","170","27.8","163","166.5","167","162","3.03","32.3","3.01","","","","",""
"315","8478","東哥遊艇","市","05/11","","163","-6","-3.55","341","56.2","163","169","169","163","3.55","12.3","1.69","","","","",""
"316","8086","宏捷科","櫃","05/11","","162","+2.5","+1.57","14,916","2,382","159.5","163.5","165","153.5","7.21","36.4","3.88","","","","",""
"317","6890","來億-KY","市","05/11","","161","+7","+4.55","551","88.1","161","153","163","152.5","6.82","16","1.62","","","","",""
"318","2597","潤弘","市","05/11","","160","+4","+2.56","784","125","160","156","161.5","156","3.53","14.1","5.34","","","","",""
"319","1268","漢來美食","櫃","05/11","","159.5","+1","+0.63","94","15.1","158.5","160","160","159","0.63","13.8","2.64","","","","",""
"320","2337","旺宏","市","05/11","","159.5","+6.5","+4.25","149,222","23,850","159.5","161","162.5","156","4.25","","6.24","","","","",""
"321","2731","雄獅","市","05/11","","159.5","0","0","1,053","168","159.5","160","161","158.5","1.57","9.12","3","","","","",""
"322","1785","光洋科","櫃","05/11","","159","-8","-4.79","46,217","7,466","167","167.5","168","152.5","9.28","50.6","6.33","","","","",""
"323","6957","裕慶-KY","市","05/11","","159","-0.5","-0.31","157","24.6","159","158","159","155","2.51","15.6","3.3","","","","",""
"324","1513","中興電","市","05/11","","158.5","+0.5","+0.32","7,010","1,110","158.5","159.5","159.5","156","2.22","19.6","3.79","","","","",""
"325","6955","邦睿生技-創","市","05/11","","158.5","-0.5","-0.31","6","0.95","158.5","159","159.5","158.5","0.63","38.4","6.13","","","","",""
"326","3138","耀登","市","05/11","","158","+3","+1.94","1,180","187","158","156","160.5","153","4.84","105","3.81","","","","",""
"327","6693","廣閎科","櫃","05/11","","156","+7","+4.7","2,142","331","149","151.5","159","146.5","8.39","115","6.18","","","","",""
"328","3042","晶技","市","05/11","","155.5","+1.5","+0.97","17,012","2,587","155.5","150","159","140.5","12","29.5","3.32","","","","",""
"329","2645","長榮航太","市","05/11","","154.5","-9.5","-5.79","4,530","689","154.5","160","160","148","7.32","28.3","4.27","","","","",""
"330","5288","豐祥-KY","市","05/11","","154.5","+2.5","+1.64","171","26.3","154.5","152","157.5","150.5","4.61","12.8","1.77","","","","",""
"331","4169","泰宗","市","05/11","","154","-2","-1.28","98","15","154","156","156.5","153","2.24","481","8.62","","","","",""
"332","6230","尼得科超眾","市","05/11","","154","-2.5","-1.6","161","24.7","154","161","161","151","6.39","","2.32","","","","",""
"333","5432","新門","櫃","05/11","","152.5","+5.5","+3.74","626","97","147","150","160.5","150","7.14","64.3","8.45","","","","",""
"334","4536","拓凱","市","05/11","","151.5","+0.5","+0.33","167","25.2","151.5","151","151.5","150","0.99","10.2","1.46","","","","",""
"335","2421","建準","市","05/11","","151","+2","+1.34","6,547","977","151","146","151.5","143","5.7","17.7","3.81","","","","",""
"336","5287","數字","櫃","05/11","","151","-1.5","-0.98","78","11.8","152.5","152.5","152.5","151","0.98","10.8","3.57","","","","",""
"337","2458","義隆","市","05/11","","150","-1.5","-0.99","4,561","691","150","151","154","149","3.3","17.6","4.16","","","","",""
"338","7820","立盈","櫃","05/11","","150","+9","+6.38","315","47.7","141","155","155","147.5","5.32","85.2","6.63","","","","",""
"339","2480","敦陽科","市","05/11","","149.5","+1.5","+1.01","521","77.5","149.5","150","150","147","2.03","17.8","5.32","","","","",""
"340","8255","朋程","櫃","05/11","","149","+3.5","+2.41","1,324","196","145.5","144","151","141.5","6.53","23.6","1.92","","","","",""
"341","4551","智伸科","市","05/11","","148.5","+13.5","+10","1,251","185","148.5","143","148.5","143","4.07","22.2","1.91","","","","",""
"342","1232","大統益","市","05/11","","148","0","0","91","13.5","148","148","149","148","0.68","17.1","3.77","","","","",""
"343","7712","博盛半導體","櫃","05/11","","147.5","+13","+9.67","371","54.7","134.5","147.5","147.5","147.5","0","27.2","2.52","","","","",""
"344","8462","柏文","市","05/11","","147.5","-0.5","-0.34","121","17.9","147.5","148","150","147.5","1.69","17.4","4.95","","","","",""
"345","3019","亞光","市","05/11","","146.5","+2.5","+1.74","7,439","1,085","146.5","144.5","148","142.5","3.82","21.4","2.86","","","","",""
"346","6914","阜爾運通","市","05/11","","146","+1","+0.69","80","11.6","146","145","146.5","144.5","1.38","15.2","2.62","","","","",""
"347","6854","錼創科技-KY創","市","05/11","","145.5","-1.5","-1.02","530","76.8","145.5","147.5","147.5","143","3.06","","4.68","","","","",""
"348","6588","東典光電","櫃","05/11","","145","+2","+1.4","1,658","240","143","144","148","139","6.29","","6.58","","","","",""
"349","4572","駐龍","市","05/11","","144.5","-3.5","-2.36","56","8.04","144.5","145","146","144.5","1.01","54.7","3.11","","","","",""
"350","6762","達亞","櫃","05/11","","144","-1","-0.69","9","1.33","145","150","151","144","4.83","","3.95","","","","",""
"351","8033","雷虎","市","05/11","","144","-15","-9.43","11,105","1,599","144","146.5","147.5","143.5","2.52","248","11.67","","","","",""
"352","2236","百達-KY","市","05/11","","142.5","+7.5","+5.56","1,063","149","142.5","137.5","144","136","5.93","","3.99","","","","",""
"353","3691","碩禾","櫃","05/11","","141","+6","+4.44","2,257","321","135","138","147","137.5","7.04","","2.24","","","","",""
"354","3402","漢科","櫃","05/11","","139.5","+0.5","+0.36","848","119","139","141.5","141.5","138.5","2.16","18.6","4.51","","","","",""
