"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"1","2887","台新新光金","市","05/11","","23.45","-0.35","-1.47","98,202","2,315","23.45","23.85","23.9","23.45","1.89","12.3","1.27","","","","",""
"2","00755B","群益投資級公用債","櫃","05/11","","32.88","+0.04","+0.12","276","9.08","32.84","32.94","32.94","32.83","0.33","","0.997","","","","",""
"3","1702","南僑","市","05/11","","34.15","-0.2","-0.58","561","19.2","34.15","34.35","34.35","34.05","0.87","30.5","0.71","","","","",""
"4","3015","全漢","市","05/11","","51.1","+0.4","+0.79","296","15","51.1","50.8","51.1","50","2.17","25.3","0.81","","","","",""
"5","6805","富世達","市","05/11","","1995","+15","+0.76","1,946","3,908","1995","2020","2055","1965","4.55","50.9","18.42","","","","",""
"6","3167","大量","市","05/11","","728","+44","+6.43","2,049","1,368","728","656","728","624","15.2","89.5","18.83","","","","",""
"7","4904","遠傳","市","05/11","","96.2","+0.3","+0.31","2,829","273","96.2","96.3","96.9","95.9","1.04","25.2","3.77","","","","",""
"8","1532","勤美","市","05/11","","20.6","-0.05","-0.24","585","12","20.6","20.65","20.7","20.45","1.21","21","0.57","","","","",""
"9","6005","群益證","市","05/11","","32.25","+1.7","+5.56","25,925","831","32.25","30.6","32.6","30.6","6.55","12.2","1.54","","","","",""
"10","3653","健策","市","05/11","","4015","+365","+10","4,163","16,305","4015","3710","4015","3700","8.63","109","25.8","","","","",""
"11","2884","玉山金","市","05/11","","32.3","-0.2","-0.62","28,822","933","32.3","32.5","32.55","32.3","0.77","15.2","1.92","","","","",""
"12","7751","竑騰","櫃","05/11","","1750","-190","-9.79","577","1,054","1940","2000","2015","1750","13.7","85.4","19.06","","","","",""
"13","2882","國泰金","市","05/11","","78.4","-1.6","-2","21,997","1,732","78.4","79.6","79.6","78.4","1.5","11.1","1.37","","","","",""
"14","3017","奇鋐","市","05/11","","2555","+110","+4.5","6,205","15,814","2555","2485","2590","2455","5.52","52","22.47","","","","",""
"15","3665","貿聯-KY","市","05/11","","2905","+155","+5.64","2,750","7,827","2905","2650","2925","2645","10.2","62.4","12.15","","","","",""
"16","2881","富邦金","市","05/11","","95.5","-1.2","-1.24","22,798","2,192","95.5","96.7","96.7","95.5","1.24","11.4","1.52","","","","",""
"17","2891","中信金","市","05/11","","55.3","-1.1","-1.95","50,449","2,785","55.3","56","56","54.7","2.3","13.6","2.15","","","","",""
"18","4536","拓凱","市","05/11","","151.5","+0.5","+0.33","167","25.2","151.5","151","151.5","150","0.99","10.2","1.46","","","","",""
"19","6271","同欣電","市","05/11","","185.5","+4","+2.2","5,441","996","185.5","183","185.5","178.5","3.86","27.4","1.47","","","","",""
"20","6515","穎崴","市","05/11","","10090","+460","+4.78","246","2,470","10090","9790","10195","9545","6.75","215","56.42","","","","",""
"21","1102","亞泥","市","05/11","","34.65","-0.3","-0.86","8,503","295","34.65","35","35.05","34.6","1.29","11.6","0.68","","","","",""
"22","9917","中保科","市","05/11","","113","-1","-0.88","402","45.4","113","114","114","112.5","1.32","16.7","3.68","","","","",""
"23","2603","長榮","市","05/11","","214","+2.5","+1.18","9,248","1,980","214","213.5","215","212.5","1.18","6.76","0.82","","","","",""
"24","2347","聯強","市","05/11","","86.4","+4.2","+5.11","5,531","477","86.4","83.8","87.5","83.3","5.11","15","1.83","","","","",""
"25","6605","帝寶","市","05/11","","129","-1","-0.77","297","38.4","129","131.5","131.5","128.5","2.31","9.23","1.07","","","","",""
"26","2850","新產","市","05/11","","136","+3.5","+2.64","321","43.4","136","133","136.5","132","3.4","11.1","2.07","","","","",""
"27","2883","凱基金","市","05/11","","22.8","-0.1","-0.44","41,099","943","22.8","22.9","23.1","22.8","1.31","13.1","1.29","","","","",""
"28","2606","裕民","市","05/11","","65.3","+0.3","+0.46","4,072","265","65.3","65.1","65.7","64.4","2","12.5","1.36","","","","",""
"29","7717","萊德光電-KY","櫃","05/11","","676","+8","+1.2","545","375","668","681","700","676","3.59","110","16.77","","","","",""
"30","2385","群光","市","05/11","","135","+1","+0.75","3,835","518","135","135","136.5","133.5","2.24","14.9","2.22","","","","",""
"31","00965","元大航太防衛科技","市","05/11","","25.77","-0.23","-0.88","3,794","97.8","25.77","26","26","25.74","1","","0.9942","","","","",""
"32","8996","高力","市","05/11","","1055","+40","+3.94","3,041","3,163","1055","1025","1065","1010","5.42","116","23.25","","","","",""
"33","2357","華碩","市","05/11","","686","+36","+5.54","10,283","7,024","686","661","699","658","6.31","11.4","1.9","","","","",""
"34","9904","寶成","市","05/11","","25.8","-0.1","-0.39","17,539","454","25.8","25.95","26.2","25.75","1.74","6.29","0.54","","","","",""
"35","5522","遠雄","市","05/11","","72.7","+2.7","+3.86","1,619","116","72.7","70.2","72.7","70.2","3.57","9.76","1.13","","","","",""
"36","6121","新普","櫃","05/11","","394","+4","+1.03","1,559","613","390","390","398.5","387","2.95","12.9","1.9","","","","",""
"37","4915","致伸","市","05/11","","71.7","-0.8","-1.1","4,401","317","71.7","72.8","72.8","71.6","1.66","13.3","1.55","","","","",""
"38","2368","金像電","市","05/11","","1400","+70","+5.26","5,405","7,402","1400","1310","1410","1305","7.89","71.9","21.13","","","","",""
"39","3189","景碩","市","05/11","","503","+45","+9.83","26,644","13,020","503","475","503","468","7.64","126","6.14","","","","",""
"40","3131","弘塑","櫃","05/11","","3090","+150","+5.1","775","2,339","2940","2900","3110","2895","7.31","67.9","18.73","","","","",""
"41","2006","東和鋼鐵","市","05/11","","67.7","+0.3","+0.45","1,348","91.1","67.7","67.8","67.8","67.2","0.89","10.2","1.52","","","","",""
"42","6739","竹陞科技","櫃","05/11","","1440","+115","+8.68","553","777","1325","1320","1450","1320","9.81","89.3","32.79","","","","",""
"43","2458","義隆","市","05/11","","150","-1.5","-0.99","4,561","691","150","151","154","149","3.3","17.6","4.16","","","","",""
"44","4938","和碩","市","05/11","","83.4","-1","-1.18","10,028","835","83.4","84.4","84.4","82.6","2.13","15.5","1.08","","","","",""
"45","3045","台灣大","市","05/11","","110","0","0","7,511","827","110","110","110.5","109.5","0.91","23.1","3.86","","","","",""
"46","6223","旺矽","櫃","05/11","","4985","-40","-0.8","2,143","10,544","5025","4860","5125","4710","8.26","149","33.5","","","","",""
"47","6442","光聖","市","05/11","","1950","-15","-0.76","3,829","7,360","1950","1935","1990","1870","6.11","83.1","22.18","","","","",""
"48","2727","王品","市","05/11","","235","+0.5","+0.21","413","97.4","235","234.5","236.5","234","1.07","14.1","5.08","","","","",""
"49","3260","威剛","櫃","05/11","","457","+8.5","+1.9","25,976","11,986","448.5","464.5","469","454.5","3.23","19.7","6.26","","","","",""
"50","2880","華南金","市","05/11","","33.25","-0.05","-0.15","13,828","461","33.25","33.4","33.45","33.15","0.9","17.5","1.96","","","","",""
