"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"0050","元大台灣50","96.9","-0.1","-0.1","26W20","05/11","-3","-212,544","-18.1","-1.15","+15","+103,408","1.12","0.56","-5","-154,462","-6.91","-0.83","-3","-297,772","-25.3","-1.61"
"3533","嘉澤","2845","+145","+5.37","26W20","05/11","-1","-332","-15.9","-0.3","+10","+4,612","5.48","4.1","+1","+28","1.33","0.02","-1","-210","-10","-0.19"
"6640","均華","1405","+10","+0.72","26W20","05/11","-1","-30","-9.32","-0.11","+7","+700","3","2.45","+2","+10","0.45","0.03","-1","-19","-5.79","-0.07"
"9910","豐泰","74.4","+0.6","+0.81","26W20","05/11","-2","-2,768","-15.4","-0.28","+7","+6,517","10.4","0.66","-4","-193","-0.48","-0.02","-2","-643","-3.57","-0.07"
"1785","光洋科","159","-8","-4.79","26W20","05/11","-3","-45,729","-10.9","-7.67","+6","+1,472","0.21","0.25","-1","-97","-0.21","-0.02","-3","-44,758","-10.7","-7.51"
"6679","鈺太","327","-4","-1.21","26W20","05/11","-1","-1","-0.15","0","+6","+128","0.72","0.23","-1","-43","-5.3","-0.08","-1","-23","-2.87","-0.04"
"2059","川湖","5520","+200","+3.76","26W20","05/11","+2","+461","7.28","0.48","+5","+1,601","8.04","1.68","+3","+35","0.32","0.04","+2","+1,016","16.1","1.07"
"2454","聯發科","3880","+250","+6.89","26W20","05/11","-1","-372","-4.28","-0.02","+5","+12,557","3.6","0.78","-3","-240","-0.15","-0.01","-1","-528","-6.08","-0.03"
"3711","日月光投控","537","+21","+4.07","26W20","05/11","+1","+1,420","6.27","0.03","+5","+14,636","2.83","0.33","+2","+271","0.16","0.01","+1","+2,333","10.3","0.05"
"6531","愛普*","962","+87","+9.94","26W20","05/11","-3","-1,602","-5.45","-0.98","+5","+1,179","0.81","0.72","+1","+61","2.13","0.04","-3","-1,418","-4.82","-0.87"
