"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"1","5274","信驊","櫃","05/12","","18005","+180","+1.01","304","5,515","17825","17955","18385","17780","3.39","153","114.19","","","","",""
"2","6515","穎崴","市","05/12","","9950","-140","-1.39","255","2,554","10090","10120","10255","9855","3.96","212","55.64","","","","",""
"3","7769","鴻勁","市","05/12","","6870","+490","+7.68","2,087","14,157","6380","6515","7000","6415","9.17","90.7","21.3","","","","",""
"4","6669","緯穎","市","05/12","","5790","+450","+8.43","4,214","24,029","5340","5480","5870","5415","8.52","19.4","7.68","","","","",""
"5","3443","創意","市","05/12","","5570","-160","-2.79","2,615","14,799","5730","5950","5950","5510","7.68","168","51.18","","","","",""
"6","6223","旺矽","櫃","05/12","","5480","+495","+9.93","1,001","5,439","4985","5315","5480","5250","4.61","164","36.83","","","","",""
"7","2059","川湖","市","05/12","","5445","-75","-1.36","959","5,265","5520","5450","5600","5280","5.8","48","16.46","","","","",""
"8","3661","世芯-KY","市","05/12","","5310","-65","-1.21","3,014","16,343","5375","5555","5640","5300","6.33","77.7","10.03","","","","",""
"9","2383","台光電","市","05/12","","4900","+50","+1.03","2,661","13,219","4850","4805","5080","4805","5.67","106","36.62","","","","",""
"10","3529","力旺","櫃","05/12","","4115","-345","-7.74","1,851","7,692","4460","4460","4460","4035","9.53","150","69.24","","","","",""
"11","7734","印能科技","櫃","05/12","","3980","+180","+4.74","166","653","3800","3850","4005","3770","6.18","119","17.16","","","","",""
"12","3653","健策","市","05/12","","3920","-95","-2.37","3,524","14,110","4015","4050","4150","3865","7.1","107","25.19","","","","",""
"13","6510","精測","櫃","05/12","","3860","+70","+1.85","1,042","4,043","3790","3865","3965","3760","5.41","113","12.91","","","","",""
"14","2454","聯發科","市","05/12","","3700","-180","-4.64","10,715","40,581","3880","3835","3910","3700","5.41","55.9","14.74","","","","",""
"15","3131","弘塑","櫃","05/12","","3140","+50","+1.62","804","2,532","3090","3095","3215","3025","6.15","69","19.03","","","","",""
"16","7750","新代","市","05/12","","3070","+275","+9.84","549","1,683","2795","3060","3070","2990","2.86","87.4","19.37","","","","",""
"17","3081","聯亞","櫃","05/12","","3055","+275","+9.89","4,194","12,722","2780","3055","3055","2955","3.6","401","66.67","","","","",""
"18","3533","嘉澤","市","05/12","","2800","-45","-1.58","1,161","3,290","2845","2815","2905","2800","3.69","39.9","8.15","","","","",""
"19","3008","大立光","市","05/12","","2795","+250","+9.82","3,210","8,684","2545","2600","2795","2580","8.45","17.5","1.98","","","","",""
"20","3665","貿聯-KY","市","05/12","","2775","-130","-4.48","3,445","9,958","2905","3000","3010","2775","8.09","59.6","11.6","","","","",""
"21","8299","群聯","櫃","05/12","","2725","+55","+2.06","15,579","42,682","2670","2780","2860","2645","8.05","26.4","8.13","","","","",""
"22","2345","智邦","市","05/12","","2525","-65","-2.51","5,777","14,893","2590","2675","2695","2520","6.76","47.8","21.61","","","","",""
"23","3017","奇鋐","市","05/12","","2520","-35","-1.37","5,011","12,858","2555","2625","2625","2520","4.11","51.3","22.16","","","","",""
"24","2360","致茂","市","05/12","","2440","+80","+3.39","4,455","10,909","2360","2450","2480","2400","3.39","88.1","32.4","","","","",""
"25","6683","雍智科技","櫃","05/12","","2370","+100","+4.41","268","624","2270","2285","2410","2270","6.17","133","22.53","","","","",""
"26","2330","台積電","市","05/12","","2255","+20","+0.89","47,762","107,354","2235","2235","2280","2210","3.13","34","10.79","","","","",""
"27","2308","台達電","市","05/12","","2195","-50","-2.23","12,870","28,439","2245","2225","2260","2190","3.12","81","19.03","","","","",""
"28","6442","光聖","市","05/12","","1905","-45","-2.31","3,779","7,517","1950","2050","2120","1905","11","81.2","21.67","","","","",""
"29","6805","富世達","市","05/12","","1850","-145","-7.27","2,905","5,503","1995","2020","2035","1845","9.52","47.2","17.09","","","","",""
"30","7751","竑騰","櫃","05/12","","1835","+85","+4.86","448","825","1750","1830","1870","1780","5.14","81","22.69","","","","",""
"31","5289","宜鼎","櫃","05/12","","1795","+35","+1.99","6,920","12,726","1760","1820","1910","1785","7.1","23.8","11.93","","","","",""
"32","3491","昇達科","櫃","05/12","","1765","-55","-3.02","2,750","4,923","1820","1865","1865","1745","6.59","225","33.57","","","","",""
"33","8210","勤誠","市","05/12","","1550","-5","-0.32","4,957","7,647","1555","1505","1590","1485","6.75","45.7","15.4","","","","",""
"34","1590","亞德客-KY","市","05/12","","1535","-15","-0.97","787","1,210","1550","1560","1560","1520","2.58","36.5","5.84","","","","",""
"35","5269","祥碩","市","05/12","","1525","+135","+9.71","5,519","8,187","1390","1435","1525","1385","10.1","21","3.16","","","","",""
"36","6640","均華","櫃","05/12","","1475","+70","+4.98","428","622","1405","1430","1480","1405","5.34","91","12.88","","","","",""
"37","6274","台燿","櫃","05/12","","1450","-5","-0.34","1,520","2,185","1455","1455","1460","1400","4.12","105","23.19","","","","",""
"38","2368","金像電","市","05/12","","1390","-10","-0.71","4,642","6,596","1400","1400","1465","1390","5.36","71.4","20.98","","","","",""
"39","6739","竹陞科技","櫃","05/12","","1345","-95","-6.6","657","894","1440","1405","1420","1325","6.6","83.4","30.62","","","","",""
"40","7828","創新服務","櫃","05/12","","1345","+120","+9.8","835","1,112","1225","1315","1345","1295","4.08","212","41.4","","","","",""
"41","6781","AES-KY","市","05/12","","1285","-35","-2.65","3,197","4,204","1320","1355","1370","1280","6.82","33.6","6.53","","","","",""
"42","7822","倍利科","市","05/12","","1270","-25","-1.93","269","346","1295","1310","1330","1250","6.18","90.5","51.84","","","","",""
"43","6187","萬潤","櫃","05/12","","1220","+110","+9.91","3,557","4,272","1110","1190","1220","1150","6.31","80.1","17.29","","","","",""
"44","4749","新應材","櫃","05/12","","1175","0","0","5,630","6,527","1175","1175","1210","1100","9.36","104","11.79","","","","",""
"45","3163","波若威","櫃","05/12","","1065","+25","+2.4","538","589","1040","1100","1130","1065","6.25","123","26.87","","","","",""
"46","3324","雙鴻","櫃","05/12","","1060","-10","-0.93","2,834","3,031","1070","1080","1085","1055","2.8","30.3","7.35","","","","",""
"47","6531","愛普*","市","05/12","","1055","+93","+9.67","9,460","9,286","962","973","1055","903","15.8","107","14.54","","","","",""
"48","8996","高力","市","05/12","","1055","0","0","2,887","3,126","1055","1095","1110","1050","5.69","116","23.25","","","","",""
"49","2404","漢唐","市","05/12","","993","-32","-3.12","4,734","4,745","1025","1040","1040","990","4.88","20.7","10.05","","","","",""
"50","3583","辛耘","市","05/12","","952","+86","+9.93","5,892","5,327","866","906","952","847","12.1","64.6","10.01","","","","",""
"51","3363","上詮","櫃","05/12","","920","+67","+7.85","5,614","5,167","853","912","938","888","5.86","5750","37.4","","","","",""
"52","1519","華城","市","05/12","","914","-7","-0.76","5,652","5,218","921","921","942","906","3.91","65.3","27.28","","","","",""
"53","6944","兆聯實業","市","05/12","","910","-13","-1.41","1,082","989","923","914","928","906","2.38","28.2","8.69","","","","",""
"54","8046","南電","市","05/12","","900","-8","-0.88","15,711","14,573","908","928","965","899","7.27","190","12.45","","","","",""
"55","5536","聖暉*","櫃","05/12","","885","-11","-1.23","1,999","1,755","896","900","903","859","4.91","31.1","8.37","","","","",""
"56","3037","欣興","市","05/12","","875","+14","+1.63","30,082","27,023","861","904","926","872","6.27","124","12.26","","","","",""
"57","3563","牧德","市","05/12","","815","+8","+0.99","1,214","981","807","813","820","795","3.1","52","10","","","","",""
"58","4971","IET-KY","櫃","05/12","","795","+72","+9.96","2,721","2,126","723","787","795","750","6.22","156","15.19","","","","",""
"59","7610","聯友金屬-創","市","05/12","","795","-35","-4.22","1,361","1,114","830","869","869","782","10.5","146","24.21","","","","",""
"60","6488","環球晶","櫃","05/12","","785","-50","-5.99","3,617","2,894","835","829","833","785","5.75","48.4","4.02","","","","",""
"61","6830","汎銓","市","05/12","","780","+26","+3.45","2,724","2,163","754","790","816","770","6.1","","13.28","","","","",""
"62","4583","台灣精銳","市","05/12","","777","-6","-0.77","244","187","783","787","787","751","4.6","68.2","6.44","","","","",""
"63","6409","旭隼","市","05/12","","764","0","0","1,093","835","764","767","775","757","2.36","21.9","6.49","","","","",""
"64","4966","譜瑞-KY","櫃","05/12","","761","+26","+3.54","16,142","12,253","735","787","787","723","8.71","22.9","2.63","","","","",""
"65","3167","大量","市","05/12","","760","+32","+4.4","786","589","728","736","770","736","4.67","93.5","19.65","","","","",""
"66","7728","光焱科技","櫃","05/12","","750","-31","-3.97","205","157","781","770","780","750","3.84","152","13.79","","","","",""
"67","4991","環宇-KY","櫃","05/12","","740","+54","+7.87","1,479","1,063","686","721","740","690","7.29","4933","25.97","","","","",""
