"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"1","2891C","中信金丙特","62.2","+0.1","+0.16","05/12","+67","+47.7","+47.3","+50.3","+33.2","+33.1","+15.7","+9.13","-0.53","-2.23","","+13.7"
"2","5534","長虹","79.2","-0.2","-0.25","05/12","+45.5","+30.2","+24.5","+24.4","+26.4","+11.1","+3.75","+2.06","-0.34","+0.21","-0.04","+2.73"
"3","6669","緯穎","5790","+450","+8.43","05/12","+24.3","+22.2","+20.9","+17.2","+12.6","+11.9","+4.53","+1.42","+0.7","+0.44","","+1.37"
"4","4105","東洋","75.3","+0.1","+0.13","05/12","+4.77","+11","+12.5","+15","+20.9","+10.8","+3.74","+1.72","+0.96","+0.26","-0.62","+2.69"
"5","9802","鈺齊-KY","80.7","-2.4","-2.89","05/12","+3.45","+5.21","+8.97","+13.6","+16.9","+7.53","+0.39","-0.82","-1.78","-0.43","+0.03","-3.06"
"6","2204","中華","54","-0.1","-0.18","05/12","+1.35","+5.23","+8.76","+13.6","+17.2","+7.64","+1.89","-0.89","-2.27","-1.16","+0.15","-0.35"
"7","8210","勤誠","1550","-5","-0.32","05/12","+7.69","+14.3","+15.4","+13","+10.5","+6.92","-1.26","-1.01","-0.01","+0.19","+0.1","-1.43"
"8","3036","文曄","275.5","+11","+4.16","05/12","+17.6","+20.6","+18.3","+12.2","+7.61","-0.31","+2.8","+3.03","+5.19","+1.94","+1.38","+1.71"
"9","9938","百和","44.75","-0.5","-1.1","05/12","+2.04","+5.25","+8.07","+11.8","+20.8","+9.82","-0.07","-1.58","-0.61","+0.36","-0.24","-2.2"
"10","4966","譜瑞-KY","761","+26","+3.54","05/12","+15.2","+13.9","+12.7","+11.6","+9.17","+4.52","+3.07","+3.47","+2.17","+0.3","-0.06","+3.12"
"11","4746","台耀","54.5","-1","-1.8","05/12","+2.65","+5.8","+9.09","+11.2","+12.5","+8.29","+3.51","+1.93","+1.16","+0.06","-0.1","+2.34"
"12","3443","創意","5570","-160","-2.79","05/12","+10.6","+6.58","+8.8","+11.1","+8.1","+4.98","+2.67","+1.59","+0.78","-0.03","+0.13","+2.07"
"13","9910","豐泰","73.5","-0.9","-1.21","05/12","+1.3","+3.94","+9.06","+11","+10.2","+12.4","+3.74","+3.09","+1.99","+0.1","+0.16","+2.36"
"14","2393","億光","72.7","-1.1","-1.49","05/12","+0.02","+1.9","+7.33","+9.67","+6.03","+2.32","-1.79","-11.6","-10.1","+1.19","+0.35","-1.75"
"15","5483","中美晶","155","-8.5","-5.2","05/12","+4.92","+11.6","+8.7","+9.62","+6.6","+2.1","+1.09","+0.48","-0.44","+1.16","+0.25","+0.75"
"16","2548","華固","123.5","-6","-4.63","05/12","+1.38","+3.04","+7.46","+9.2","+9.79","+6.22","+3.1","+2.16","-0.65","+0.03","-0.04","+2.58"
"17","3026","禾伸堂","330","+0.5","+0.15","05/12","-0.45","+4.76","+6.64","+9.14","+6.62","+4.72","+2.56","+1.89","+1.44","+1.26","+0.15","+2.18"
"18","9941","裕融","74.3","-0.9","-1.2","05/12","-3.61","+1.3","+7.03","+8.99","+13.4","+6.66","-12","-8.1","-9.24","-0.9","-0.49","-10.9"
"19","6768","志強-KY","90.4","-1.6","-1.74","05/12","+1.46","+3.53","+5.42","+8.79","+16.8","+8.66","+2.22","-2.86","-0.83","+0.35","","-1.94"
"20","2059","川湖","5445","-75","-1.36","05/12","+10.4","+4.42","+8.47","+8.79","+8.31","+8.15","+5.2","-2.17","-0.81","+0.46","+0.44","-1.17"
"21","3711","日月光投控","555","+18","+3.35","05/12","+16.7","+10.9","+8.29","+8.46","+6.07","+3.61","+2.09","-2.19","-3.13","+0.4","","+1.37"
"22","7769","鴻勁","6870","+490","+7.68","05/12","+11.7","+9.04","+6.43","+8.41","+5.37","+0.2","+1.75","","","","","+2.32"
"23","6177","達麗","47.25","+0.2","+0.43","05/12","+38.6","+19.9","+12.3","+8.15","+5.74","-3.66","-1.43","-4.6","-0.97","+0.21","+0.14","-2.37"
"24","1477","聚陽","228.5","+10.5","+4.82","05/12","-1.06","+0.86","+7.88","+8.07","+6.65","-2.83","+0.11","-6.78","-0.66","+0.96","+0.35","-1.61"
"25","6274","台燿","1450","-5","-0.34","05/12","-0.26","-8.82","-0.72","+7.45","+4.63","+3.87","-3.14","-0.33","+0.48","+0.36","+0.1","-2.87"
"26","2731","雄獅","158","-1.5","-0.94","05/12","+1.28","+3.67","+4.7","+7.44","+11.8","+5.96","+3.28","+2.05","-0.37","-0.94","+0.03","+2.78"
"27","6291","沛亨","518","+46.5","+9.86","05/12","0","0","+4.02","+6.58","+4.79","+3.65","+1.67","+0.95","+0.8","+0.65","+0.59","+1.37"
"28","8454","富邦媒","189","-5","-2.58","05/12","+1.87","+1.83","+5.85","+6.58","+3.05","+0.7","+0.41","+2.68","+0.93","-0.18","+0.06","+1.97"
"29","2330","台積電","2255","+20","+0.89","05/12","+18.6","+9.4","+8.03","+6.55","+4.12","+2.15","+1.67","+1.52","+0.77","+0.46","+0.24","+1.57"
"30","1319","東陽","80","-0.8","-0.99","05/12","-0.37","+3.05","+7.95","+6.45","+4.41","-2.93","-5.15","-2.61","-4.58","+1.11","+0.26","-3.35"
