"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"1","4966","譜瑞-KY","761","+26","+3.54","05/12","+3.11","+4.1","+4.69","+4.89","+4.87","+4.23","+3.86","+7.01","+8.71","+3.17","-1.74","+5.31"
"2","3026","禾伸堂","330","+0.5","+0.15","05/12","-0.01","+0.97","+2.27","+4.83","+6.1","+6.25","+6.28","+6.07","+6.42","+6.63","+5.8","+6.03"
"3","8210","勤誠","1550","-5","-0.32","05/12","+0.3","+0.99","+1.82","+2.92","+3.35","+4.66","-1.9","-2.69","-0.08","+4.73","+3.24","-3.02"
"4","5483","中美晶","155","-8.5","-5.2","05/12","+0.24","+1.18","+1.19","+2.32","+2.8","+1.49","+1.25","+0.88","-1.5","+8.36","+8.72","+1.21"
"5","6291","沛亨","518","+46.5","+9.86","05/12","0","0","+0.74","+1.73","+2.2","+4.04","+4.69","+4.52","+5.14","+5.14","+5.14","+4.74"
"6","8155","博智","420","0","0","05/12","+0.07","+0.16","+0.56","+1.62","+3.2","+3.78","+2.66","+2.87","+3.87","-9.26","+4.25","+2.61"
"7","8150","南茂","87","-4","-4.4","05/12","0","0","0","+1.56","+1.54","+1.54","+1.53","+1.59","+0.16","+0.26","+1.36","+1.6"
"8","6669","緯穎","5790","+450","+8.43","05/12","+0.55","+0.77","+1.18","+1.41","+1.81","+3.83","+3.02","+1.76","+1.84","+4.04","","+1.32"
"9","6278","台表科","214.5","-1","-0.46","05/12","-0.02","+1.38","+1.4","+1.31","-0.58","-4.6","-5.13","-8.43","-12.9","+10.8","+11","-7.91"
"10","5289","宜鼎","1795","+35","+1.99","05/12","-0.13","-0.13","+0.44","+1.29","+2.43","+2.68","+2.13","+3.01","-0.53","+1.26","+3.22","+4.59"
"11","3443","創意","5570","-160","-2.79","05/12","+0.21","+0.25","+0.52","+1.24","+1.4","+1.78","+2.58","+4.07","+3.94","-0.55","+8.73","+3.5"
"12","5439","高技","381","-10","-2.56","05/12","+0.1","+0.24","+0.24","+1.21","+2.43","+6.22","+2.52","+9.05","+11","+7.93","+11.1","+4.42"
"13","3583","辛耘","952","+86","+9.93","05/12","+0.12","+0.2","+0.36","+1.12","+2.28","+2.34","+3.66","+3.36","+3.59","+4.07","-1.82","+3.66"
"14","2472","立隆電","223","-2","-0.89","05/12","-0.01","+1.09","+1.09","+1.12","+1.16","+1.59","+1.26","+1.54","+0.94","+2.06","+2.63","-0.3"
"15","6274","台燿","1450","-5","-0.34","05/12","0","-0.13","-0.05","+1.03","+1.12","+1.9","-6.39","-1.52","+6","+11.2","+5.03","-8.39"
"16","3036","文曄","275.5","+11","+4.16","05/12","+0.6","+1.06","+1.03","+1","+0.83","-0.06","+1.4","+2.85","+7.73","+8.36","+9.89","+1.16"
"17","8299","群聯","2725","+55","+2.06","05/12","+0.29","+0.29","+0.43","+0.94","+1.8","-0.06","-3.65","-9.9","-10.7","+1.29","+1.74","-3.75"
"18","6715","嘉基","480","-9.5","-1.94","05/12","0","0","+0.77","+0.93","+1.78","+3.93","+5.47","+5.47","+5.47","+4.57","","+5.47"
"19","3450","聯鈞","470.5","+42.5","+9.93","05/12","+0.03","+0.03","+0.03","+0.9","+2.74","+2.94","+3.66","-0.02","-3.83","+4.14","+3.42","+3.22"
"20","2327","國巨*","419.5","+28","+7.15","05/12","+0.08","+0.41","+0.71","+0.86","+0.92","+1","+0.7","+2.6","+2.68","+2.32","+2.87","+2.19"
