"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"1","3450","聯鈞","441","-29.5","-6.27","05/13","+0.68","+4.6","+2.66","+11.2","+6.85","+5.78","+21.7","+18.5","+7.51","+17.5","-13.9","+19.1"
"2","2481","強茂","121","+5.5","+4.76","05/13","+0.71","+4.24","+7.05","+7.24","+9.29","+5.58","+10.7","+14","+15.4","+18.2","+1.07","+21.7"
"3","3481","群創","37.5","+2","+5.63","05/13","+1.59","+2.62","+2.66","+6.21","+8.86","+8.61","+10.8","+5.16","+3.61","+2.72","-21.1","+6.8"
"4","6173","信昌電","159","+12","+8.16","05/13","+0.41","+0.81","+4.54","+5.84","+7.38","+12.6","+12.7","+15.2","+13.5","+14.3","+14.4","+15.4"
"5","00984B","大華優利美A債15","16.25","-0.01","-0.06","05/13","+0.51","+1.12","+3.39","+5.65","+9.16","+19.2","+25.9","+22.4","+28.3","","","+25.8"
"6","00733","富邦臺灣中小","68.4","-0.3","-0.44","05/13","+0.05","+0.48","+4.07","+5.61","+8.67","+12.7","+26.2","+36.8","+48.4","+23.6","","+36.3"
"7","6285","啟碁","270.5","-11.5","-4.08","05/13","+0.36","+1.74","+2.56","+5.29","+5","+4.7","+4.93","+3.73","+2.37","+0.75","+5.54","+7.83"
"8","4931","新盛力","197","-5.5","-2.72","05/13","+0.16","+3.92","+5.55","+5.21","+6.17","+4.47","+1.3","+3.03","+2.17","+6.79","","-11.3"
"9","4966","譜瑞-KY","809","+48","+6.31","05/13","+0.96","+4.41","+3.31","+5.07","+4.11","+2.76","-0.66","-11.5","-17.3","-36.8","-16.2","-6.76"
"10","009820","元大納斯達克精選","10.02","+0.03","+0.3","05/13","+1.17","+2.91","+4.13","+4.8","+4.89","","","","","","",""
"11","8042","金山電","106","+8.3","+8.5","05/13","+1.23","+1.27","+1.36","+4.43","+8.11","+7.4","+9.76","+10.3","+9.25","+8.82","+3.91","+11.5"
"12","00983A","主動中信ARK創新","11.79","-0.07","-0.59","05/13","+1.72","+2.85","+3.42","+4.4","+7.75","+12.1","+11.8","+11.2","","","","+12.6"
"13","6206","飛捷","138.5","-1.5","-1.07","05/13","+0.36","+2.69","+3.34","+4.21","+4.5","+4.89","+6.3","+7.94","-7.63","+1.48","-11.7","+6.29"
"14","3006","晶豪科","216.5","-3.5","-1.59","05/13","+0.25","+1.02","+1.57","+4.19","+6.49","+5.77","+6.29","+13","+20.1","+23.4","+24.6","+5.58"
"15","8147","正淩","165.5","-17.5","-9.56","05/13","0","+2.96","+3.57","+4.03","+2.39","+0.24","+3.07","+1.98","+4.55","+3.68","+5.17","+2.11"
"16","4973","廣穎","118.5","-1.5","-1.25","05/13","+0.09","+1.52","+3.55","+3.96","+6.11","+3.69","+6.64","+7.29","+5.4","+4.85","+6.61","+6.51"
"17","00689R","國泰20年美債反1","22.09","+0.15","+0.68","05/13","+0.01","+2.92","+3.64","+3.64","+5.17","+6.5","+12.4","+16.9","+23.2","+25.6","","+17.5"
"18","00731","復華富時高息低波","74.7","+0.3","+0.4","05/13","+0.1","+0.65","+0.67","+3.5","+3.48","+6.42","+8.34","+20.6","+45.1","+60.3","","+18.5"
"19","00738U","期元大道瓊白銀","69.75","+0.3","+0.43","05/13","+0.73","+1.03","+2.67","+3.48","+3.39","+3.65","+2.38","-2.84","-2.5","-0.25","","-1.93"
"20","8390","金益鼎","114","+3.5","+3.17","05/13","+0.11","+1.42","+3.05","+3.46","+3.67","+3.81","+3.29","+11.9","+15.2","+11.9","+11.8","+4.8"
"21","3305","昇貿","130.5","+2","+1.56","05/13","-1.18","+2.61","+2.41","+3.41","+3.47","+4.42","+6.38","+6.18","-0.08","+3.93","-0.35","+5.86"
"22","00859B","群益0-1年美債","40.94","+0.12","+0.29","05/13","+0.25","+2.34","+2.94","+3.4","+5.37","+7.62","+28.4","+58.2","+55.8","+69.2","","+52.1"
"23","00909","國泰數位支付服務","49.02","+0.34","+0.7","05/13","+0.23","+0.72","+1.21","+3.32","+9.4","+24.2","+25","+30.2","+44.2","+35.5","","+37.4"
"24","2455","全新","374","-1","-0.27","05/13","+0.49","+1.48","+2.63","+3.31","+4.94","+4.93","+1.91","-2.28","-2.24","-1.9","+3.1","-2.36"
"25","2492","華新科","200","+11.5","+6.1","05/13","+0.92","+0.48","+2","+3.26","+4.95","+8.1","+8.44","+9.41","+9.3","+5.35","-0.18","+11.2"
"26","8069","元太","215","+19.5","+9.97","05/13","+1.39","+3.01","+2.95","+3.24","+3.07","+2.31","-0.58","-3.18","-4.86","+5.42","+23.2","-1.55"
"27","3048","益登","46.45","-0.45","-0.96","05/13","+0.27","+1.74","+2.76","+3.15","+4","+6.24","+6.51","+6.78","+0.98","+4.26","+4.18","+6.74"
"28","4906","正文","38","-1.5","-3.8","05/13","-0.4","-1.47","-2.09","+3.13","+3.58","+0.54","-4.94","-4.63","-12.5","-8.34","-1.43","-4.92"
"29","00401A","主動摩根台灣鑫收","12.81","-0.07","-0.54","05/13","-0.03","+1.39","+1.89","+2.82","+5.31","+0.56","","","","","",""
"30","2409","友達","20.2","-0.5","-2.42","05/13","+0.75","+2.22","+2.64","+2.79","+1.66","-0.36","+2.63","-8.02","-11.6","-16.4","-30.6","-3.24"
"31","00714","群益道瓊美國地產","21.66","+0.08","+0.37","05/13","+0.38","+1.68","+2.03","+2.74","+2.68","+3.89","+7.33","+12.8","+10.6","+12.5","","+10.7"
"32","3236","千如","38.85","+3.5","+9.9","05/13","-0.22","-0.12","-0.19","+2.7","+2.65","+2.51","-0.34","+2.46","+1.34","-1.73","+1.51","+2.24"
"33","4977","眾達-KY","243.5","-27","-9.98","05/13","-0.58","-0.07","+1.64","+2.68","+1.41","+0.1","+7.25","+3.97","-14","-17.5","-40.3","+3.61"
