"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"00740B","富邦全球投等債","38.54","+0.01","+0.03","05/13","+34","+48,659","49","2.35","-2","-350","-16.7","-0.02","-33","-56,456","-57.4","-2.73","+3","+1,064","20.2","0.05"
"00773B","中信優先金融債","35.8","+0.02","+0.06","05/13","+17","+8,412","45.2","0.33","0","0","0","0","-5","-1,730","-35.9","-0.07","+8","+2,407","28.3","0.09"
"00857B","永豐20年美公債","23.03","-0.02","-0.09","05/13","+17","+22,212","55.8","3.75","0","0","0","0","+2","+445","18.6","0.08","+22","+23,218","49.4","3.92"
"00931B","統一美債20年","13.33","0","0","05/13","+17","+31,082","46.2","1.4","0","0","0","0","-2","-534","-7.98","-0.02","+6","+10,028","45.7","0.45"
"00950B","凱基A級公司債","14","+0.01","+0.07","05/13","+17","+39,686","37.3","0.98","0","0","0","0","-20","-46,321","-39","-1.14","+3","+7,752","44.9","0.19"
"00958B","永豐ESG銀行債15+","9.25","-0.01","-0.11","05/13","+17","+7,195","42.2","4.79","0","0","0","0","+1","+60","13.4","0.04","+6","+2,158","36.8","1.44"
"3533","嘉澤","2595","-205","-7.32","05/13","+15","+3,707","12.6","3.29","-1","-879","-20.6","-0.78","-1","-5","-0.12","0","-1","-161","-3.76","-0.14"
"00696B","富邦美債20年","28.7","-0.03","-0.1","05/13","+14","+17,315","45.7","2.53","0","0","0","0","-1","-68","-8.13","-0.01","+17","+6,738","13","0.98"
"00981D","主動中信非投等債","10.36","+0.04","+0.39","05/13","+14","+28,793","25.1","4.62","0","0","0","0","-3","-5,907","-21.9","-0.95","+16","+28,660","21.7","4.6"
"2883","凱基金","21.95","+0.35","+1.62","05/13","+13","+290,743","37.3","1.71","-1","-4,552","-11","-0.03","+3","+1,116","0.7","0.01","+12","+233,709","31.4","1.38"
"2929","淘帝-KY","5.54","+0.04","+0.73","05/13","+13","+762","16.8","0.7","0","0","0","0","0","0","0","0","+6","+465","25.8","0.42"
"00746B","富邦A級公司債","35.34","+0.03","+0.08","05/13","+12","+12,335","73.7","0.5","0","0","0","0","-31","-24,273","-63.1","-0.98","+5","+70","1.39","0"
"2881","富邦金","94.7","+1","+1.07","05/13","+12","+112,526","29.2","0.8","-1","-2,210","-12","-0.02","+4","+847","0.62","0.01","+6","+57,366","29.3","0.41"
"1626","艾美特-KY","10.55","-0.05","-0.47","05/13","+11","+534","37.5","0.36","0","0","0","0","-1","-1","-0.51","0","+11","+556","39.1","0.37"
"2356","英業達","52.8","+4.1","+8.42","05/13","+11","+134,451","33.4","3.75","-1","-56","-0.04","0","+3","+3,623","1.82","0.1","+11","+135,514","33.6","3.78"
"5490","同亨","28.3","-0.05","-0.18","05/13","+11","+1,128","18","1.17","0","0","0","0","0","0","0","0","+11","+1,166","18.6","1.21"
"6206","飛捷","138.5","-1.5","-1.07","05/13","+10","+2,176","6.79","1.52","-6","-110","-0.39","-0.08","-1","-117","-3.25","-0.08","+1","+389","10.8","0.27"
"2458","義隆","142.5","-3","-2.06","05/13","+9","+6,291","16.5","2.07","-1","-95","-2.45","-0.03","-1","-12","-0.3","0","-1","-97","-2.5","-0.03"
"2606","裕民","64.3","+0.4","+0.63","05/13","+9","+15,773","32.1","1.87","-1","-2,798","-38.6","-0.33","+1","+32","0.44","0","+8","+10,227","21.9","1.21"
"6227","茂綸","107","+4","+3.88","05/13","+9","+1,255","13.3","1.65","0","0","0","0","+2","+33","1.25","0.04","+9","+1,312","14","1.72"
"8390","金益鼎","114","+3.5","+3.17","05/13","+9","+3,711","26","3.86","0","0","0","0","+7","+570","4.24","0.59","+9","+4,277","29.9","4.45"
"00772B","中信高評級公司債","33.59","+0.02","+0.06","05/13","+8","+11,551","47.5","0.33","0","0","0","0","-5","-2,987","-20.5","-0.09","+8","+9,530","39.2","0.28"
"00970B","新光BBB投等債20+","9.34","0","0","05/13","+8","+9,711","53","2.36","0","0","0","0","-1","-980","-48.3","-0.24","+6","+8,539","57.6","2.08"
"00984B","大華優利美A債15","16.25","-0.01","-0.06","05/13","+8","+15,321","59.4","8.49","0","0","0","0","+1","+329","22.2","0.18","+8","+13,092","50.8","7.26"
"1339","昭輝","40.7","+0.7","+1.75","05/13","+8","+86","5.43","0.12","0","0","0","0","+1","0","0.16","0","+8","+88","5.57","0.12"
"1457","宜進","14.3","0","0","05/13","+8","+300","26","0.09","0","0","0","0","-3","-3","-0.69","0","0","0","0","0"
"1809","中釉","39","-1.4","-3.47","05/13","+8","+4,433","2.87","2.65","0","0","0","0","-1","-165","-3.41","-0.1","-1","-1","-0.02","0"
"2891","中信金","54.9","+1.4","+2.62","05/13","+8","+138,346","27.6","0.7","+3","+11,029","5.62","0.06","+3","+610","0.31","0","+8","+106,386","21.3","0.54"
"2908","特力","20.7","0","0","05/13","+8","+607","30.3","0.12","0","0","0","0","0","0","0","0","+7","+529","31","0.1"
