"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"00696B","富邦美債20年","28.7","-0.03","-0.1","26W20","05/13","+52","+617,468","43.2","90.2","0","0","0","0","+1","+201","3.72","0.03","+18","+274,062","46.4","40"
"00717","富邦美國特別股","15.2","+0.05","+0.33","26W20","05/13","+46","+20,061","55.6","14.4","0","0","0","0","-3","-1,593","-30.5","-1.14","-1","-645","-33","-0.46"
"00857B","永豐20年美公債","23.03","-0.02","-0.09","26W20","05/13","+27","+142,788","42.3","24.1","0","0","0","0","+2","+440","2.39","0.07","+27","+142,328","42.2","24"
"2637","慧洋-KY","73.9","+0.9","+1.23","26W20","05/13","+21","+73,953","23.9","9.91","-3","-641","-2.33","-0.09","+3","+154","0.56","0.02","+13","+30,688","18.9","4.11"
"00733","富邦臺灣中小","68.4","-0.3","-0.44","26W20","05/13","+20","+24,832","15.7","33.3","0","0","0","0","+13","+24,622","23.2","33.1","+35","+81,886","35.6","110"
"00893","國泰智能電動車","45.2","-0.17","-0.37","26W20","05/13","+20","+34,547","23.1","9.18","0","0","0","0","-1","-958","-23","-0.25","+20","+47,123","31.5","12.5"
"00931B","統一美債20年","13.33","0","0","26W20","05/13","+17","+238,642","55.1","10.8","0","0","0","0","-1","-200","-1.87","-0.01","+17","+275,581","63.7","12.4"
"6234","高僑","55","-0.5","-0.9","26W20","05/13","+17","+6,213","3.13","6.19","0","0","0","0","-2","-182","-0.75","-0.18","+1","+456","6.91","0.45"
"00898","國泰基因免疫革命","8.14","+0.07","+0.87","26W20","05/13","+14","+18,492","46.9","11.5","0","0","0","0","-1","-61","-3.7","-0.04","+14","+18,406","46.7","11.4"
"910322","康師傅-DR","24.7","-0.15","-0.6","26W20","05/13","+14","+826","66.3","3.9","0","0","0","0","0","0","0","0","+14","+826","66.3","3.9"
"00694B","富邦美債1-3","41.48","+0.12","+0.29","26W20","05/13","+13","+8,737","31.6","5.08","0","0","0","0","-15","-10,261","-32.1","-5.96","+1","+5","0.73","0"
"00710B","復華彭博非投等債","18.84","-0.01","-0.05","26W20","05/13","+12","+1,665","14.5","0.91","0","0","0","0","-1","-16","-2.3","-0.01","+19","+22,424","58.2","12.2"
"00746B","富邦A級公司債","35.34","+0.03","+0.08","26W20","05/13","+12","+33,189","54.2","1.34","0","0","0","0","-12","-31,989","-52.3","-1.29","+3","+82","0.49","0"
"2393","億光","72.9","+0.2","+0.28","26W20","05/13","+12","+28,092","14.5","6.34","-1","-21","-0.3","0","-3","-137","-0.37","-0.03","+2","+3,902","15.4","0.88"
"00763U","期街口道瓊銅","35.67","+0.93","+2.68","26W20","05/13","+11","+6,811","10.5","11.9","0","0","0","0","-1","-92","-1.62","-0.16","-1","-73","-1.29","-0.13"
"00902","中信電池及儲能","16.99","+0.07","+0.41","26W20","05/13","+10","+34,925","26.4","14.4","0","0","0","0","+1","+317","5.01","0.13","+10","+65,512","49.6","27.1"
