"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"1","00988A","主動統一全球創新","19.92","-0.01","-0.05","106,457","05/13","+12,035","+21,664","+21,677","+22,649","+22,147","+22,366","+22,736","+22,793","","+22,782"
"2","4919","新唐","166","-15","-8.29","29,760","05/13","+1,158","+1,137","+738","+1,539","+1,438","+2,867","+3,108","+3,085","+3,080","+3,180"
"3","3481","群創","37.5","+2","+5.63","1,379,646","05/13","+2,956","-2,098","+1,075","+1,538","+3,561","+14,173","+6,154","+16,528","+17,020","+9,381"
"4","2441","超豐","97.3","+0.8","+0.83","23,794","05/13","+1,503","+1,588","+1,309","+1,310","+596","+1,545","+1,598","+1,812","+1,815","+1,735"
"5","6116","彩晶","11.25","+0.6","+5.63","497,021","05/13","+274","+865","+949","+1,108","+1,117","+1,133","+707","+1,111","+1,041","+964"
"6","2353","宏碁","28.3","0","0","18,519","05/13","+1,031","+1,017","+1,087","+1,091","+1,086","+1,078","-60","+831","+845","+248"
"7","8042","金山電","106","+8.3","+8.5","5,293","05/13","+776","+829","+799","+1,047","+1,137","+1,140","+990","+1,086","+1,148","+749"
"8","00632R","元大台灣50反1","11.31","+0.1","+0.89","121,900","05/13","+458","+575","+564","+1,008","-716","+2","+698","+1,418","-1,157","+744"
"9","2492","華新科","200","+11.5","+6.1","56,731","05/13","+122","+417","+606","+665","+649","+731","+610","+249","+759","+450"
"10","4960","誠美材","34.35","-3.8","-9.96","27,702","05/13","+279","+473","+421","+544","+555","-147","+546","+526","+534","+553"
"11","5464","霖宏","62","-1.3","-2.05","2,577","05/13","+216","+401","+454","+539","+591","+591","+591","+590","+588","+589"
"12","6432","今展科","47.8","+0.5","+1.06","2,424","05/13","+100","+288","+403","+526","+664","+741","+693","+486","+795","+553"
"13","3450","聯鈞","441","-29.5","-6.27","7,417","05/13","-193","+95","+100","+524","+916","+754","+794","+694","+21","+360"
"14","6173","信昌電","159","+12","+8.16","3,386","05/13","-523","-1,184","+410","+517","+615","+590","+273","+257","+731","-190"
"15","2327","國巨*","420","+0.5","+0.12","53,262","05/13","-11","+99","+73","+470","+199","+423","+741","+360","+842","+736"
"16","1514","亞力","120.5","-3","-2.43","4,499","05/13","+450","+436","+451","+456","+463","+481","+293","+373","-130","+361"
"17","2301","光寶科","211.5","-23","-9.81","45,475","05/13","-84","-39","+154","+434","+479","+498","+357","+207","-62","+51"
"18","3665","貿聯-KY","2500","-275","-9.91","1,079","05/13","+399","+407","+421","+429","+410","+405","+333","+222","+124","+305"
"19","3702","大聯大","110.5","-3.5","-3.07","18,189","05/13","+58","+67","+264","+428","+587","+7","+465","+428","+527","+488"
"20","3717","聯嘉投控","22.3","-0.5","-2.19","1,476","05/13","-179","-394","-462","+417","+1,246","+965","+1,006","+1,391","","+1,393"
"21","4123","晟德","38.3","-0.05","-0.13","1,761","05/13","+10","+83","+349","+399","+557","+729","-317","+793","+819","+513"
"22","2344","華邦電","122","+0.5","+0.41","133,243","05/13","-47","+257","+1,071","+372","+999","+1,355","-9,583","-15,882","-638","-25,961"
"23","8150","南茂","85.5","-1.5","-1.72","28,772","05/13","-60","+387","+379","+359","+544","+510","+522","+198","+665","+417"
"24","8215","明基材","26.95","-0.7","-2.53","2,147","05/13","-2","+1","+1","+301","+380","+385","+390","+382","+392","+388"
"25","3036","文曄","284","+8.5","+3.09","27,420","05/13","+176","+242","+269","+285","+236","-860","+291","+272","+77","+336"
"26","009805","新光美國電力基建","17.06","-0.05","-0.29","11,582","05/13","0","-5,717","-5,717","+283","+278","+284","+264","+282","+284","+284"
"27","8069","元太","215","+19.5","+9.97","38,403","05/13","+142","+235","+250","+270","+280","+271","+277","+265","-4","+239"
"28","3526","凡甲","389","-2.5","-0.64","756","05/13","-54","-52","-26","+269","+280","+296","+283","+252","+285","+268"
"29","6127","九豪","47.5","-0.95","-1.96","6,094","05/13","+12","+72","+97","+206","+225","+52","+122","+261","+244","+57"
"30","3088","艾訊","133.5","+1.5","+1.14","1,532","05/13","+25","+84","+97","+197","+267","+264","+269","+269","+246","+264"
"31","3105","穩懋","495.5","-16.5","-3.22","21,287","05/13","+225","+66","+120","+193","-189","-276","-98","+346","+673","-74"
"32","8105","凌巨","16.2","+1.45","+9.83","34,255","05/13","+165","+192","+193","+193","+192","+146","+26","+123","+155","+27"
"33","3645","達邁","108.5","+1","+0.93","11,776","05/13","+94","+124","+153","+191","+177","-492","+191","+136","+191","+214"
"34","00671R","富邦NASDAQ反1","2.48","0","0","4,837","05/13","+105","+235","+42","+188","+99","+137","-257","+496","+1,560","+323"
"35","4931","新盛力","197","-5.5","-2.72","27,500","05/13","-36","-14","+161","+188","+93","+247","-158","-811","-3,302","-1,346"
"36","5425","台半","76.2","-4.9","-6.04","22,027","05/13","-61","+35","+122","+184","+283","+305","+275","+228","+258","+237"
"37","3357","臺慶科","213","+19","+9.79","10,424","05/13","+70","+122","+131","+180","+177","+325","+148","+259","+274","-69"
"38","5351","鈺創","87","+3.2","+3.82","49,682","05/13","+100","+137","+206","+179","+188","+275","+177","-406","+331","-247"
"39","2236","百達-KY","139","-0.5","-0.36","285","05/13","+30","+48","+150","+178","+436","+407","+388","-1,821","+416","+432"
"40","4977","眾達-KY","243.5","-27","-9.98","15,512","05/13","-12","+162","+162","+176","+160","+215","-687","+135","+135","-52"
"41","2337","旺宏","168","+15","+9.8","239,710","05/13","+1,409","+1,130","+1,344","+175","-446","+3,341","-11,591","-8,147","+326","-3,318"
"42","4923","力士","39","+1.5","+4","1,615","05/13","+166","+185","+185","+173","+161","+116","+213","+213","+213","+213"
"43","3691","碩禾","154","-1","-0.65","4,298","05/13","+60","+137","+169","+169","+234","+268","+201","+178","+165","+182"
"44","2375","凱美","96","+1.2","+1.27","7,093","05/13","+24","+70","+86","+158","+150","+190","+127","-70","+232","-26"
"45","3583","辛耘","966","+14","+1.47","6,906","05/13","+4","+35","+153","+157","+246","+128","+756","+735","+620","+754"
"46","00887","永豐中國科技50大","16.59","+0.4","+2.47","10,212","05/13","+16","+52","+153","+147","+156","+581","+515","-434","+731","+267"
