"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"6669","緯穎","5435","-145","-2.6","05/14","-6","-2,708","-15.7","-1.46","+19","+7,514","13","4.04","-2","-79","-1.68","-0.04","-3","-621","-6.98","-0.33"
"8155","博智","418.5","-5.5","-1.3","05/14","-1","-102","-3.9","-0.17","+13","+2,375","4.1","3.91","-1","-121","-4.63","-0.2","-1","-203","-7.76","-0.33"
"3583","辛耘","929","-37","-3.83","05/14","-3","-1,517","-8.43","-1.89","+11","+2,415","5.32","3.01","-3","-191","-1.06","-0.24","-3","-1,221","-6.78","-1.52"
"2383","台光電","4920","-10","-0.2","05/14","+4","+949","9.82","0.26","+10","+1,437","5.25","0.4","-1","-45","-1.93","-0.01","+4","+1,696","17.6","0.47"
"4966","譜瑞-KY","819","+10","+1.24","05/14","+3","+3,684","10.5","4.67","+10","+5,342","9.4","6.77","+2","+128","0.67","0.16","+6","+9,913","19.5","12.6"
"1785","光洋科","149","-5","-3.25","05/14","-1","-407","-1.72","-0.07","+9","+1,122","0.28","0.19","-5","-565","-0.32","-0.09","-1","-427","-1.8","-0.07"
"2344","華邦電","134","+12","+9.84","05/14","+4","+73,154","7.08","1.63","+9","+54,429","2.49","1.21","+1","+2,044","0.49","0.05","+4","+110,448","10.7","2.45"
"2408","南亞科","341","+20","+6.23","05/14","+1","+208","0.11","0.01","+9","+40,955","2.84","1.32","+4","+3,608","0.59","0.12","+1","+4,805","2.64","0.16"
"8210","勤誠","1460","-60","-3.95","05/14","-3","-1,805","-16.6","-1.44","+9","+5,008","13.2","4","-3","-171","-1.57","-0.14","-1","-339","-14.7","-0.27"
"2303","聯電","108","+9.6","+9.76","05/14","+1","+24,455","7.32","0.19","+8","+68,627","3.09","0.55","+1","+3,460","1.04","0.03","+1","+33,219","9.95","0.26"
"5269","祥碩","1465","+35","+2.45","05/14","-2","-1,828","-18.4","-2.44","+7","+290","1.12","0.39","+1","+6","0.17","0.01","-2","-1,960","-19.7","-2.62"
"6415","矽力*-KY","503","+35.5","+7.59","05/14","+1","+1,157","15.7","0.3","+7","+1,294","3.08","0.33","+1","+17","0.23","0","+1","+1,487","20.2","0.38"
"4958","臻鼎-KY","436.5","-6","-1.36","05/14","-1","-11,051","-15.9","-1.16","+6","+3,683","1.17","0.38","-1","-387","-0.56","-0.04","-1","-10,616","-15.3","-1.11"
"00935","野村臺灣新科技50","54.7","+0.4","+0.74","05/14","-3","-2,865","-7.65","-0.51","+5","+941","1.42","0.17","+1","+195","2.27","0.03","-6","-16,912","-21.2","-3"
"3017","奇鋐","2555","-30","-1.16","05/14","-1","-1,172","-16.4","-0.3","+5","+3,279","10.7","0.84","-1","-45","-0.63","-0.01","-1","-908","-12.7","-0.23"
