"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"0050","元大台灣50","96.05","+0.55","+0.58","26W20","05/14","-3","-284,046","-19.4","-1.53","+15","+103,988","1.09","0.56","-5","-173,793","-6.88","-0.93","-3","-388,025","-26.5","-2.09"
"2455","全新","358.5","-15.5","-4.14","26W20","05/14","+1","+5,706","48.7","3.09","+8","+8,819","1.59","4.77","-4","-1,551","-0.89","-0.84","+1","+5,135","43.9","2.78"
"6640","均華","1460","+35","+2.46","26W20","05/14","-1","-30","-1.62","-0.11","+7","+731","2.94","2.56","+2","+18","0.47","0.06","+2","+101","2.68","0.35"
"6715","嘉基","487","+19","+4.06","26W20","05/14","+2","+956","6.3","1.42","+7","+3,891","6.97","5.8","+1","+8","0.14","0.01","+2","+1,926","12.7","2.87"
"9910","豐泰","70.5","-1.1","-1.54","26W20","05/14","-2","-3,420","-15.2","-0.35","+7","+6,502","9.68","0.66","-4","-237","-0.53","-0.02","-2","-1,352","-6.03","-0.14"
"1785","光洋科","149","-5","-3.25","26W20","05/14","-3","-45,940","-9.33","-7.71","+6","+1,660","0.21","0.28","-1","-295","-0.25","-0.05","-3","-44,978","-9.13","-7.55"
"6679","鈺太","315","-5","-1.56","26W20","05/14","-1","-26","-1.27","-0.05","+6","+142","0.74","0.26","-1","-90","-4.37","-0.16","-1","-81","-3.94","-0.15"
"2059","川湖","5010","-240","-4.57","26W20","05/14","-1","-64","-1.88","-0.07","+5","+1,588","7.38","1.67","-1","-10","-0.28","-0.01","-1","-64","-1.89","-0.07"
"3711","日月光投控","548","0","0","26W20","05/14","-5","-34,058","-5.81","-0.77","+5","+22,092","3.77","0.5","-1","-356","-0.38","-0.01","+1","+1,996","2.16","0.05"
"6531","愛普*","1050","+10","+0.96","26W20","05/14","-3","-4,062","-6.67","-2.49","+5","+3,601","2.04","2.21","+1","+28","0.08","0.02","-3","-1,490","-2.45","-0.91"
"6669","緯穎","5435","-145","-2.6","26W20","05/14","-4","-5,228","-9.51","-2.81","+5","+7,631","11.9","4.11","-1","-14","-0.13","-0.01","-1","-595","-5.36","-0.32"
"8210","勤誠","1460","-60","-3.95","26W20","05/14","-3","-4,520","-8.68","-3.61","+5","+6,817","7.55","5.44","-1","-132","-0.91","-0.11","+2","+2,731","7.18","2.18"
"2330","台積電","2270","+50","+2.25","26W20","05/14","-3","-117,143","-19.3","-0.45","+4","+37,379","4.68","0.14","-1","-1,460","-0.82","-0.01","-1","-19,665","-11.1","-0.08"
"2855","統一證","40.15","-1.5","-3.6","26W20","05/14","-2","-9,134","-8.04","-0.57","+4","+2,918","1.63","0.18","0","0","0","0","-2","-7,529","-6.63","-0.47"
"3026","禾伸堂","357.5","+32.5","+10","26W20","05/14","+2","+3,230","2.63","1.95","+4","+10,371","5.72","6.25","+1","+385","0.96","0.23","+2","+13,200","10.7","7.96"
"4958","臻鼎-KY","436.5","-6","-1.36","26W20","05/14","+1","+10,694","4.78","1.12","+4","+20,144","1.73","2.11","+1","+704","0.31","0.07","+1","+14,386","6.42","1.5"
"5289","宜鼎","1865","+100","+5.67","26W20","05/14","-2","-758","-1.43","-0.79","+4","+2,883","2.87","2.99","-2","-310","-0.58","-0.32","-1","-568","-2.83","-0.59"
"1477","聚陽","223","-6","-2.62","26W20","05/14","-2","-7,168","-26.8","-2.91","+3","+2,200","6.41","0.89","-3","-151","-0.44","-0.06","-2","-5,076","-19","-2.06"
"1560","中砂","650","+17","+2.69","26W20","05/14","-2","-1,323","-3.97","-0.9","+3","+527","1.23","0.36","+1","+17","0.09","0.01","-2","-1,044","-3.13","-0.71"
"2204","中華","52.2","-0.7","-1.32","26W20","05/14","-6","-9,692","-25.7","-1.75","+3","+2,375","12.1","0.43","-1","-68","-0.74","-0.01","-1","-3,927","-42.8","-0.71"
"2313","華通","245.5","+8.5","+3.59","26W20","05/14","-1","-9,352","-2.78","-0.78","+3","+3,164","0.28","0.27","-2","-1,248","-0.16","-0.1","-1","-8,512","-2.53","-0.71"
"2327","國巨*","462","+42","+10","26W20","05/14","-1","-18,947","-10.2","-0.91","+3","+25,431","4.09","1.23","+3","+5,275","0.85","0.25","-1","-2,888","-1.56","-0.14"
"2344","華邦電","134","+12","+9.84","26W20","05/14","+4","+243,204","6.65","5.4","+3","+60,215","2.06","1.34","+4","+10,614","0.29","0.24","+4","+302,374","8.27","6.72"
"2408","南亞科","341","+20","+6.23","26W20","05/14","+3","+113,877","5.67","3.68","+3","+45,157","2.25","1.46","+3","+7,257","0.36","0.23","+3","+166,291","8.29","5.37"
"2727","王品","237","+1","+0.42","26W20","05/14","+3","+1,784","28.9","2.15","+3","+328","5.31","0.4","+3","+15","0.24","0.02","+3","+2,126","34.4","2.56"
"2731","雄獅","161","+1","+0.62","26W20","05/14","-9","-13,053","-37.1","-14","+3","+1,305","10.1","1.4","-1","-10","-0.23","-0.01","-9","-12,359","-35.1","-13.2"
"3583","辛耘","929","-37","-3.83","26W20","05/14","-5","-4,752","-6.26","-5.91","+3","+2,229","4.29","2.77","-1","-144","-0.66","-0.18","-1","-544","-2.5","-0.68"
"3592","瑞鼎","263","+3.5","+1.35","26W20","05/14","+1","+4","0.06","0.01","+3","+1,293","7.8","1.7","-1","-11","-0.16","-0.01","+2","+1,043","7.23","1.38"
"3706","神達","81.2","-0.9","-1.1","26W20","05/14","-1","-16,312","-21.5","-1.23","+3","+354","0.17","0.03","-1","-1,052","-1.38","-0.08","-1","-17,313","-22.8","-1.3"
"4105","東洋","76","+0.4","+0.53","26W20","05/14","+1","+62","2.63","0.02","+3","+2,087","19.7","0.84","+1","+30","1.27","0.01","+1","+386","16.4","0.16"
"4746","台耀","53.1","+0.2","+0.38","26W20","05/14","-2","-1,719","-15.4","-1.43","+3","+2,023","12","1.68","-1","-7","-0.14","-0.01","-1","-677","-14.2","-0.56"
"4966","譜瑞-KY","819","+10","+1.24","26W20","05/14","+2","+3,942","7.11","4.99","+3","+5,274","8.01","6.68","+2","+544","0.98","0.69","+2","+9,708","17.5","12.3"
"5269","祥碩","1465","+35","+2.45","26W20","05/14","-1","-1,622","-8.47","-2.17","+3","+298","0.82","0.4","-1","-145","-0.75","-0.19","-1","-1,496","-7.81","-2"
