"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"1","3481","群創","36.1","+0.7","+1.98","05/15","+2,533","+19,609","+31,317","-72,726","-80,368","-76,263","-81,611","+448,856","+585,844","+310,759"
"2","2356","英業達","52.2","-1","-1.88","05/15","-20,110","-29,435","-30,819","-35,356","-60,573","-95,709","-97,756","-58,405","-118,569","-65,756"
"3","2881","富邦金","96.1","+1.5","+1.59","05/15","-4,213","-7,289","-13,160","-33,454","-53,317","-33,952","+91,591","+56,154","+206,637","+62,306"
"4","2027","大成鋼","39.85","+0.05","+0.13","05/15","-2,288","-10,392","-14,750","-30,315","-36,202","-24,397","+32,033","+86,518","+91,453","+52,492"
"5","2887","台新新光金","23.8","+0.7","+3.03","05/15","+3,072","-7,060","-15,387","-26,832","-68,696","-56,407","+108,851","+152,616","-914,290","-7,216"
"6","6116","彩晶","10.25","-0.15","-1.44","05/15","-16,509","-17,491","-18,093","-25,222","-26,952","-35,711","-5,345","+97,444","+79,573","+100,799"
"7","2317","鴻海","248.5","+4","+1.64","05/15","+1,248","-8,672","-14,996","-23,130","-55,033","-50,496","+5,635","+38,343","-2,656","+41,431"
"8","2312","金寶","27.85","-0.4","-1.42","05/15","-32","-4,350","-16,613","-22,090","-19,257","+24,142","+21,126","-1,997","+66,398","-44,430"
"9","2301","光寶科","204.5","-2.5","-1.21","05/15","+1,138","-3,274","-2,054","-18,379","-37,438","-31,653","+13,868","-64,565","+5,034","+19,017"
"10","0056","元大高股息","44.45","-0.7","-1.55","05/15","+5,491","+2,004","+1,939","-18,199","-17,828","-19,750","+42,300","+52,622","+79,634","-18,813"
"11","2324","仁寶","28.65","-1.6","-5.29","05/15","+5,884","-16,731","-15,459","-16,731","-16,686","-12,884","+34,049","+186,529","+399,548","+108,028"
"12","00631L","元大台灣50正2","31.26","-0.7","-2.19","05/15","+245","-16,120","-16,683","-15,048","+4,388","+189,008","+337,556","+333,460","+328,488","+336,961"
"13","2882","國泰金","77.9","+1.2","+1.56","05/15","-1,884","-3,925","-5,899","-15,039","-39,741","+19,244","+120,149","-120,067","+188,440","+49,514"
"14","1216","統一","75.7","+0.9","+1.2","05/15","-8,298","-10,094","-7,375","-11,557","+2,631","+14,043","+50,551","+144,368","+189,948","+90,654"
"15","00919","群益台灣精選高息","25.76","-0.13","-0.5","05/15","-8,606","-8,423","-5,892","-10,773","-11,353","-32,908","+43,722","-72,490","-32,605","-55,039"
"16","00830","國泰費城半導體","82.9","-1.4","-1.66","05/15","-6,341","-7,469","-7,628","-10,400","-10,520","-12,146","-6,268","+10,252","+7,006","+10,242"
"17","00900","富邦特選高股息30","16.68","-0.39","-2.28","05/15","-259","-2,864","-5,719","-9,484","-15,134","-12,531","+12,672","-39,096","+8,077","-8,792"
"18","6282","康舒","49.6","-0.8","-1.59","05/15","-1,816","-4,331","-5,842","-9,263","-11,016","-9,419","-254","-3,650","+5,249","-23,881"
"19","2408","南亞科","311.5","-29.5","-8.65","05/15","-3,753","-6,351","-6,681","-9,200","-17,292","-22,850","+14,311","+11,789","-56,716","+14,439"
"20","2014","中鴻","17.3","-0.6","-3.35","05/15","-440","-2,457","-4,806","-7,695","-13,256","-19,587","-27,612","-22,262","+861","-15,869"
"21","6005","群益證","31.25","-0.35","-1.11","05/15","-701","-3,422","-4,123","-6,964","-6,158","+25,598","+41,070","+32,501","-32,635","+30,716"
"22","2610","華航","18.5","-0.05","-0.27","05/15","-7,684","-6,842","-6,687","-6,647","-5,383","-28,345","+129,307","+41,131","+112,797","+51,460"
"23","6285","啟碁","260","-2","-0.76","05/15","-625","-1,532","-4,317","-6,608","-3,860","-6,438","-119","+3,825","-477","-3,311"
"24","2376","技嘉","326.5","-0.5","-0.15","05/15","-707","-4,064","-3,274","-5,626","-5,744","-12,899","-22,781","+18,507","+647","+4,795"
"25","1326","台化","44.45","-0.5","-1.11","05/15","-217","-1,820","-2,875","-4,906","-8,314","-67,004","-43,155","-82,234","-95,103","-71,669"
"26","2352","佳世達","25.2","-0.4","-1.56","05/15","-298","-1,660","-2,858","-4,442","-2,907","-5,345","-5,331","+7,219","-12,180","+8,692"
"27","00680L","元大美債20正2","6.72","-0.08","-1.18","05/15","0","0","-1,791","-4,420","-6,253","-8,991","-41,595","-78,312","-110,439","-66,571"
"28","2363","矽統","60.5","-2.5","-3.97","05/15","-675","-909","-1,759","-4,282","-5,495","-5,374","-12,885","-16,295","+19,309","-13,702"
"29","2542","興富發","43.75","+0.6","+1.39","05/15","-1,095","-1,633","-3,699","-4,245","+1,181","+10,069","+16,593","-1,131","+48,491","+10,579"
