"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"1","2633","台灣高鐵","25.7","-0.2","-0.77","05/15","84.6","85.5","87.1","78.6","67.9","60","68","67.7","61.5","51.8","","67.2"
"2","2910","統領","21.6","+0.15","+0.7","05/15","50","85.7","83.9","75","39.1","29.8","28.8","25.7","20","14.6","14.4","27.7"
"3","2530","華建","21","-0.05","-0.24","05/15","63.5","63.4","83.7","78.3","62.2","48.7","45.5","44.1","41.1","37.9","23.5","45.2"
"4","00786B","元大10年IG銀行債","32.68","-0.13","-0.4","05/15","0","86.2","78.4","56.1","29.5","17.3","20.9","32","23.7","9.46","","26"
"5","2923","鼎固-KY","21.65","-0.25","-1.14","05/15","85.6","87.9","73.9","59.7","35","23.4","36","36.5","41.3","39.7","29.8","35.3"
"6","5871","中租-KY","106","-2","-1.85","05/15","70","72","73.3","74","69.2","52.1","53","46.2","52.6","59","55.5","48.9"
"7","5904","寶雅","546","-7","-1.27","05/15","73.6","73.6","72.8","66.6","54.6","46.9","46.5","49.4","47.8","48.3","46.1","47.2"
"8","2801","彰銀","20.25","-0.15","-0.74","05/15","81.4","79.8","72.6","71.9","63.1","53.8","52.6","51.2","42.4","39.2","39.8","48.2"
"9","2347","聯強","82.4","-0.9","-1.08","05/15","74.1","71.6","71.9","63","59.1","55.1","47.1","55.1","55.9","53.2","49","44.6"
"10","1102","亞泥","34.35","-0.85","-2.41","05/15","89.7","84.4","71.8","71.4","63.4","56.4","63.8","65.3","62.4","53.8","48.3","62.4"
"11","1476","儒鴻","339.5","-2","-0.59","05/15","76","78.4","71.7","69.7","70","71.1","76.6","71.9","67.8","63.1","48","71.3"
"12","2704","國賓","41.6","-0.6","-1.42","05/15","74.9","77.7","70.8","51.8","47.8","46.3","47.7","50.8","60.9","34.6","24.5","48.9"
"13","2006","東和鋼鐵","65","-1.1","-1.66","05/15","77.1","69","70.8","66.9","64.9","68.5","42.4","47.5","51.5","45.2","29.5","42.9"
"14","1590","亞德客-KY","1465","0","0","05/15","73.3","68.1","69.9","71.1","72.4","72.6","74","71.9","72.8","72.1","54","70.7"
"15","2207","和泰車","468","-0.5","-0.11","05/15","65","71.8","69.5","71.4","71.3","70.6","69.1","70.1","70.4","68.2","61","68.3"
"16","00856B","永豐1-3年美公債","37.54","-0.02","-0.05","05/15","0","74.4","68.7","66.1","48.4","46.6","25.9","13.1","7.1","1.5","","19.9"
"17","1101","台泥","24.1","-0.45","-1.83","05/15","64.2","66.6","68.5","60.6","53.5","53.9","52.8","45.8","43.8","47.4","45.4","46.3"
"18","8463","潤泰材","21.4","-0.45","-2.06","05/15","77.1","69.2","68.4","52.1","37.4","32.2","13.3","6.8","3.91","0.89","0.13","11.1"
"19","2912","統一超","227.5","+1","+0.44","05/15","60","62.2","67.9","69.8","68.4","65.7","54.8","58.5","60.4","63.6","67.4","55.5"
"20","5007","三星","57","0","0","05/15","65.2","72.4","67.2","60.3","38.2","24.1","28.9","15.8","14.5","12.9","14","20"
"21","3023","信邦","281","-12","-4.1","05/15","67.2","66.2","67.2","56.7","44.4","36.2","43.2","48.2","53.7","56.7","43.2","44.6"
"22","1402","遠東新","26.45","-0.3","-1.12","05/15","67.8","70","66.9","50.1","55.4","63.6","59.4","55.3","54.6","53.8","46.6","55.7"
"23","1712","興農","40.9","-0.35","-0.85","05/15","74.7","68.2","66.2","57.6","52.4","49.5","39.8","38.9","40","35","24.1","37.8"
"24","2474","可成","185","-5.5","-2.89","05/15","72.2","68.1","65.9","60.8","48.9","38.9","51","51","57.1","54.5","45.5","50.3"
"25","4938","和碩","76.5","-0.5","-0.65","05/15","64.6","67.6","64.6","64.3","57.1","53.5","47.4","47.4","51.2","49","48.8","45"
"26","4560","強信-KY","34.15","-0.65","-1.87","05/15","69.4","67","64.5","59.6","50","52.1","53.7","53","50","50.2","","53.3"
"27","5534","長虹","76.3","-0.3","-0.39","05/15","65.8","68","64","57.7","53.3","53.6","42.9","38.8","43.8","35.7","31.5","43.4"
"28","2849","安泰銀","13.2","+0.05","+0.38","05/15","54.4","67.8","63.9","61.2","37.6","29.9","37.5","34.7","35.6","33.9","27","36"
"29","2880","華南金","32.4","-0.2","-0.61","05/15","49.7","61.7","63.6","70.6","67.9","60.3","64","62.9","57.8","55.4","47.1","62"
"30","6782","視陽","189","-1","-0.53","05/15","59.9","61.8","63.6","59.8","52.8","40.5","34.7","36.4","36.2","32","","35"
"31","2385","群光","123.5","-3","-2.37","05/15","62.6","62","63.4","55.9","46.2","44.7","48.5","46.4","46.8","49.2","53.5","46.3"
