"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"1","00715L","期街口布蘭特正2","53.6","+2.4","+4.69","26W20","05/15","48.5","+0.89","46.8","+2.73","44.9","+2.05"
"2","8093","保銳","18.7","+0.4","+2.19","26W20","05/15","47","0","47","0","44.3","0"
"3","4513","福裕","15.5","-0.9","-5.49","26W20","05/15","42.2","-0.17","42.2","-0.17","41.4","-0.17"
"4","4967","十銓","277.5","+8.5","+3.16","26W20","05/15","20.8","-3.14","19.3","-1.75","17.4","-0.6"
"5","00962","台新AI優息動能","14.43","-0.03","-0.21","26W20","05/15","23.9","-2.53","23.9","-0.97","19.8","+0.87"
"6","4939","亞電","60.2","+0.1","+0.17","26W20","05/15","20.7","+0.24","17.9","-1.04","15.4","-1.02"
"7","1514","亞力","118","-1","-0.84","26W20","05/15","41.3","-0.84","37.4","-1.61","35.8","-1.3"
"8","3234","光環","109","-4","-3.54","26W20","05/15","25.3","+0.65","20.5","+0.07","19.7","+0.07"
"9","00916","國泰全球品牌50","27.28","-0.27","-0.98","26W20","05/15","16.6","-0.61","16.6","-0.61","12.4","+0.79"
"10","00920","富邦ESG綠色電力","25.05","-0.38","-1.49","26W20","05/15","3.59","-9.89","0","-13.5","0","-8.81"
"11","6805","富世達","1750","-5","-0.28","26W20","05/15","53.2","-0.88","48.1","-0.94","46.7","-2.38"
"12","00907","永豐優息存股","16.15","-0.01","-0.06","26W20","05/15","9.83","+0.72","9.83","+0.72","8.82","+1.19"
"13","00988A","主動統一全球創新","19.85","+0.03","+0.15","26W20","05/15","20.8","+2.77","18.7","+2.55","17.6","+2.63"
"14","00989B","台新美國非投等債","10.06","+0.03","+0.3","26W20","05/15","38.5","+3.93","37.5","+3.94","32.9","+3.97"
"15","6282","康舒","57.2","-1.3","-2.22","26W20","05/15","43.8","+1.63","42.7","+1.54","41.9","+1.83"
"16","3324","雙鴻","998","-12","-1.19","26W20","05/15","44","+0.98","37.4","-1.86","31.3","-1.9"
"17","6225","天瀚","23.1","-0.45","-1.91","26W20","05/15","56.5","0","54.1","0","50.7","0"
"18","6126","信音","41.55","+2.95","+7.64","26W20","05/15","32.9","+0.83","29.7","+0.19","29.1","+0.89"
"19","00983B","大華優利美公債20","15.59","+0.03","+0.19","26W20","05/15","43.7","+0.16","43.7","+0.16","43.7","+0.16"
"20","009810","玉山全球藍籌100","20.11","-0.14","-0.69","26W20","05/15","18","+0.26","14.8","+0.32","14.8","+0.32"
"21","2406","國碩","39.4","+3.55","+9.9","26W20","05/15","34.6","+0.07","32.9","-0.03","31.4","+0.2"
"22","6806","森崴能源","4.48","-0.49","-9.86","26W20","05/15","56.6","+0.96","56.3","+1.18","56","+0.87"
