"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"1","00755B","群益投資級公用債","32.67","-0.15","-0.46","05/15","49.2","49.3","49.3","49.4","40.8","24.5","11.2","5.8","2.9","0.53","","7.6"
"2","2606","裕民","62.8","-1.8","-2.79","05/15","53","49.4","47.4","43.9","32","22.5","12.9","8.22","7.68","5.05","2.85","13.2"
"3","2887","台新新光金","23.8","+0.7","+3.03","05/15","12.1","32.1","36.8","43","44.3","36.5","15.4","8.76","5.47","3.93","2.14","12"
"4","2882","國泰金","77.9","+1.2","+1.56","05/15","38.7","36.2","29.4","26.7","22.7","19.3","11.5","15.6","8.34","4.91","2.43","12"
"5","2881","富邦金","96.1","+1.5","+1.59","05/15","36.7","34.8","32.2","26.7","21.6","18.2","11.8","11.7","7.35","4.48","2.13","13.4"
"6","6805","富世達","1735","-45","-2.53","05/15","4.08","21.1","23.4","21.7","19.5","13.4","9.3","7.51","4.94","","","9.67"
"7","3665","貿聯-KY","2095","-155","-6.89","05/15","33","28.7","26.9","21.5","19.1","12.5","8.55","8.29","6.35","5.17","3.83","10.2"
"8","6592B","和潤企業乙特","97.3","+0.1","+0.1","05/15","0","0","32.6","21.1","11.7","7.37","4.91","23.8","12","","","10.4"
"9","2891","中信金","54.8","0","0","05/15","18","27.4","21.9","18.4","16.9","19.7","11.2","16.3","12","6.47","3.08","12"
"10","6023","元大期","98.7","-0.3","-0.3","05/15","0","0","15.7","15.6","8.82","5.63","1.77","1.39","1.7","2.48","1","1.67"
"11","3131","弘塑","2870","-65","-2.21","05/15","10.6","11.8","10.5","14.7","7.63","7.71","4.01","3.54","4.15","4.38","4.09","4.28"
"12","2062","橋椿","19.1","-0.5","-2.55","05/15","14.9","17.9","14.9","14.5","8.08","4.13","2.91","2.38","2.1","0.29","0.63","1.79"
"13","3167","大量","735","-30","-3.92","05/15","6.94","3.8","2.72","13.2","10.6","8.22","2.55","1.19","0.43","0.31","0.27","2.24"
"14","6274","台燿","1305","-145","-10","05/15","0.32","24.3","15.9","13","3.74","2.86","5.9","4.32","2.77","2.36","3.39","5.71"
"15","9938","百和","43.8","-0.7","-1.57","05/15","27.9","25.6","19.7","12.4","6.13","2.95","2.29","1.08","0.75","0.13","0.1","3.34"
"16","6024","群益期","56.5","0","0","05/15","0","0","6.64","11.9","5.51","3.3","1.11","0.66","0.87","2.48","1.2","0.81"
"17","6442","光聖","1740","-115","-6.2","05/15","17.2","10.8","12.7","11.9","9.84","10.1","5.55","3.32","1.9","0.89","0.71","4.19"
"18","3533","嘉澤","2330","-120","-4.9","05/15","1.58","7.24","13.9","11.3","8.27","6.09","4.09","3.66","4.3","5.52","5.9","3.25"
"19","3264","欣銓","226","-3","-1.31","05/15","24.1","16.2","14.4","10.9","4.76","3.53","3.16","2.4","4.55","5.38","4.03","2.66"
"20","3702","大聯大","110","-1","-0.9","05/15","9.35","6.98","15.4","10.7","8.66","19.3","9.51","12.8","15.8","13.2","7.52","10.7"
"21","00965","元大航太防衛科技","25.21","-0.41","-1.6","05/15","3.66","1.83","7.06","10.2","8.02","4.68","3.64","4.13","4.48","","","4.32"
"22","6121","新普","368","-4.5","-1.21","05/15","9.1","15.2","15","9.94","9.56","10.5","8.16","17.2","15.3","11.4","5.17","17.5"
"23","2368","金像電","1290","-140","-9.79","05/15","14.8","8.41","12.1","9.65","8.28","5.21","3.14","3.55","3.37","3.73","2.08","4.63"
"24","7751","竑騰","1625","+75","+4.84","05/15","2.06","1.29","5.61","8.73","11.1","6.03","2.96","1.31","","","","1.8"
"25","3443","創意","4845","-230","-4.53","05/15","17.9","16.4","12.6","8.26","4.2","3.66","3.15","2.19","2.36","2.31","2.06","2.67"
"26","2347","聯強","82.4","-0.9","-1.08","05/15","6.62","7.51","8.67","8.21","10.3","10.6","6.49","13.3","13.4","14.1","7.3","10"
"27","1590","亞德客-KY","1465","0","0","05/15","15.4","15","12","7.84","3.79","1.89","1.68","1.13","1.26","2.18","2.08","1.29"
"28","2883","凱基金","21.85","-0.25","-1.13","05/15","13.5","8.15","8.88","7.78","10.8","7.69","3.68","3.44","3.04","4.01","2.46","3.59"
"29","2884","玉山金","31.95","+0.1","+0.31","05/15","4.7","8.68","8.23","7.74","14.8","19.3","9.85","5.53","4.92","4.56","1.85","8.17"
