"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"1","00981A","主動統一台股增長","28.42","-1.02","-3.46","462,470","05/15","-1,671","-10,923","-10,669","-24,255","-34,396","+22,924","+128,727","+136,632","","+92,098"
"2","2409","友達","19.05","-0.5","-2.56","317,635","05/15","-10,084","-20,730","-34,722","-14,666","-14,093","+113","-10,040","+91,929","+130,495","+55,282"
"3","00631L","元大台灣50正2","31.26","-0.7","-2.19","260,115","05/15","-5,857","-8,292","-7,336","-13,291","-212","+14,940","+127,471","+126,015","+123,233","+127,553"
"4","8069","元太","210","-16","-7.08","9,357","05/15","+53","-1,640","-3,220","-10,729","-4,576","-3,788","-1,932","-1,239","+1,197","-456"
"5","2324","仁寶","28.65","-1.6","-5.29","119,388","05/15","+2,129","+1,572","-7,430","-7,112","-4,958","+13,963","+18,528","+15,528","+41,339","+17,888"
"6","1785","光洋科","153","+4","+2.68","26,614","05/15","+177","-2,537","-5,266","-6,273","+132","+2,604","+20,767","+14,426","+14,536","+12,904"
"7","2027","大成鋼","39.85","+0.05","+0.13","47,747","05/15","-1,196","-5,604","-5,777","-6,075","-7,228","-10,016","-2,658","+777","+13,444","-3,504"
"8","2489","瑞軒","40.35","-0.2","-0.49","21,839","05/15","-1,676","-2,494","-4,196","-5,672","-7,232","-3,546","+5,162","+38,630","+35,281","+38,592"
"9","4927","泰鼎-KY","48.4","-2","-3.97","13,249","05/15","-2,489","-1,856","-3,523","-5,480","-7,520","+1,569","+6,291","+5,817","+21,171","+1,510"
"10","00637L","元大滬深300正2","21.75","-0.58","-2.6","32,274","05/15","+852","-4,405","-4,031","-5,432","-5,576","-17,555","-44,987","-45,571","-159,475","-28,316"
"11","3026","禾伸堂","327","-30.5","-8.53","2,665","05/15","-462","-1,052","-1,522","-5,244","-6,631","-6,645","+8,830","+8,744","+11,380","+8,474"
"12","4919","新唐","154.5","-5.5","-3.44","22,939","05/15","-1,670","-3,844","-4,323","-4,931","+1,811","+6,666","+15,358","+16,195","+17,464","+15,759"
"13","3036","文曄","270","-1.5","-0.55","15,103","05/15","-944","-998","-1,958","-4,647","+174","+2,381","+4,042","+3,634","+2,111","+3,667"
"14","00999A","主動野村臺灣高息","10.26","-0.29","-2.75","97,928","05/15","-1,389","-2,767","-4,448","-4,508","+9,662","","","","",""
