代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 週別,更新 日期,外資 連續 買賣 週數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 週數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 週數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 週數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
00696B,富邦美債20年,28.24,-0.25,-0.88,26W21,05/18,53,621446,43.2,90.6,0,0,0.0,0.0,1,131,6.91,0.02,19,275443,46.0,40.1
00857B,永豐20年美公債,22.66,-0.2,-0.87,26W21,05/18,28,147648,42.8,24.8,0,0,0.0,0.0,1,239,10.6,0.04,28,145757,42.3,24.5
00733,富邦臺灣中小,67.2,0.5,0.75,26W21,05/18,21,27881,17.3,37.4,0,0,0.0,0.0,14,25166,23.0,33.8,36,85479,36.6,115.0
00931B,統一美債20年,13.11,-0.12,-0.91,26W21,05/18,18,242304,54.1,10.9,0,0,0.0,0.0,-2,-3467,-13.3,-0.16,18,275976,61.6,12.5
00710B,復華彭博非投等債,18.86,0.04,0.21,26W21,05/18,13,1767,14.5,0.96,0,0,0.0,0.0,-1,-33,-14.3,-0.02,20,22566,57.6,12.3
00746B,富邦A級公司債,35.0,-0.14,-0.4,26W21,05/18,13,35237,54.9,1.42,0,0,0.0,0.0,-13,-34272,-53.3,-1.39,-2,-168,-2.64,-0.01
00763U,期街口道瓊銅,33.54,-0.64,-1.87,26W21,05/18,12,7605,10.9,13.8,0,0,0.0,0.0,-1,-504,-37.3,-0.92,-1,-468,-34.6,-0.85
00902,中信電池及儲能,16.36,-0.25,-1.51,26W21,05/18,11,35120,25.2,14.5,0,0,0.0,0.0,2,2804,20.7,1.16,11,68194,48.9,28.2
00901,永豐智能車供應鏈,40.61,-0.27,-0.66,26W21,05/18,10,3812,16.7,5.83,0,0,0.0,0.0,-1,-72,-4.65,-0.11,10,3255,14.3,4.98
00943,兆豐電子高息等權,19.75,0.47,2.44,26W21,05/18,10,10635,54.3,24.8,0,0,0.0,0.0,1,61,26.5,0.14,11,9581,47.3,22.3
00984B,大華優利美A債15,16.11,-0.08,-0.49,26W21,05/18,10,71728,40.6,39.3,0,0,0.0,0.0,1,474,13.5,0.26,3,17484,51.4,9.58
2379,瑞昱,560.0,24.0,4.48,26W21,05/18,10,38335,21.9,7.44,-6,-5853,-5.1,-1.14,1,4,0.1,0.0,10,22704,13.0,4.4
00885,富邦越南,19.27,0.02,0.1,26W21,05/18,9,51052,25.1,7.69,0,0,0.0,0.0,8,38715,21.4,5.83,8,89675,49.5,13.5
00915,凱基優選高股息30,26.66,-0.02,-0.07,26W21,05/18,9,57272,16.9,9.25,0,0,0.0,0.0,63,949021,45.4,153.0,63,1099401,52.5,178.0
2438,翔耀,22.2,1.55,7.51,26W21,05/18,9,710,7.89,1.0,0,0,0.0,0.0,0,0,0.0,0.0,9,712,7.91,1.0
2867,三商壽,7.69,-0.03,-0.39,26W21,05/18,9,112869,33.4,1.91,0,0,0.0,0.0,3,6041,6.69,0.1,9,118454,35.1,2.01
2886,兆豐金,39.55,0.15,0.38,26W21,05/18,9,149436,16.1,1.01,-2,-760,-0.64,-0.01,1,7,0.02,0.0,4,23669,7.1,0.16
00655L,國泰中國A50正2,35.91,-0.8,-2.18,26W21,05/18,8,3152,6.51,4.35,0,0,0.0,0.0,-1,-95,-5.23,-0.13,16,27946,20.2,38.6
00714,群益道瓊美國地產,21.02,-0.25,-1.18,26W21,05/18,8,1191,23.0,5.05,0,0,0.0,0.0,-2,-222,-24.6,-0.94,20,3783,21.4,16.1
00740B,富邦全球投等債,38.24,-0.2,-0.52,26W21,05/18,8,47929,48.3,2.31,0,0,0.0,0.0,-12,-85992,-39.1,-4.14,-2,-1751,-14.2,-0.08
00755B,群益投資級公用債,32.5,-0.17,-0.52,26W21,05/18,8,1410,24.1,0.5,-3,-1138,-41.6,-0.41,-1,-18,-7.37,-0.01,-3,-36,-1.32,-0.01
00772B,中信高評級公司債,33.24,-0.16,-0.48,26W21,05/18,8,51634,49.4,1.49,0,0,0.0,0.0,-2,-5428,-23.9,-0.16,39,177933,36.7,5.14
00773B,中信優先金融債,35.43,-0.19,-0.53,26W21,05/18,8,17255,43.2,0.67,0,0,0.0,0.0,-2,-1793,-27.1,-0.07,29,37696,22.6,1.47
00861,元大全球未來通訊,83.15,-0.65,-0.78,26W21,05/18,8,1602,20.4,2.33,0,0,0.0,0.0,-1,-81,-51.0,-0.12,-1,-54,-33.8,-0.08
00862B,中信投資級公司債,31.34,-0.18,-0.57,26W21,05/18,8,6398,34.8,0.76,0,0,0.0,0.0,-8,-5168,-28.1,-0.62,22,3345,6.93,0.4
00923,群益台ESG低碳50,37.55,-0.13,-0.35,26W21,05/18,8,38896,17.3,4.58,0,0,0.0,0.0,7,74190,36.0,8.73,7,112397,54.6,13.2
00948B,中信優息投資級債,9.36,-0.04,-0.43,26W21,05/18,8,154495,49.3,3.93,0,0,0.0,0.0,-2,-22351,-26.4,-0.57,43,1450908,55.8,36.9
00950B,凱基A級公司債,13.89,-0.05,-0.36,26W21,05/18,8,76691,40.4,1.89,0,0,0.0,0.0,-11,-66769,-14.3,-1.64,2,11740,31.7,0.29
00958B,永豐ESG銀行債15+,9.19,-0.02,-0.22,26W21,05/18,8,14054,37.4,9.35,0,0,0.0,0.0,-2,-1191,-20.9,-0.79,-1,-845,-61.8,-0.56
00959B,大華投等美債15Y+,9.27,-0.03,-0.32,26W21,05/18,8,26719,40.9,4.72,0,0,0.0,0.0,3,3569,15.9,0.63,3,12853,57.4,2.27
00966B,統一ESG投等債15+,13.75,-0.07,-0.51,26W21,05/18,8,12030,29.3,8.64,0,0,0.0,0.0,-2,-1923,-26.3,-1.38,28,39984,22.8,28.7
00970B,新光BBB投等債20+,9.24,-0.04,-0.43,26W21,05/18,8,28969,46.6,7.04,0,0,0.0,0.0,1,340,23.1,0.08,27,99888,42.1,24.3
009813,貝萊德標普卓越50,11.3,-0.09,-0.79,26W21,05/18,8,36404,17.7,8.07,0,0,0.0,0.0,7,101082,55.1,22.4,7,137455,74.9,30.5
2248,華勝-KY,54.8,0.7,1.29,26W21,05/18,8,106,3.44,0.22,0,0,0.0,0.0,0,0,0.0,0.0,8,163,5.29,0.34
2453,凌群,55.3,1.1,2.03,26W21,05/18,8,1194,9.14,1.19,0,0,0.0,0.0,0,0,0.0,0.0,8,1199,9.18,1.2
6570,維田,44.5,1.8,4.22,26W21,05/18,8,186,3.94,0.5,0,0,0.0,0.0,0,0,0.0,0.0,8,196,4.14,0.53
6908,宏碁遊戲-創,38.15,-0.45,-1.17,26W21,05/18,8,71,6.28,0.19,0,0,0.0,0.0,0,0,0.0,0.0,6,77,12.2,0.21
006207,復華滬深,33.14,-0.38,-1.13,26W21,05/18,7,451,5.49,2.01,0,0,0.0,0.0,14,2295,12.3,10.2,15,3059,15.7,13.7
006208,富邦台50,219.4,-1.0,-0.45,26W21,05/18,7,17948,11.1,0.97,0,0,0.0,0.0,7,26710,16.5,1.45,7,44622,27.6,2.42
00647L,元大S&P500正2,130.35,-3.1,-2.32,26W21,05/18,7,58,1.45,0.9,0,0,0.0,0.0,5,959,42.2,15.0,7,1270,31.8,19.8
00701,國泰股利精選30,31.62,-0.23,-0.72,26W21,05/18,7,6003,17.2,3.3,0,0,0.0,0.0,20,34811,27.5,19.1,20,49069,38.8,27.0
00757,統一FANG+,127.45,-1.35,-1.05,26W21,05/18,7,16517,20.3,5.54,0,0,0.0,0.0,7,27656,34.0,9.28,7,44173,54.3,14.8
00770,國泰北美科技,64.0,-0.65,-1.01,26W21,05/18,7,6197,25.8,7.47,0,0,0.0,0.0,7,5621,23.4,6.78,7,11818,49.2,14.2
00858,永豐美國500大,35.29,-0.48,-1.34,26W21,05/18,7,4711,16.1,3.82,0,0,0.0,0.0,7,10397,35.6,8.43,7,15108,51.7,12.2
00895,富邦未來車,49.3,-1.35,-2.67,26W21,05/18,7,3965,15.0,2.55,0,0,0.0,0.0,13,9981,20.3,6.42,24,22670,25.3,14.6
00900,富邦特選高股息30,16.69,0.01,0.06,26W21,05/18,7,153654,30.0,8.34,0,0,0.0,0.0,7,203960,39.8,11.1,7,366114,71.4,19.9
00909,國泰數位支付服務,47.02,-2.18,-4.43,26W21,05/18,7,37734,23.8,26.0,0,0,0.0,0.0,-1,-123,-4.98,-0.08,7,63913,40.3,44.0
00918,大華優利高填息30,25.51,0.16,0.63,26W21,05/18,7,198206,19.9,6.2,0,0,0.0,0.0,7,486630,48.9,15.2,7,684835,68.8,21.4
00922,國泰台灣領袖50,35.64,-0.16,-0.45,26W21,05/18,7,209343,35.6,10.6,0,0,0.0,0.0,-1,-1375,-8.95,-0.07,7,247709,42.1,12.6
00924,復華S&P500成長,32.14,-0.35,-1.08,26W21,05/18,7,18489,22.1,4.08,0,0,0.0,0.0,-1,-61,-2.13,-0.01,-1,-56,-1.98,-0.01
009800,中信NASDAQ,12.7,-0.12,-0.94,26W21,05/18,7,2216,3.11,0.76,0,0,0.0,0.0,1,811,24.0,0.28,1,1050,31.1,0.36
009811,統一美國50,12.84,-0.13,-1.0,26W21,05/18,7,20027,16.7,6.7,0,0,0.0,0.0,8,54634,41.4,18.3,8,74538,56.5,24.9
00983A,主動中信ARK創新,11.27,-0.32,-2.76,26W21,05/18,7,31562,23.4,14.4,0,0,0.0,0.0,7,41435,30.7,18.9,7,72997,54.1,33.3
00993A,主動安聯台灣,12.6,-0.06,-0.47,26W21,05/18,7,91580,12.5,10.2,0,0,0.0,0.0,14,491810,23.5,54.9,14,669459,32.0,74.7
1533,車王電,34.65,0.25,0.73,26W21,05/18,7,686,8.0,0.7,0,0,0.0,0.0,-1,-3,-1.03,0.0,7,692,8.07,0.7
1570,力肯,38.3,-1.1,-2.79,26W21,05/18,7,517,2.88,1.0,0,0,0.0,0.0,0,0,0.0,0.0,7,516,2.88,1.0
2458,義隆,145.0,2.5,1.75,26W21,05/18,7,28694,24.8,9.44,-6,-8960,-8.74,-2.95,-4,-1073,-1.91,-0.35,1,415,19.9,0.14
3152,璟德,171.5,5.5,3.31,26W21,05/18,7,1775,2.99,2.57,0,0,0.0,0.0,1,7,0.57,0.01,4,1277,4.1,1.85
3537,堡達,55.0,2.0,3.77,26W21,05/18,7,987,5.02,1.76,0,0,0.0,0.0,-2,0,0.0,0.0,7,987,5.02,1.75
4572,駐龍,143.0,-1.0,-0.69,26W21,05/18,7,274,22.5,0.68,0,0,0.0,0.0,-1,-1,-3.01,0.0,7,276,22.6,0.69
6166,凌華,113.5,1.5,1.34,26W21,05/18,7,10835,11.1,4.98,0,0,0.0,0.0,-2,-251,-0.55,-0.12,7,10917,11.2,5.02
6411,晶焱,83.0,0.4,0.48,26W21,05/18,7,1727,10.2,1.74,0,0,0.0,0.0,-1,-3,-0.51,0.0,7,1765,10.5,1.78
6449,鈺邦,271.0,8.0,3.04,26W21,05/18,7,3982,7.12,4.33,0,0,0.0,0.0,4,251,0.6,0.27,3,3267,8.42,3.56
6762,達亞,186.0,1.5,0.81,26W21,05/18,7,76,29.1,0.22,0,0,0.0,0.0,0,0,0.0,0.0,7,77,29.2,0.22
8016,矽創,275.0,1.0,0.36,26W21,05/18,7,7937,12.5,6.61,1,17,1.09,0.01,-2,-209,-1.06,-0.17,7,6286,9.91,5.23
8085,福華,11.65,0.2,1.75,26W21,05/18,7,1888,12.2,1.35,0,0,0.0,0.0,-2,0,-0.01,0.0,7,1888,12.2,1.35
