排名,代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖
601,6576,逸達,櫃,05/18,,81.8,2.8,3.54,313,25.4,79.0,79.0,83.0,78.2,6.08,,13.86,,,,,
602,4987,科誠,櫃,05/18,,81.5,-0.1,-0.12,11,0.9,81.6,81.6,81.6,81.5,0.12,13.2,2.06,,,,,
603,6874,倍力,櫃,05/18,,81.5,-0.6,-0.73,35,2.85,82.1,81.1,82.4,79.1,4.02,20.1,3.75,,,,,
604,3709,鑫聯大投控,櫃,05/18,,81.3,0.2,0.25,2314,186.0,81.1,80.5,82.0,78.1,4.81,8.26,2.44,,,,,
605,3028,增你強,市,05/18,,81.2,2.5,3.18,9838,796.0,78.7,79.2,83.8,78.4,6.86,15.9,3.02,,,,,
606,6486,互動,櫃,05/18,,81.2,-0.8,-0.98,367,29.7,82.0,80.5,81.7,80.1,1.95,15.3,2.37,,,,,
607,00830,國泰費城半導體,市,05/18,,81.05,-1.85,-2.23,11159,898.0,82.9,79.95,81.4,79.75,1.99,,0.9994,,,,,
608,6028,公勝保經,櫃,05/18,,80.8,0.0,0.0,12,0.95,80.8,80.0,81.0,80.0,1.24,11.2,2.53,,,,,
609,6794,向榮生技,市,05/18,,80.6,0.8,1.0,48,3.85,79.8,79.8,80.6,79.7,1.13,,6.08,,,,,
610,00850,元大臺灣ESG永續,市,05/18,,80.4,-0.35,-0.43,1077,85.7,80.75,79.25,80.65,78.6,2.54,,0.9983,,,,,
611,3706,神達,市,05/18,,80.1,0.2,0.25,8217,652.0,79.9,79.3,80.3,77.8,3.13,15.3,1.55,,,,,
612,1319,東陽,市,05/18,,80.0,1.4,1.78,2705,214.0,78.6,78.0,80.2,77.5,3.44,14.3,1.62,,,,,
613,4126,太醫,櫃,05/18,,80.0,0.0,0.0,19,1.53,80.0,80.8,80.8,79.5,1.62,16.4,1.89,,,,,
614,6117,迎廣,市,05/18,,79.9,-2.2,-2.68,631,50.9,82.1,81.0,82.5,79.9,3.17,17.4,3.13,,,,,
615,6823,濾能,櫃,05/18,,79.9,-2.1,-2.56,225,17.9,82.0,80.0,81.4,78.5,3.54,,4.45,,,,,
616,4905,台聯電,櫃,05/18,,79.8,1.6,2.05,12,0.93,78.2,78.3,80.5,78.3,2.81,19.2,0.81,,,,,
617,6951,青新-創,市,05/18,,79.8,0.0,0.0,22,1.74,79.8,79.8,80.5,79.7,1.0,13.9,3.55,,,,,
618,5609,中菲行,櫃,05/18,,79.7,0.5,0.63,115,9.17,79.2,79.0,80.0,78.7,1.64,9.95,1.86,,,,,
619,3546,宇峻,櫃,05/18,,79.1,0.4,0.51,2373,188.0,78.7,78.7,80.7,77.2,4.45,23.3,3.04,,,,,
620,1723,中碳,市,05/18,,79.0,-0.3,-0.38,471,37.1,79.3,79.4,79.4,78.2,1.51,31.9,2.28,,,,,
621,00661,元大日經225,市,05/18,,78.9,-0.5,-0.63,234,18.4,79.4,78.9,79.0,78.1,1.13,,1.0022,,,,,
622,6190,萬泰科,櫃,05/18,,78.9,1.6,2.07,9561,756.0,77.3,76.0,81.4,75.6,7.5,42.9,3.67,,,,,
623,7811,民盛,櫃,05/18,,78.9,-2.0,-2.47,17,1.32,80.9,79.1,79.1,78.9,0.25,14.6,1.29,,,,,
624,6869,雲豹能源,市,05/18,,78.8,-2.3,-2.84,829,65.5,81.1,81.0,81.0,78.5,3.08,,2.17,,,,,
625,5469,瀚宇博,市,05/18,,78.6,-1.0,-1.26,3149,245.0,79.6,78.3,79.0,76.8,2.76,13.7,1.05,,,,,
626,3032,偉訓,市,05/18,,78.5,-1.9,-2.36,2388,190.0,80.4,80.1,81.8,78.3,4.35,,3.57,,,,,
627,8487,愛爾達-創,市,05/18,,78.5,0.3,0.38,36,2.8,78.2,78.4,79.0,78.4,0.77,14.0,2.82,,,,,
628,2947,振宇五金,櫃,05/18,,78.4,-0.1,-0.13,6,0.48,78.5,78.4,78.4,78.4,0.0,26.5,2.12,,,,,
629,5425,台半,櫃,05/18,,77.9,5.9,8.19,20703,1567.0,72.0,71.0,78.5,69.5,12.5,33.7,2.49,,,,,
630,2423,固緯,市,05/18,,77.8,4.6,6.28,850,64.6,73.2,73.0,77.9,73.0,6.69,21.9,4.02,,,,,
631,3338,泰碩,市,05/18,,77.8,4.8,6.58,4738,360.0,73.0,73.2,78.2,72.0,8.49,52.9,3.31,,,,,
632,6464,台數科,市,05/18,,77.8,0.2,0.26,66,5.09,77.6,77.4,77.8,76.2,2.06,19.2,1.21,,,,,
633,5388,中磊,市,05/18,,77.6,0.0,0.0,3356,261.0,77.6,77.6,78.9,77.0,2.45,19.3,1.48,,,,,
634,1294,漢田生技,櫃,05/18,,77.1,-0.6,-0.77,20,1.52,77.7,80.0,80.0,77.0,3.86,15.6,2.68,,,,,
635,6577,勁豐,櫃,05/18,,77.1,-0.5,-0.64,28,2.16,77.6,76.5,77.2,75.6,2.06,13.1,2.9,,,,,
636,6921,嘉雨思-創,市,05/18,,77.0,1.0,1.32,55,4.23,76.0,74.7,77.5,74.7,3.68,,8.51,,,,,
637,2615,萬海,市,05/18,,76.9,2.7,3.64,16577,1277.0,74.2,74.5,78.3,74.4,5.26,7.11,0.78,,,,,
638,6923,中台,市,05/18,,76.9,-2.2,-2.78,212,16.4,79.1,77.7,79.0,76.9,2.65,25.0,2.59,,,,,
639,2882,國泰金,市,05/18,,76.8,-1.1,-1.41,26109,2008.0,77.9,78.0,78.0,76.5,1.93,10.9,1.34,,,,,
640,3707,漢磊,櫃,05/18,,76.8,-3.6,-4.48,20882,1583.0,80.4,78.0,78.5,73.4,6.34,,4.23,,,,,
641,6597,立誠,櫃,05/18,,76.7,3.7,5.07,7,0.55,73.0,77.7,77.7,76.6,1.51,86.2,2.91,,,,,
642,6642,富致,櫃,05/18,,76.7,6.9,9.89,349,26.8,69.8,76.7,76.7,76.7,0.0,30.9,2.79,,,,,
643,1726,永記,市,05/18,,76.6,-0.2,-0.26,16,1.25,76.8,76.7,77.1,76.6,0.65,12.9,1.14,,,,,
644,6965,中傑-KY,市,05/18,,76.6,-1.0,-1.29,35,2.7,77.6,77.0,77.0,76.2,1.03,47.9,0.99,,,,,
645,4938,和碩,市,05/18,,76.5,0.0,0.0,10111,776.0,76.5,77.0,77.5,75.8,2.22,17.7,1.01,,,,,
646,5534,長虹,市,05/18,,76.3,0.0,0.0,683,52.0,76.3,76.0,76.3,75.6,0.92,14.5,1.07,,,,,
647,6205,詮欣,市,05/18,,76.2,-0.6,-0.78,1700,128.0,76.8,75.4,77.1,72.5,5.99,45.9,2.42,,,,,
648,8341,日友,市,05/18,,76.1,-0.4,-0.52,188,14.3,76.5,76.1,76.1,75.5,0.78,16.2,1.94,,,,,
649,2465,麗臺,市,05/18,,76.0,-1.3,-1.68,1737,130.0,77.3,75.2,76.3,72.6,4.79,57.6,5.93,,,,,
650,3605,宏致,市,05/18,,76.0,-1.1,-1.43,2816,212.0,77.1,76.8,76.8,73.3,4.54,21.5,1.56,,,,,
651,3663,鑫科,櫃,05/18,,75.9,6.9,10.0,5545,406.0,69.0,68.2,75.9,66.7,13.3,759.0,3.88,,,,,
652,00910,第一金太空衛星,市,05/18,,75.8,1.35,1.81,3474,261.0,74.45,73.95,75.9,73.95,2.62,,1.003,,,,,
653,2388,威盛,市,05/18,,75.8,0.4,0.53,8494,636.0,75.4,75.5,76.4,72.0,5.84,421.0,1.93,,,,,
654,3317,尼克森,櫃,05/18,,75.8,0.5,0.66,6415,482.0,75.3,74.0,77.0,72.8,5.58,41.4,2.11,,,,,
655,5285,界霖,市,05/18,,75.8,1.6,2.16,1833,137.0,74.2,74.6,76.2,72.8,4.58,36.1,2.6,,,,,
656,9802,鈺齊-KY,市,05/18,,75.4,-0.1,-0.13,339,25.6,75.5,75.5,76.2,75.0,1.59,13.3,1.12,,,,,
657,3504,揚明光,市,05/18,,75.3,-2.0,-2.59,4968,385.0,77.3,75.2,82.0,73.8,10.6,,3.04,,,,,
658,8074,鉅橡,櫃,05/18,,75.0,-0.6,-0.79,1827,134.0,75.6,75.0,75.5,70.2,7.01,46.3,3.82,,,,,
659,1216,統一,市,05/18,,74.7,-1.0,-1.32,10539,789.0,75.7,76.2,76.4,74.1,3.04,20.2,2.93,,,,,
660,6175,立敦,櫃,05/18,,74.7,0.8,1.08,13205,966.0,73.9,72.7,75.4,70.2,7.04,27.8,2.63,,,,,
661,00731,復華富時高息低波,市,05/18,,74.45,-0.4,-0.53,593,44.3,74.85,74.7,74.7,74.35,0.47,,0.9949,,,,,
662,4105,東洋,櫃,05/18,,74.4,-0.7,-0.93,381,28.3,75.1,75.0,75.0,74.2,1.07,11.5,2.82,,,,,
663,4916,事欣科,市,05/18,,74.4,6.7,9.9,8466,629.0,67.7,73.8,74.4,73.5,1.33,13.3,3.01,,,,,
664,9941,裕融,市,05/18,,74.3,1.2,1.64,1756,131.0,73.1,73.1,75.0,72.9,2.87,10.3,1.2,,,,,
665,4590,富田-創,市,05/18,,74.0,0.9,1.23,152,11.1,73.1,72.0,74.0,71.6,3.28,17.8,1.15,,,,,
666,1717,長興,市,05/18,,73.8,-4.9,-6.23,33521,2484.0,78.7,77.9,77.9,72.8,6.48,49.2,3.13,,,,,
667,4974,亞泰,櫃,05/18,,73.8,-0.8,-1.07,209,15.5,74.6,74.2,75.2,72.6,3.49,16.7,1.69,,,,,
668,6918,愛派司,市,05/18,,73.7,-1.5,-1.99,37,2.71,75.2,73.6,74.1,73.6,0.66,14.5,1.99,,,,,
669,6277,宏正,市,05/18,,73.6,1.7,2.36,536,39.0,71.9,71.9,73.6,70.8,3.89,22.6,1.89,,,,,
670,6224,聚鼎,市,05/18,,73.4,1.7,2.37,1183,85.1,71.7,71.7,74.1,68.2,8.23,83.4,2.86,,,,,
671,00646,元大S&P500,市,05/18,,73.3,-0.65,-0.88,3019,221.0,73.95,73.25,73.4,73.05,0.47,,0.9986,,,,,
672,3209,全科,市,05/18,,73.3,5.3,7.79,11579,820.0,68.0,68.8,73.5,67.1,9.41,20.4,3.26,,,,,
673,5291,邑昇,櫃,05/18,,73.3,6.6,9.9,1535,110.0,66.7,66.7,73.3,64.6,13.0,156.0,3.1,,,,,
674,7721,微程式,市,05/18,,73.2,0.2,0.27,328,23.6,73.0,72.9,73.5,70.6,3.97,122.0,3.21,,,,,
675,8424,惠普,櫃,05/18,,73.2,0.0,0.0,35,2.53,73.2,73.1,73.2,72.8,0.55,12.5,2.26,,,,,
676,2535,達欣工,市,05/18,,73.1,-2.0,-2.66,532,39.0,75.1,74.6,74.7,73.0,2.26,8.76,1.92,,,,,
677,2485,兆赫,市,05/18,,73.0,4.7,6.88,67033,4809.0,68.3,66.7,74.1,66.3,11.4,1825.0,4.53,,,,,
678,6967,汎瑋材料,櫃,05/18,,73.0,0.9,1.25,25,1.82,72.1,71.1,73.0,71.1,2.64,16.3,2.3,,,,,
679,4205,中華食,櫃,05/18,,72.9,-0.1,-0.14,27,1.94,73.0,73.0,73.0,72.8,0.27,17.8,2.95,,,,,
680,2637,慧洋-KY,市,05/18,,72.8,0.0,0.0,2100,151.0,72.8,72.0,72.9,71.1,2.47,10.2,1.08,,,,,
681,6934,心誠鎂,市,05/18,,72.8,0.3,0.41,21,1.56,72.5,73.0,73.2,72.4,1.1,,4.58,,,,,
682,6469,大樹,櫃,05/18,,72.5,2.4,3.42,895,63.8,70.1,69.6,72.5,68.8,5.28,19.3,3.05,,,,,
683,6620,漢達,櫃,05/18,,72.5,2.5,3.57,452,32.5,70.0,70.0,73.8,69.4,6.29,15.4,2.16,,,,,
684,8045,達運光電,市,05/18,,72.5,3.8,5.53,368,26.1,68.7,68.8,73.4,67.3,8.88,107.0,3.56,,,,,
